ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	eTeff	elogg	eFeH	eL	elogL	eM	eR	percent_eL	percent_elogL	percent_eM	percent_eR	percent_eTeff	percent_elogg	percent_eFeH	logTeff	elogTeff1	elogTeff2	logM	elogM1	elogM2
KIC6442183	1.08	0.05	0.05	1.71	0.03	0.03	5760.0	84.0	84.0	-0.11	0.09	0.09	NA	NA	NA	NA	4.006	0.009	0.008	NA	2.577	0.22061138	0.22061138	NA	MS	G	NA	NA	NA	NA	NA	C14bruntt	A	1	0.41111441855090475	0.03567296735778713	0.03886750187412363	84.0	0.0085	0.09	0.22061138	0.03727023461595538	0.05	0.03	8.560783081102057	9.065659810065876	4.62962962962963	1.7543859649122808	1.4583333333333333	0.2121817274088867	-81.81818181818181	3.760422483423212	0.006287723839047299	0.006380096637775612	0.03342375548694973	0.019654687996470036	0.020586530781777513
KIC9226926	1.39	0.05	0.04	1.64	0.03	0.03	6892.0	84.0	84.0	-0.23	0.09	0.09	NA	NA	NA	NA	4.151	0.013	0.012	NA	4.548	0.365619369	0.365619369	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1	0.6578204560156972	0.03358105503242559	0.036396901369382784	84.0	0.0125	0.09	0.365619369	0.034988978200904186	0.045	0.03	8.039124208443273	5.318925229663163	3.2374100719424463	1.829268292682927	1.2188044109112013	0.3011322572874006	-39.130434782608695	3.8383452687759907	0.005261203148520188	0.005325721699459329	0.14301480025409505	0.015347691841154587	0.012681031759088968
KIC10130724	0.85	0.15	0.09	1.08	0.06	0.04	5648.0	70.0	70.0	0.32	0.15	0.15	NA	NA	NA	NA	4.306	0.022	0.016	NA	4.802	1.391686439	1.391686439	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6814221557210085	0.11052705930378837	0.14862784372222948	70.0	0.019	0.15	1.391686439	0.12957745151300892	0.12	0.05	28.981391899208667	19.015737957023696	14.117647058823529	4.62962962962963	1.2393767705382437	0.4412447747329308	46.875	3.7518946880437474	0.0053494629782226966	0.00541617811371653	-0.07058107428570728	0.07058107428570728	0.04860533343350136
KIC10202294	1.18	0.21	0.11	1.88	0.08	0.07	5803.0	66.0	66.0	0.36	0.1	0.1	NA	NA	NA	NA	3.961	0.026	0.015	NA	4.243	0.366465826	0.366465826	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6276730317666159	0.03597756775270222	0.039229414874940916	66.0	0.020499999999999997	0.1	0.366465826	0.03760349131382157	0.16	0.07500000000000001	8.636950883808625	5.990936269475324	13.559322033898306	3.98936170212766	1.1373427537480614	0.5175460742236808	27.77777777777778	3.7636525705645303	0.004911538949043059	0.004967720682089283	0.07188200730612536	0.07113279294796969	0.04249822962091578
KIC10290021	1.37	0.13	0.11	2.05	0.06	0.07	6215.0	56.0	56.0	0.06	0.15	0.1	NA	NA	NA	NA	3.955	0.014	0.015	NA	6.234	0.534000492	0.534000492	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7947667979408211	0.03569358366119768	0.0388919797548023	56.0	0.014499999999999999	0.125	0.534000492	0.03729278170799999	0.12	0.065	8.56593666987488	4.692292356024772	8.75912408759124	3.1707317073170733	0.9010458567980691	0.3666245259165613	208.33333333333334	3.7934411329776636	0.00389566779768602	0.003930928887409202	0.1367205671564068	0.039370691899274446	0.03635002203884388
KIC10858780	0.92	0.14	0.11	1.43	0.1	0.08	5672.0	60.0	60.0	-0.16	0.15	0.1	NA	NA	NA	NA	4.086	0.023	0.023	NA	2.386	0.210801879	0.210801879	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3776704393343231	0.03676837739576805	0.04017161991104151	60.0	0.023	0.125	0.210801879	0.03846999865340478	0.125	0.09	8.834948826487844	10.186129134493948	13.586956521739129	6.293706293706294	1.0578279266572637	0.5628976994615761	-78.125	3.75373622217501	0.0045699595502970425	0.00461855981868764	-0.036212172654444715	0.06151803791921498	0.0553028084669055
KIC11075456	1.29	0.11	0.17	1.48	0.05	0.07	6513.0	58.0	58.0	-0.2	0.3	0.2	NA	NA	NA	NA	4.207	0.018	0.02	NA	3.247	0.263707259	0.263707259	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5114822886260014	0.03391232862020965	0.03678641724080517	58.0	0.019	0.25	0.263707259	0.03534937293050741	0.14	0.060000000000000005	8.121566338158301	6.911162657355485	10.852713178294575	4.054054054054054	0.890526639029633	0.4516282386498693	-125.0	3.8137810781740824	0.0038503890164327537	0.0038848315716433213	0.11058971029924898	0.035538325378989086	0.06137168762906733
KIC11098033	1.38	0.21	0.14	2.26	0.12	0.09	6358.0	66.0	66.0	-0.14	0.2	0.15	NA	NA	NA	NA	3.877	0.024	0.027	NA	6.502	0.578005387	0.578005387	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8130469651601079	0.03698662297365607	0.04043231023758087	66.0	0.025500000000000002	0.175	0.578005387	0.03870946660561847	0.175	0.105	8.889655290679793	4.76103697133851	12.681159420289855	4.646017699115045	1.0380622837370241	0.6577250451379933	-124.99999999999999	3.803320523578754	0.004485008691870629	0.004531809627504657	0.13987908640123647	0.06151803791921498	0.04645740123900148
KIC11133100	1.4	0.25	0.17	2.37	0.14	0.13	6222.0	51.0	51.0	0.0	0.15	0.15	NA	NA	NA	NA	3.849	0.025	0.027	NA	15.06	1.32370116	1.32370116	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	1.1778249718646818	0.036587045937731766	0.03995524131700545	51.0	0.026000000000000002	0.15	1.32370116	0.03827114362736861	0.21000000000000002	0.135	8.789516334661354	3.249306521900226	15.000000000000004	5.69620253164557	0.819672131147541	0.6755001299038711	inf	3.7939300067726847	0.003545280764649661	0.003574460358298115	0.146128035678238	0.07135590853566826	0.05622292423884008
KIC11189107	1.52	0.18	0.15	2.26	0.13	0.1	6795.0	94.0	94.0	-0.1	0.15	0.1	NA	NA	NA	NA	3.909	0.027	0.026	NA	10.05	0.864098657	0.864098657	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	1.0021660617565078	0.03582181347374647	0.0390442849921282	94.0	0.0265	0.125	0.864098657	0.03743304923293733	0.16499999999999998	0.115	8.597996587064676	3.735214218622411	10.855263157894735	5.0884955752212395	1.3833701250919794	0.6779227423893579	-125.0	3.832189461068513	0.0059667236836347115	0.006049843132598376	0.18184358794477254	0.048605333433501374	0.04512302078836575
KIC11229052	1.27	0.12	0.15	1.48	0.05	0.07	6495.0	51.0	51.0	-0.02	0.15	0.15	NA	NA	NA	NA	4.198	0.015	0.017	NA	3.473	0.296828764	0.296828764	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5407047833107623	0.03561684049215219	0.038800874931897655	51.0	0.016	0.15	0.296828764	0.03720885771202492	0.135	0.060000000000000005	8.546753930319609	6.881547724470502	10.62992125984252	4.054054054054054	0.7852193995381063	0.38113387327298714	-750.0	3.812579155409047	0.003396845562938733	0.0034236236618663263	0.10380372095595687	0.03921107929813826	0.05458569828577522
