ID,Teff,logg,FeH,L,eTeff,elogg,eFeH,eL,M,R,eM,eR
KIC8499940,-0.30711104868799805,-0.3750884620565015,0.3091756377648799,-0.3087573025150777,0.15639529139840883,0.07079139271717738,0.49215816126339523,0.1082336180466216,-0.19851997331002358,0.15181299737734769,0.49336648607263983,0.09308545559806473
KIC9093289,0.39936423314619357,0.3473860960683696,0.2845677297017102,-0.27707117218253013,0.15369882085705697,0.07791483892771794,0.49215816126339523,0.11371778239390193,0.24705596992718043,-0.33133629949134513,0.373645917239376,0.08009532846083295
TIC446092483_B,-0.11026869916931106,0.7323542912735963,-0.8916902757178043,-0.5748395508204459,0.2993082300900583,0.21094147682478057,0.049215816126339525,0.054841379421717136,1.7463588059550677,-0.30476308816356673,0.16859630284650948,0.18601247929444678
KIC9143749,-0.16689458053770048,-0.570209328119423,-0.2617278293006585,0.028821855258603247,0.2049317611427426,0.07839676373597722,0.4970797428760292,0.13728682715880317,-0.27077553167281343,0.2967577864379557,0.36086286728069883,0.11128956567634252
KIC10644253,0.06769835655991278,1.4706494601603266,1.062669782659138,-0.9037253343746844,0.4098635222854852,0.10547073841239028,0.022147117256852783,0.06833235875945955,-0.2165838629007217,-1.1478586111994358,0.24085186120929925,0.0483149296868693
KIC8696343,0.1108418852215428,1.0540400434313864,0.0630965571331823,-0.7783620033410407,0.17527058518787197,0.10106318217334799,0.4872365796507613,0.06596108982263885,-0.463457020640253,-0.971509117842363,0.3676444097001902,0.08143186073714107
KIC6530901,0.6393501113265107,0.12589754540235104,0.4272935964680948,-0.08086090358483101,0.14291293869164945,0.05273536920619514,0.49215816126339523,0.12310742642257458,0.6263976513318265,-0.0631884397292206,0.3109611284238876,0.057540890175000026
KIC8435400,0.499133643176213,-1.4667106046247425,1.027726553209437,2.271224924946593,0.1590917619397607,0.08437659072991223,0.615197701579244,0.3342408439821761,1.8306569573783225,1.823509564543025,1.0236204101395217,0.3019683105429331
EPIC206107253,0.412846585852953,0.6637983113055431,-0.5471795628334277,-0.5459970475690245,0.17527058518787197,0.05273536920619514,0.3937265290107162,0.08466496773341976,-0.2165838629007217,-0.664709314330743,0.18063889590697443,0.0483149296868693
KIC9458636,0.22409364795832162,-0.5174739589132291,0.048331812295280455,0.07391365611645946,0.15100235031570508,0.09103999203687715,0.49215816126339523,0.13908555737548287,0.048353184429507694,0.3619829415152296,0.5348098688415723,0.1449472325881768
KIC3967430,1.308074805581776,0.5003186667663351,0.3387051274406836,-0.10564108243464392,0.14291293869164945,0.0738295168886732,0.7382372418950928,0.11443768761896544,0.9876754431457756,-0.2781898768357889,0.6322361356744105,0.1087085917954559
