ID,Teff,logg,FeH,logL,eTeff,elogg,eFeH,elogL,M,logR,eM,elogR
KIC6026188,-0.36596367278791775,0.001364780116519133,0.15541152505325564,-0.2769579211321322,0.22238173109104062,0.010276021282150041,0.21725611007706855,0.06505969412159673,-0.8888251681746353,-0.16395218319421068,0.17438665983261467,0.039886669958339595
KIC8145739,0.4761217875602762,-0.4770110527288336,-0.8596989203068404,0.6325287303858529,0.24022934407252608,0.011357707732902676,0.21725611007706855,0.08275426883355262,-0.17122406296342654,0.46911693815687694,0.21841929144034986,0.04293125797081658
KIC6803104,-3.050174189878747,-2.8697014817936646,0.67682618923822,2.832978536663908,0.20895144834180795,0.010546442894838198,0.21725611007706855,0.14142928698532728,0.6802188036693148,2.9169981480198617,0.24326939046649748,0.04129307082190306
KIC2441436,-2.7652450822904,-3.2171932540979484,-1.5365640770469489,2.834678370050433,0.23154562702707726,0.011087286120214517,0.21725611007706855,0.06540628115342231,-0.4393435524560711,3.0184793559271315,0.19836482555959917,0.041245327010690516
EPIC211413430,0.7659121147386624,0.24771886927543182,-1.058600634877398,-0.3522813527692064,0.2671937459341934,0.07030961929892132,0.029217201010364388,0.07438961205948187,-0.45155061864435475,-0.4392392328100902,0.2746589892363681,0.04138934035081037
KIC7846870,-1.6157041813168735,-1.2049860340853578,1.861995727658642,0.8509386004360957,0.1991359186210635,0.010005599669461882,0.21725611007706855,0.05679456747371875,-0.6294250116736214,1.0592848757211482,0.1857217927217346,0.04004654281490414
KIC5193912,-0.1307180912205488,0.31478342922209507,-0.6057340192167501,-0.6008485739579504,0.28527675079391074,0.011898550958278995,0.21725611007706855,0.09654509616216753,-0.9625035319539156,-0.4897358022601901,0.1713348932855439,0.039853437402376755
EPIC211558025,-0.4752950942286459,-0.03892804017401632,1.0645159718757475,-0.34404781643230525,0.27610348791740935,0.1000559966946188,0.05581234551979864,0.11378350943102321,-0.4559102851401696,-0.20144829330838004,0.34441365316941397,0.051856819752610576
EPIC231442315,-1.0327864677478606,-0.20118100778691184,1.71066560960496,0.05863748925347311,0.26485422846527734,0.04867589028386861,0.025471406009035618,0.08876766776341653,-0.6520952774518608,0.2558556931550771,0.309536321202891,0.04927684775143103
KIC3968402,-0.06420831848919183,-0.39561414730969774,-0.2944584546063294,0.6568021955551901,0.2778810491953945,0.012439394183655311,0.21725611007706855,0.10866212404521332,0.819292164885825,0.5903444032952316,0.2602720898001774,0.04298811196887283
KIC8173696,-0.7697399484406559,-1.1289975609199856,-1.1121655033963993,0.9104419757716531,0.2577776998921884,0.011357707732902676,0.21725611007706855,0.07333271326900713,-0.8766181019863526,0.9254239184107662,0.17525859313177775,0.03993358918245432
KIC5779177,-0.34539434484609055,-0.3147580851159393,0.28688892959989537,0.2603089735687629,0.27454714559469806,0.012439394183655311,0.21725611007706855,0.08403009396760441,-0.19171449549375846,0.3087158326791287,0.21841929144034986,0.04302023641320257
EPIC203547192,-0.001953361995350391,0.09087433391630009,-0.6885160887461156,-0.259983414529954,0.2663123437690175,0.06760540317203974,0.029591780510497268,0.09178875461380626,-0.47770861761924693,-0.21774401657520065,0.21798332479076835,0.03328333392314528
KIC8689478,-3.0879747346796402,-2.6144234794160424,0.8472598617986791,2.46187389219699,0.18689372361973636,0.010005599669461882,0.21725611007706855,0.09458732680464675,1.6519884655865604,2.843445196587709,0.27814672243302035,0.04051276643740542
KIC11462100,-2.2348462117184424,-1.7642179291244708,0.7685981667707749,1.4363293500571317,0.19750604525640686,0.010005599669461882,0.21725611007706855,0.05901046678783241,-0.17340389621133398,1.6933608940062097,0.20141659210666993,0.039694373826818716
KIC3441184,0.17615987249145826,-0.21605419648476074,-1.3541438604822378,0.27599473402710833,0.29652282441651584,0.012168972570967152,0.21725611007706855,0.1077887298352,-1.0331301291861246,0.010614759734890776,0.16828312673847318,0.03982868988265239
KIC3657670,0.4743982977196899,0.31126794825714876,-0.6394461742287088,-0.3749650322552261,0.2621161398357356,0.011898550958278995,0.21725611007706855,0.1088305270354436,-0.6403241779131597,-0.40580690145126014,0.19880079220918073,0.042940885244942946
EPIC212495610,0.6449470053901535,0.8886180913463688,-0.4218154846515074,-1.230459449920189,0.2717105948395001,0.08383069993332927,0.04008000651421781,0.05176352085284744,-0.81340293779703,-1.180162961592892,0.13950932786609174,0.02310959839516076
KIC11667775,-2.6401498033605244,-2.6925753254829203,0.8757279038087776,2.1183807381146873,0.19232084954742013,0.010005599669461882,0.21725611007706855,0.058463072386317254,-1.0213590296474224,2.3699490769343687,0.17220682658470698,0.04044443918695201
KIC9457533,0.6480605421177307,1.3767291022484953,0.9330385673291078,-1.3214066322353832,0.23753655555137665,0.010546442894838198,0.21725611007706855,0.031897995423209834,0.0253968959978471,-1.2983896278311053,0.20839205849997453,0.03980088934571834
KIC7625670,-0.5434378959362104,-0.042984364364338855,1.2716584354492282,0.3487419065701551,0.21476776636043907,0.011087286120214517,0.21725611007706855,0.011446211930165893,1.4453402736849115,0.35855775065254936,0.28730202207423267,0.043035811357958115
EPIC201757842,0.9184333395693909,1.4808414231334366,0.1894982595653474,-1.2710811249953882,0.2671937459341934,0.059492754791394965,0.026220565009301373,0.0492915204901506,-0.45155061864435475,-1.2649873352415453,0.31825565419452173,0.04705609423172566
KIC8618934,0.805385659595371,0.8188493152728231,-0.13001805404799643,-0.8629247441122753,0.24282220489464848,0.010546442894838198,0.21725611007706855,0.03097822036548432,-0.5339483154152648,-0.8773892769456324,0.18702969267047923,0.039755422507135804
KIC8045404,-0.9722912906274117,0.2782765115091934,1.616271575571475,-0.27159828763956023,0.2074383326044355,0.011087286120214517,0.21725611007706855,0.06647052529925009,0.9465944265636342,-0.04281502841288154,0.26681158954390044,0.04307914352490064
KIC11287949,0.5485588506497122,0.6601118286248738,0.6221375822188201,-0.4472748470879417,0.2817529845650629,0.011628129345590835,0.21725611007706855,0.053298720547092275,0.5084479437341898,-0.498957747708372,0.2271386244319806,0.03978658910994668
KIC12157631,-1.1686408042513976,-0.6638723870963519,0.5805592577040707,0.08017014661588473,0.2479211472213171,0.012168972570967152,0.21725611007706855,0.08161520588525717,-0.8801058351830046,0.4817451307343126,0.19008145921755,0.043098376454909604
KIC11045769,0.29813793314694803,0.5689797451489653,-0.6004899062148897,-0.5626352042884016,0.24578585007368692,0.010816864507526358,0.21725611007706855,0.029256915016525217,-0.8683347356443034,-0.7143634246323983,0.17438665983261467,0.03981215958198908
KIC4476248,0.015195808963460934,1.187163551754096,0.901948468818079,-1.4860056109332798,0.2930295624326341,0.012980237409031628,0.21725611007706855,0.1057786691206896,-0.7340570075731904,-1.2860294029136015,0.19531305901252843,0.04296710678983666
KIC8160419,-1.56536271028809,-0.9791839874907453,0.7588590997673201,0.7334020984853352,0.20427272828631082,0.010276021282150041,0.21725611007706855,0.04410349705011337,-0.7654466063430605,0.8118461158787713,0.18005422627717466,0.04004844225122634
KIC9650172,0.009270096411159159,0.26637796055091456,0.9150587513227297,-0.06365560275861117,0.22547107479674994,0.010276021282150041,0.21725611007706855,0.06783266283460375,0.8480659637582062,-0.04928523816068316,0.24065359056900823,0.03983981024435095
KIC4913049,0.532885979960212,1.6833872110368675,0.3561861371244776,-1.8633742805804423,0.2350720229322153,0.010276021282150041,0.21725611007706855,0.010408948601136189,-0.845664469866063,-1.799763202705589,0.17307875988387006,0.039335240086888684
EPIC220482660,-0.02299077231683019,-0.40670143342991283,-1.5695270730586421,-0.09254118797411125,0.27775158342625567,0.11898550958278993,0.05993272002126029,0.0890802620654592,-1.3757999157572118,-0.06834871618642141,0.09591266290793807,0.018013879286205754
KIC8277848,-0.2362075556013185,-0.7550044705722616,-0.9301198663318211,0.5921030725218607,0.23763963886195189,0.011628129345590835,0.21725611007706855,0.06133939054622755,-0.492095517055437,0.6629967504916028,0.2057762586024853,0.04300106717987744
KIC11821439,-0.16194497123123627,-0.10626302173336828,0.7551133047659913,0.44904964021228555,0.22347304675146742,0.010276021282150041,0.21725611007706855,0.06933661343976925,1.4915527385405551,0.4282126224258028,0.26593965624473737,0.039866106465433086
KIC11122147,1.8827692950367338,1.4083684309330107,-0.3970932376427376,-0.9751471973811294,0.3307533206858536,0.013250659021719789,0.21725611007706855,0.045034738678510676,0.41645898067248505,-1.2495221601397304,0.2415255238681713,0.0428296249444931
KIC7351098,1.1143468528644622,0.9359418735667968,1.4683126730189888,-0.1035892050199961,0.23900654459759005,0.010276021282150041,0.21725611007706855,0.031356627969778714,4.087298170149023,-0.22466884952332586,0.35923651925518624,0.03928450055153013
KIC9908656,-0.5757261132976156,-1.4232162755247026,-1.842970108155642,1.1469102023130973,0.2440912866722917,0.011898550958278995,0.21725611007706855,0.05655501080234444,-1.0959093267258657,1.146741174471988,0.18049019292675617,0.04303888530014483
KIC7898413,0.03578407057457748,-0.42536052470539554,0.19736442906813784,0.8135864270302475,0.22863299756806835,0.011357707732902676,0.21725611007706855,0.11422175245326659,1.428773541000813,0.7265078406423189,0.2855581554759065,0.04297151307916941
EPIC245940849,-0.028250124897200142,-0.19306835940626677,-1.0788279278845732,-0.46732756934231984,0.2717105948395001,0.09735178056773722,0.04757159651687535,0.06592441919899242,-1.4411949131944424,-0.3929527857049411,0.23978165726984518,0.044281092089792015
KIC5616851,0.7160061181035341,0.3182989101870414,-0.021389999009462167,0.1779365290404949,0.2414253208493022,0.010546442894838198,0.21725611007706855,0.036574148322188034,1.9785274861231312,0.09104905375992658,0.28337832222799886,0.03978927833446968
EPIC212166707,0.02434340090649936,-0.08219549820412178,0.1737659205597666,-0.002791883221033558,0.2663123437690175,0.059492754791394965,0.027344303509700005,0.07862149631109885,-0.4864279506108777,0.0007739421202634632,0.33133465368196785,0.049317081666510894
KIC11825166,0.04771754157943812,-0.05353080725917769,-0.033376543013714254,0.0690543710720704,0.2296259633352422,0.010546442894838198,0.21725611007706855,0.049164674617198645,-0.15552926357849103,0.06265347584816694,0.202288525405833,0.039851876571088164
KIC10188458,-0.5510523866020696,-1.0803216706361165,-0.43192913115509524,1.1022523521814578,0.22596229832775652,0.010546442894838198,0.21725611007706855,0.06073603051232955,-0.061360467268878824,1.0694540939794854,0.20621222525206687,0.03991899296446265
EPIC211428126,1.6757801111426638,1.437573965103331,-1.2811008579563268,-1.0734375465444843,0.2916926270937356,0.11628129345590835,0.05356486851900138,0.05674429239200199,-0.6477356109560459,-1.2277414652302656,0.130789994874461,0.020921724213548293
