ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,eTeff,elogg,eFeH,eL,eM,eR,percent_eM,percent_eR,percent_eL
KIC3241581,1.062,0.072138755,0.072138755,1.084,0.029410882,0.029410882,5770.0,81.0,81.0,0.185,0.1,0.1,,,,,4.393,0.016552945,0.016552945,,1.13,0.099657286,0.099657286,,ms,G,,,,,,serenelli17,A,1,81.0,0.016552945,0.1,0.099657286,0.072138755,0.029410882,6.792726459510358,2.713180996309963,8.819228849557524
KIC3430893,1.2,0.061911227,0.071554175,1.466,0.048466483,0.047539457,6270.0,60.0,60.0,-0.11,0.1,0.1,,,,,4.184,0.01811077,0.01811077,,3.507,0.286407736,0.286407736,,ms,F,,,,,,serenelli17,A,1,60.0,0.01811077,0.1,0.286407736,0.066732701,0.04800297,5.5610584166666674,3.274418144611187,8.166744682064444
KIC3438633,1.28,0.080262071,0.058694122,1.965,0.067977938,0.056603887,6432.0,73.0,73.0,-0.184,0.1,0.1,,,,,3.959,0.014142136,0.014142136,,5.59,0.44842168,0.44842168,,ms,F,,,,,,serenelli17,A,1,73.0,0.014142136,0.1,0.44842168,0.0694780965,0.062290912500000004,5.427976289062499,3.170020992366412,8.02185474060823
KIC3545753,1.258,0.05731492,0.061846584,2.296,0.057775427,0.056859476,6206.0,58.0,58.0,-0.338,0.105,0.105,,,,,3.814,0.014866069,0.015811388,,8.035,0.720810236,0.720810236,,ms,F,,,,,,serenelli17,A,1,58.0,0.015338728499999999,0.105,0.720810236,0.059580752,0.0573174515,4.73614880763116,2.4964046820557493,8.97088034847542
KIC3633847,1.285,0.142337627,0.071505245,1.858,0.058137767,0.048548944,6122.0,51.0,51.0,0.12,0.1,0.1,,,,,4.013,0.01835756,0.015811388,,5.266,0.475856442,0.475856442,,ms,F,,,,,,serenelli17,A,1,51.0,0.017084474,0.1,0.475856442,0.106921436,0.053343355499999995,8.320734319066148,2.8710094456404733,9.036392745917205
KIC3633889,1.208,0.057628118,0.06,1.322,0.035510562,0.035510562,6452.0,49.0,49.0,-0.12,0.1,0.1,,,,,4.276,0.012041595,0.012041595,,2.788,0.231897345,0.231897345,,ms,F,,,,,,serenelli17,A,1,49.0,0.012041595,0.1,0.231897345,0.058814059,0.035510562,4.868713493377483,2.6861242057488655,8.317695301291248
KIC3643774,1.275,0.056586217,0.061846584,1.588,0.023345235,0.025612497,6029.0,104.0,104.0,0.158,0.1,0.1,,,,,4.141,0.008602325,0.008602325,,2.911,0.199115375,0.199115375,,ms,F,,,,,,serenelli17,A,1,104.0,0.008602325,0.1,0.199115375,0.0592164005,0.024478866000000002,4.6444235686274515,1.5414903022670026,6.840102198557197
KIC3656476,1.075,0.040224371,0.041048752,1.316,0.018439089,0.018439089,5684.0,56.0,56.0,0.233,0.1,0.1,,,,,4.23,0.007211103,0.007211103,,1.626,0.139089863,0.139089863,,ms,G,,,,,,serenelli17,A,1,56.0,0.007211103,0.1,0.139089863,0.0406365615,0.018439089,3.7801452558139537,1.4011465805471124,8.554112115621157
KIC3657002,1.219,0.064660653,0.089894382,1.516,0.032449961,0.037589892,6006.0,64.0,64.0,0.112,0.1,0.1,,,,,4.161,0.012806248,0.013601471,,2.732,0.226473372,0.226473372,,ms,F,,,,,,serenelli17,A,1,64.0,0.0132038595,0.1,0.226473372,0.0772775175,0.0350199265,6.33941899097621,2.310021536939314,8.289654904831623
KIC3730801,1.24,0.067896981,0.11315918,1.595,0.04494441,0.052773099,5894.0,58.0,58.0,0.164,0.1,0.1,,,,,4.123,0.012649111,0.013601471,,2.844,0.24686741,0.24686741,,ms,G,,,,,,serenelli17,A,1,58.0,0.013125291,0.1,0.24686741,0.0905280805,0.0488587545,7.300651653225806,3.0632447962382443,8.680288677918426
KIC3854781,1.197,0.056727418,0.059816386,1.792,0.035805028,0.03744329,5705.0,102.0,102.0,0.256,0.1,0.1,,,,,4.009,0.01029563,0.01029563,,3.408,0.294317891,0.294317891,,ms,G,,,,,,serenelli17,A,1,102.0,0.01029563,0.1,0.294317891,0.058271902,0.036624159,4.86816223893066,2.0437588727678575,8.636088350938968
KIC3952307,1.275,0.062289646,0.068410526,2.076,0.048373546,0.047507894,6210.0,118.0,118.0,-0.118,0.1,0.1,,,,,3.908,0.013928388,0.013928388,,6.262,0.486953001,0.486953001,,ms,F,,,,,,serenelli17,A,1,118.0,0.013928388,0.1,0.486953001,0.065350086,0.047940720000000006,5.125496941176471,2.30928323699422,7.776317486426062
KIC3952580,1.458,0.064202804,0.061846584,2.709,0.046615448,0.047434165,6115.0,101.0,101.0,-0.074,0.1,0.1,,,,,3.736,0.01029563,0.009433981,,11.88,1.056787444,1.056787444,,ms,F,,,,,,serenelli17,A,1,101.0,0.0098648055,0.1,1.056787444,0.063024694,0.0470248065,4.322681344307271,1.7358732558139534,8.895517205387204
KIC3967859,1.008,0.060539243,0.059682493,1.284,0.034438351,0.03354102,6211.0,78.0,78.0,-0.375,0.1,0.1,,,,,4.224,0.015811388,0.015811388,,1.933,0.172593807,0.172593807,,ms,F,,,,,,serenelli17,A,1,78.0,0.015811388,0.1,0.172593807,0.060110868,0.0339896855,5.963379761904762,2.647171767912772,8.928805328504913
KIC4049576,1.159,0.067416615,0.069115845,1.944,0.091923882,0.086127812,6066.0,84.0,84.0,-0.264,0.101,0.101,,,,,3.923,0.028442925,0.030413813,,4.633,0.331409817,0.331409817,,ms,F,,,,,,serenelli17,A,1,84.0,0.029428369000000003,0.101,0.331409817,0.06826623,0.08902584699999999,5.890097497842968,4.5795188786008225,7.153244485214763
KIC4247542,1.129,0.091787799,0.071063352,1.581,0.052773099,0.050119856,6440.0,66.0,66.0,-0.44,0.1,0.1,,,,,4.095,0.020248457,0.020248457,,3.696,0.272247043,0.272247043,,ms,F,,,,,,serenelli17,A,1,66.0,0.020248457,0.1,0.272247043,0.0814255755,0.0514464775,7.21218560673162,3.2540466476913346,7.365991423160174
KIC4346201,1.142,0.05745433,0.054918121,1.902,0.03312099,0.032249031,6147.0,51.0,51.0,-0.337,0.099,0.099,,,,,3.937,0.010630146,0.010630146,,5.527,0.551784266,0.551784266,,ms,F,,,,,,serenelli17,A,1,51.0,0.010630146,0.099,0.551784266,0.0561862255,0.0326850105,4.919984719789842,1.7184548107255522,9.98343162656052
KIC4450844,1.056,0.046400431,0.047201695,1.548,0.025495098,0.025495098,5968.0,59.0,59.0,-0.136,0.072111026,0.072111026,,,,,4.082,0.007211103,0.007211103,,2.81,0.241286059,0.241286059,,ms,G,,,,,,serenelli17,A,1,59.0,0.007211103,0.072111026,0.241286059,0.046801063000000004,0.025495098,4.43191884469697,1.6469701550387597,8.586692491103202
KIC4465324,1.079,0.079378838,0.059033889,1.388,0.037336309,0.032695565,5850.0,59.0,59.0,0.037,0.1,0.1,,,,,4.187,0.012083046,0.012083046,,2.207,0.1928978,0.1928978,,ms,G,,,,,,serenelli17,A,1,59.0,0.012083046,0.1,0.1928978,0.06920636349999999,0.035015937,6.4139354494902685,2.5227620317002883,8.740271862256458
KIC4465529,1.322,0.054561891,0.057982756,1.657,0.030610456,0.030610456,6345.0,49.0,49.0,0.025,0.1,0.1,,,,,4.12,0.01029563,0.01029563,,4.239,0.367701157,0.367701157,,ms,F,,,,,,serenelli17,A,1,49.0,0.01029563,0.1,0.367701157,0.0562723235,0.030610456,4.256605408472012,1.8473419432709715,8.67424291106393
KIC4543171,1.315,0.068410526,0.069656299,1.663,0.043829214,0.043829214,6129.0,59.0,59.0,0.137,0.1,0.1,,,,,4.114,0.013928388,0.014866069,,3.486,0.296648102,0.296648102,,ms,F,,,,,,serenelli17,A,1,59.0,0.014397228500000001,0.1,0.296648102,0.0690334125,0.043829214,5.2496891634980996,2.635551052315093,8.50969885255307
KIC4571351,1.235,0.074330344,0.099809819,1.585,0.068949257,0.069892775,6000.0,59.0,59.0,0.143,0.101,0.101,,,,,4.125,0.026305893,0.028284271,,2.923,0.255209864,0.255209864,,ms,F,,,,,,serenelli17,A,1,59.0,0.027295082,0.101,0.255209864,0.08707008150000001,0.069421016,7.05020902834008,4.379874826498423,8.73109353404037
