ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,eTeff,elogg,eFeH,eL,eM,eR,percent_eM,percent_eR,percent_eL
KIC6287060,1.157,0.079881162,0.07823682,1.488,0.047010637,0.045276926,6020.0,53.0,53.0,-0.016,0.1,0.1,,,,,4.155,0.017464249,0.018384776,,3.112,0.27140541,0.27140541,,ms,F,,,,,,serenelli17,A,1,53.0,0.0179245125,0.1,0.27140541,0.079058991,0.0461437815,6.833102074330164,3.1010605846774197,8.72125353470437
KIC6370489,1.211,0.058137767,0.061522354,2.002,0.03482815,0.03748333,6302.0,80.0,80.0,-0.452,0.1,0.1,,,,,3.918,0.008602325,0.008602325,,5.209,0.448219507,0.448219507,,ms,F,,,,,,serenelli17,A,1,80.0,0.008602325,0.1,0.448219507,0.059830060500000004,0.036155740000000006,4.94055,1.8059810189810195,8.604713131119217
KIC6520835,1.328,0.058796258,0.057489129,2.144,0.03482815,0.034058773,6146.0,50.0,50.0,0.032,0.1,0.1,,,,,3.898,0.010630146,0.010630146,,7.205,0.572534042,0.572534042,,ms,F,,,,,,serenelli17,A,1,50.0,0.010630146,0.1,0.572534042,0.058142693499999995,0.0344434615,4.378214871987951,1.606504734141791,7.946343400416378
KIC6529109,1.19,0.052430907,0.056603887,1.828,0.031064449,0.032756679,5806.0,90.0,90.0,0.072,0.099,0.099,,,,,3.989,0.01,0.01,,3.483,0.301768722,0.301768722,,ms,G,,,,,,serenelli17,A,1,90.0,0.01,0.099,0.301768722,0.054517396999999995,0.031910564,4.581293865546218,1.7456544857768055,8.66404599483204
KIC6530901,1.3,0.050249378,0.053037722,1.559,0.023430749,0.024207437,6374.0,53.0,53.0,0.018,0.1,0.1,,,,,4.165,0.01,0.01,,3.626,0.303046764,0.303046764,,ms,F,,,,,,serenelli17,A,1,53.0,0.01,0.1,0.303046764,0.051643549999999996,0.023819093,3.9725807692307686,1.5278443232841565,8.357605184776615
KIC6592305,1.362,0.056586217,0.05375872,2.248,0.041048752,0.039408121,6132.0,55.0,55.0,0.06,0.1,0.1,,,,,3.868,0.01029563,0.01029563,,6.92,0.596243014,0.596243014,,ms,F,,,,,,serenelli17,A,1,55.0,0.01029563,0.1,0.596243014,0.0551724685,0.0402284365,4.050842033773862,1.7895211966192166,8.616228526011561
KIC6593620,0.985,0.0560803,0.054378304,1.581,0.043462628,0.041629317,5791.0,60.0,60.0,-0.26,0.1,0.1,,,,,4.033,0.015231546,0.015231546,,2.585,0.222583045,0.222583045,,ms,G,,,,,,serenelli17,A,1,60.0,0.015231546,0.1,0.222583045,0.055229302,0.0425459725,5.60703573604061,2.691079854522454,8.610562669245649
KIC6605673,1.135,0.089537702,0.060539243,1.65,0.039,0.032649655,6222.0,60.0,60.0,-0.258,0.1,0.1,,,,,4.058,0.014317821,0.011661904,,3.612,0.307113151,0.307113151,,ms,F,,,,,,serenelli17,A,1,60.0,0.012989862500000001,0.1,0.307113151,0.0750384725,0.0358248275,6.611319162995595,2.171201666666667,8.502578931339977
KIC6612225,1.186,0.065,0.068117545,1.783,0.049040799,0.049819675,6374.0,54.0,54.0,-0.337,0.1,0.1,,,,,4.009,0.01118034,0.01118034,,5.549,0.478999686,0.478999686,,ms,F,,,,,,serenelli17,A,1,54.0,0.01118034,0.1,0.478999686,0.0665587725,0.049430237,5.612038153456999,2.7723071789119467,8.632180320778518
KIC6671492,1.413,0.065115282,0.066603303,2.445,0.049648766,0.047010637,6103.0,103.0,103.0,0.067,0.1,0.1,,,,,3.81,0.012529964,0.012529964,,8.403,0.73916899,0.73916899,,ms,F,,,,,,serenelli17,A,1,103.0,0.012529964,0.1,0.73916899,0.0658592925,0.0483297015,4.660954883227176,1.9766749079754604,8.796489230036892
KIC6689943,1.178,0.064031242,0.074625733,1.479,0.038275318,0.039115214,6011.0,54.0,54.0,-0.002,0.1,0.1,,,,,4.168,0.012083046,0.013,,3.222,0.274607079,0.274607079,,ms,F,,,,,,serenelli17,A,1,54.0,0.012541522999999999,0.1,0.274607079,0.06932848750000001,0.038695266000000006,5.885270585738541,2.6163127789046654,8.52287644320298
KIC6766513,1.271,0.052345009,0.053740115,2.054,0.033970576,0.033970576,6594.0,77.0,77.0,-0.397,0.102,0.102,,,,,3.916,0.008062258,0.008062258,,6.876,0.643260767,0.643260767,,ms,F,,,,,,serenelli17,A,1,77.0,0.008062258,0.102,0.643260767,0.053042562,0.033970576,4.173293627065303,1.6538741966893868,9.355159496800464
KIC6837853,1.146,0.075742986,0.077987178,1.376,0.051,0.049244289,5886.0,57.0,57.0,0.154,0.1,0.1,,,,,4.218,0.020615528,0.021587033,,2.122,0.177657336,0.177657336,,ms,G,,,,,,serenelli17,A,1,57.0,0.0211012805,0.1,0.177657336,0.076865082,0.05012214449999999,6.707249738219896,3.6425977107558136,8.372164750235628
KIC7038145,1.471,0.077103826,0.06670832,2.459,0.075894664,0.062769419,6074.0,58.0,58.0,0.257,0.1,0.1,,,,,3.823,0.016763055,0.015811388,,8.695,0.807294839,0.807294839,,ms,F,,,,,,serenelli17,A,1,58.0,0.016287221499999997,0.1,0.807294839,0.071906073,0.0693320415,4.888244255608429,2.8195218178121184,9.28458699252444
KIC7133688,1.418,0.081320354,0.096607453,1.932,0.063953108,0.062177166,6400.0,63.0,63.0,0.028,0.1,0.1,,,,,4.015,0.019646883,0.021587033,,6.589,0.596604813,0.596604813,,ms,F,,,,,,serenelli17,A,1,63.0,0.020616957999999998,0.1,0.596604813,0.0889639035,0.063065137,6.273900105782793,3.264241045548654,9.054557793291849
KIC7174470,1.412,0.221551348,0.122674366,2.266,0.09625487,0.080156098,6119.0,84.0,84.0,0.192,0.1,0.1,,,,,3.882,0.022825424,0.021095023,,6.988,0.592399744,0.592399744,,ms,F,,,,,,serenelli17,A,1,84.0,0.0219602235,0.1,0.592399744,0.172112857,0.088205484,12.189295821529747,3.8925632833186232,8.477386147681738
KIC7296438,1.159,0.040360872,0.055072679,1.393,0.02,0.023345235,5749.0,56.0,56.0,0.268,0.072111026,0.072111026,,,,,4.213,0.005830952,0.007615773,,2.202,0.188867864,0.188867864,,ms,G,,,,,,serenelli17,A,1,56.0,0.0067233625,0.072111026,0.188867864,0.0477167755,0.021672617499999998,4.117064322691976,1.5558232232591527,8.5771055404178
KIC7376493,0.997,0.059169249,0.054918121,1.494,0.036891733,0.036055513,5803.0,73.0,73.0,-0.123,0.101,0.101,,,,,4.087,0.01077033,0.01077033,,2.293,0.20247532,0.20247532,,ms,G,,,,,,serenelli17,A,1,73.0,0.01077033,0.101,0.20247532,0.057043685,0.036473623,5.7215330992978926,2.4413402275769744,8.830149149585695
KIC7383120,1.105,0.081301906,0.075451971,1.393,0.054129474,0.052325902,6048.0,58.0,58.0,-0.112,0.1,0.1,,,,,4.194,0.018248288,0.018248288,,2.549,0.220573735,0.220573735,,ms,F,,,,,,serenelli17,A,1,58.0,0.018248288,0.1,0.220573735,0.07837693849999999,0.053227687999999995,7.092935610859728,3.8210831299353907,8.653343860337388
KIC7429287,0.937,0.053,0.051312766,1.498,0.036891733,0.036055513,5802.0,60.0,60.0,-0.381,0.1,0.1,,,,,4.058,0.01118034,0.01118034,,2.599,0.234262777,0.234262777,,ms,G,,,,,,serenelli17,A,1,60.0,0.01118034,0.1,0.234262777,0.052156383,0.036473623,5.566316221985058,2.43482129506008,9.013573566756444
KIC7529180,1.352,0.06726812,0.067941151,1.455,0.032557641,0.032557641,6682.0,58.0,58.0,-0.024,0.1,0.1,,,,,4.243,0.009848858,0.009848858,,3.766,0.297722752,0.297722752,,ms,F,,,,,,serenelli17,A,1,58.0,0.009848858,0.1,0.297722752,0.06760463550000001,0.032557641,5.000342862426035,2.2376385567010306,7.905543069569835
KIC7591963,1.2,0.052009614,0.056859476,1.833,0.04788528,0.04788528,5966.0,61.0,61.0,0.011,0.1,0.1,,,,,3.99,0.015231546,0.015231546,,4.338,0.384319149,0.384319149,,ms,G,,,,,,serenelli17,A,1,61.0,0.015231546,0.1,0.384319149,0.054434545,0.04788528,4.536212083333333,2.6123993453355157,8.859362586445368
KIC7611858,1.128,0.103469802,0.06780118,1.54,0.062625873,0.058872744,5926.0,58.0,58.0,0.021,0.099,0.099,,,,,4.119,0.026925824,0.028861739,,2.849,0.251522846,0.251522846,,ms,G,,,,,,serenelli17,A,1,58.0,0.0278937815,0.099,0.251522846,0.08563549100000001,0.0607493085,7.591798847517732,3.9447602922077922,8.828460723060722
KIC7668623,1.389,0.077103826,0.070837843,2.291,0.055217751,0.04669047,6277.0,48.0,48.0,-0.004,0.1,0.1,,,,,3.859,0.012529964,0.010816654,,8.698,0.736795261,0.736795261,,ms,F,,,,,,serenelli17,A,1,48.0,0.011673309,0.1,0.736795261,0.0739708345,0.0509541105,5.325474046076314,2.2240991051942385,8.47085836974017
KIC7680114,1.096,0.050990195,0.043908997,1.409,0.022803509,0.021260292,5800.0,56.0,56.0,0.058,0.1,0.1,,,,,4.179,0.008062258,0.007211103,,2.222,0.200872573,0.200872573,,ms,G,,,,,,serenelli17,A,1,56.0,0.0076366805,0.1,0.200872573,0.047449596,0.0220319005,4.329342700729926,1.5636551100070972,9.040169801980198
KIC7700968,0.866,0.087664132,0.076557168,1.148,0.055785303,0.050960769,5982.0,75.0,75.0,-0.517,0.204,0.204,,,,,4.255,0.029614186,0.030594117,,1.73,0.201858942,0.201858942,,ms,G,,,,,,serenelli17,A,1,75.0,0.030104151500000002,0.204,0.201858942,0.08211065000000001,0.053373036,9.481599307159355,4.649219163763067,11.668146936416186
KIC7739672,1.228,0.120154068,0.07324616,1.733,0.055461698,0.050119856,6069.0,55.0,55.0,0.085,0.099,0.099,,,,,4.054,0.022847319,0.022847319,,4.124,0.348405035,0.348405035,,ms,F,,,,,,serenelli17,A,1,55.0,0.022847319,0.099,0.348405035,0.096700114,0.052790777,7.874602117263843,3.046207559145989,8.448230722599417
KIC7771282,1.321,0.05481788,0.052497619,1.656,0.024041631,0.024041631,6407.0,74.0,74.0,-0.033,0.1,0.1,,,,,4.12,0.007211103,0.007211103,,4.198,0.356885411,0.356885411,,ms,F,,,,,,serenelli17,A,1,74.0,0.007211103,0.1,0.356885411,0.053657749500000004,0.024041631,4.061903822861469,1.4517893115942029,8.501319938065745
KIC7800289,1.486,0.076576759,0.075927597,2.858,0.051224994,0.051855569,6422.0,53.0,53.0,-0.362,0.101,0.101,,,,,3.697,0.009219544,0.008485281,,12.69,1.035554847,1.035554847,,ms,F,,,,,,serenelli17,A,1,53.0,0.0088524125,0.101,1.035554847,0.076252178,0.0515402815,5.13137133243607,1.8033688418474458,8.160400685579196
KIC7833440,1.09,0.057982756,0.057140179,1.654,0.034885527,0.034885527,6327.0,59.0,59.0,-0.467,0.103,0.103,,,,,4.038,0.012083046,0.012083046,,3.976,0.34656281,0.34656281,,ms,F,,,,,,serenelli17,A,1,59.0,0.012083046,0.103,0.34656281,0.057561467500000005,0.034885527,5.280868577981651,2.1091612454655384,8.716368460764588
KIC7870112,1.151,0.102552426,0.085146932,1.605,0.076006579,0.073498299,5656.0,79.0,79.0,0.351,0.099,0.099,,,,,4.088,0.029427878,0.029427878,,2.854,0.249733138,0.249733138,,ms,G,,,,,,serenelli17,A,1,79.0,0.029427878,0.099,0.249733138,0.09384967899999999,0.074752439,8.153751433536055,4.657472834890966,8.750285143658024
KIC7880676,1.436,0.125207827,0.137277092,2.054,0.07738863,0.074886581,6269.0,56.0,56.0,0.048,0.099,0.099,,,,,3.96,0.018788294,0.019697716,,6.669,0.584602538,0.584602538,,ms,F,,,,,,serenelli17,A,1,56.0,0.019243005,0.099,0.584602538,0.1312424595,0.0761376055,9.139447040389971,3.7067967624148004,8.765969980506823
KIC7910848,1.274,0.070007142,0.103831594,1.637,0.056462377,0.054626001,6074.0,56.0,56.0,0.11,0.1,0.1,,,,,4.111,0.023086793,0.024041631,,3.745,0.314117072,0.314117072,,ms,F,,,,,,serenelli17,A,1,56.0,0.023564212,0.1,0.314117072,0.086919368,0.055544189,6.822556357927787,3.3930475870494807,8.387638771695594
KIC8012842,1.107,0.069404611,0.067007462,1.305,0.049040799,0.046238512,5849.0,58.0,58.0,0.152,0.1,0.1,,,,,4.251,0.023769729,0.023769729,,1.931,0.163391808,0.163391808,,ms,G,,,,,,serenelli17,A,1,58.0,0.023769729,0.1,0.163391808,0.06820603650000001,0.0476396555,6.16134024390244,3.6505483141762456,8.461512584153288
KIC8016496,1.5,0.105550936,0.133809566,2.081,0.109128365,0.100344407,6446.0,73.0,73.0,0.088,0.1,0.1,,,,,3.972,0.028160256,0.029154759,,6.152,0.590682773,0.590682773,,ms,F,,,,,,serenelli17,A,1,73.0,0.0286575075,0.1,0.590682773,0.11968025099999999,0.104736386,7.978683399999999,5.032983469485824,9.60147550390117
KIC8019508,1.477,0.057801384,0.063513778,2.61,0.040311289,0.041182521,6211.0,55.0,55.0,0.052,0.1,0.1,,,,,3.772,0.009433981,0.009433981,,9.85,0.868727966,0.868727966,,ms,F,,,,,,serenelli17,A,1,55.0,0.009433981,0.1,0.868727966,0.060657581,0.040746905,4.10680981719702,1.5611840996168582,8.81957325888325
KIC8027956,1.178,0.053413481,0.055803226,1.728,0.049396356,0.047539457,5967.0,70.0,70.0,0.042,0.1,0.1,,,,,4.033,0.016763055,0.016763055,,3.431,0.298165152,0.298165152,,ms,G,,,,,,serenelli17,A,1,70.0,0.016763055,0.1,0.298165152,0.0546083535,0.048467906500000005,4.635683658743633,2.804855700231482,8.690327951034684
KIC8106950,1.054,0.065192024,0.062681736,1.676,0.090443352,0.082873397,6098.0,63.0,63.0,-0.385,0.101,0.101,,,,,4.011,0.031064449,0.033060551,,3.457,0.313045757,0.313045757,,ms,F,,,,,,serenelli17,A,1,63.0,0.0320625,0.101,0.313045757,0.06393688,0.0866583745,6.066117647058824,5.170547404534606,9.055416748625976
KIC8114155,1.063,0.05964059,0.058821765,1.538,0.054083269,0.051264022,5761.0,60.0,60.0,0.019,0.1,0.1,,,,,4.089,0.021587033,0.022561028,,2.673,0.237112105,0.237112105,,ms,G,,,,,,serenelli17,A,1,60.0,0.0220740305,0.1,0.237112105,0.059231177499999996,0.052673645500000005,5.572076904985889,3.4248144018205466,8.870636176580621
KIC8150065,1.22,0.044418465,0.055946403,1.408,0.017492856,0.021931712,6265.0,58.0,58.0,-0.033,0.1,0.1,,,,,4.227,0.007211103,0.008062258,,2.811,0.236825363,0.236825363,,ms,F,,,,,,serenelli17,A,1,58.0,0.0076366805,0.1,0.236825363,0.050182434,0.019712284,4.113314262295082,1.4000201704545456,8.42495065812878
KIC8174981,1.227,0.055803226,0.055,1.984,0.041677332,0.042544095,6065.0,53.0,53.0,-0.099,0.1,0.1,,,,,3.932,0.012529964,0.012529964,,5.635,0.472254112,0.472254112,,ms,F,,,,,,serenelli17,A,1,53.0,0.012529964,0.1,0.472254112,0.055401613,0.042110713499999994,4.515208883455583,2.12251580141129,8.380729582963621
KIC8176564,1.174,0.045221676,0.068154237,1.526,0.024083189,0.031622777,6109.0,51.0,51.0,-0.126,0.072111026,0.072111026,,,,,4.14,0.00781025,0.01029563,,2.746,0.232140295,0.232140295,,ms,F,,,,,,serenelli17,A,1,51.0,0.00905294,0.072111026,0.232140295,0.056687956500000004,0.027852982999999998,4.828616396933562,1.825228243774574,8.453761653313911
KIC8179536,1.289,0.044204072,0.042638011,1.366,0.016401219,0.015620499,6418.0,50.0,50.0,0.031,0.1,0.1,,,,,4.276,0.006708204,0.005830952,,2.624,0.222979865,0.222979865,,ms,F,,,,,,serenelli17,A,1,50.0,0.006269578,0.1,0.222979865,0.0434210415,0.016010859000000002,3.368583514352211,1.1720980234260616,8.497708269817073
KIC8216936,1.378,0.085632938,0.111503363,1.896,0.089693924,0.084599054,6437.0,50.0,50.0,-0.106,0.1,0.1,,,,,4.017,0.021095023,0.024083189,,9.234,0.780591873,0.780591873,,ms,F,,,,,,serenelli17,A,1,50.0,0.022589106,0.1,0.780591873,0.0985681505,0.087146489,7.152986248185778,4.596333808016878,8.453453248862898
KIC8241455,1.383,0.060876925,0.061619802,2.429,0.049091751,0.048259714,6262.0,66.0,66.0,-0.094,0.099,0.099,,,,,3.806,0.012083046,0.012083046,,9.402,0.792686091,0.792686091,,ms,F,,,,,,serenelli17,A,1,66.0,0.012083046,0.099,0.792686091,0.0612483635,0.0486757325,4.428659689081706,2.0039412309592426,8.43103691767709
KIC8249189,1.271,0.070092796,0.088814413,1.64,0.080529498,0.076922038,6432.0,65.0,65.0,-0.187,0.1,0.1,,,,,4.111,0.027073973,0.029068884,,6.48,0.770738566,0.770738566,,ms,F,,,,,,serenelli17,A,1,65.0,0.028071428500000002,0.1,0.770738566,0.0794536045,0.078725768,6.251267073170732,4.800351707317073,11.894113672839506
KIC8289241,1.214,0.057384667,0.06685058,1.364,0.043081318,0.042154478,6306.0,52.0,52.0,-0.004,0.1,0.1,,,,,4.251,0.019235384,0.019235384,,2.682,0.220423645,0.220423645,,ms,F,,,,,,serenelli17,A,1,52.0,0.019235384,0.1,0.220423645,0.062117623500000003,0.042617898,5.116772940691928,3.124479325513196,8.218629567486952
KIC8298626,1.206,0.056302753,0.063134776,1.378,0.027730849,0.029546573,6211.0,84.0,84.0,0.038,0.099,0.099,,,,,4.24,0.0117047,0.012649111,,3.33,0.295233576,0.295233576,,ms,F,,,,,,serenelli17,A,1,84.0,0.0121769055,0.099,0.295233576,0.0597187645,0.028638710999999997,4.951804684908789,2.0782809143686505,8.865873153153153
KIC8321567,1.073,0.058412327,0.057628118,1.586,0.034058773,0.034058773,5744.0,58.0,58.0,0.032,0.101,0.101,,,,,4.067,0.011401754,0.011401754,,2.503,0.230610554,0.230610554,,ms,G,,,,,,serenelli17,A,1,58.0,0.011401754,0.101,0.230610554,0.058020222499999996,0.034058773,5.407290074557316,2.1474636191677177,9.213366120655214
KIC8367710,1.455,0.064443774,0.122772147,2.041,0.033970576,0.055946403,6352.0,66.0,66.0,0.014,0.1,0.1,,,,,3.98,0.008062258,0.0117047,,6.585,0.565773538,0.565773538,,ms,F,,,,,,serenelli17,A,1,66.0,0.009883479,0.1,0.565773538,0.0936079605,0.044958489500000004,6.433536804123712,2.202767736403724,8.591853272589217
KIC8408931,1.493,0.074652528,0.073878278,2.866,0.053254108,0.053254108,6252.0,120.0,120.0,-0.124,0.101,0.101,,,,,3.697,0.012529964,0.011661904,,11.63,1.025257412,1.025257412,,ms,F,,,,,,serenelli17,A,1,120.0,0.012095934,0.101,1.025257412,0.07426540300000001,0.053254108,4.974239986604153,1.8581335659455687,8.815626930352536
KIC8414062,1.3,0.072124892,0.080280757,1.726,0.105304321,0.102459748,6578.0,61.0,61.0,-0.251,0.1,0.1,,,,,4.076,0.042107007,0.04110961,,3.12,0.281430927,0.281430927,,ms,F,,,,,,serenelli17,A,1,61.0,0.041608308499999996,0.1,0.281430927,0.07620282449999999,0.1038820345,5.86175573076923,6.0186578505214365,9.020222019230768
KIC8424992,0.929,0.047423623,0.047423623,1.052,0.019235384,0.019235384,5807.0,57.0,57.0,-0.127,0.101,0.101,,,,,4.362,0.007615773,0.007615773,,1.148,0.099757735,0.099757735,,ms,G,,,,,,serenelli17,A,1,57.0,0.007615773,0.101,0.099757735,0.047423623,0.019235384,5.104803336921421,1.8284585551330799,8.689698170731708
KIC8493800,1.252,0.057280014,0.063126856,1.482,0.029154759,0.03088689,6241.0,73.0,73.0,0.039,0.1,0.1,,,,,4.193,0.012529964,0.013416408,,2.704,0.227754039,0.227754039,,ms,F,,,,,,serenelli17,A,1,73.0,0.012973186,0.1,0.227754039,0.060203435,0.0300208245,4.80858107028754,2.0256966599190283,8.42285647189349
KIC8499940,1.163,0.102156742,0.061717096,1.648,0.040706265,0.036359318,6023.0,58.0,58.0,-0.006,0.1,0.1,,,,,4.07,0.014317821,0.012529964,,3.065,0.26643273,0.26643273,,ms,F,,,,,,serenelli17,A,1,58.0,0.0134238925,0.1,0.26643273,0.081936919,0.0385327915,7.045306878761822,2.338154824029126,8.692748123980424
KIC8656342,1.159,0.112307613,0.073878278,1.621,0.045793013,0.043266615,6074.0,71.0,71.0,-0.05,0.099,0.099,,,,,4.085,0.017492856,0.015811388,,3.33,0.29975692,0.29975692,,ms,F,,,,,,serenelli17,A,1,71.0,0.016652122,0.099,0.29975692,0.0930929455,0.044529814,8.032178213977566,2.7470582356570024,9.001709309309309
KIC8677016,1.081,0.064007812,0.06226556,1.324,0.032202484,0.031304952,6248.0,75.0,75.0,-0.27,0.101,0.101,,,,,4.227,0.013928388,0.013928388,,3.585,0.402598294,0.402598294,,ms,F,,,,,,serenelli17,A,1,75.0,0.013928388,0.101,0.402598294,0.063136686,0.031753718,5.840581498612396,2.3983170694864047,11.230077935843793
KIC8696343,1.119,0.06105735,0.06105735,1.183,0.034176015,0.03324154,6178.0,65.0,65.0,-0.056,0.099,0.099,,,,,4.341,0.018681542,0.019646883,,1.909,0.162372778,0.162372778,,ms,F,,,,,,serenelli17,A,1,65.0,0.0191642125,0.099,0.162372778,0.06105735,0.033708777499999995,5.45642091152815,2.849431741335587,8.50564578313253
KIC8738809,1.332,0.043829214,0.041182521,2.163,0.027018512,0.026248809,6058.0,59.0,59.0,0.074,0.1,0.1,,,,,3.892,0.00781025,0.007071068,,6.269,0.527974582,0.527974582,,ms,F,,,,,,serenelli17,A,1,59.0,0.0074406590000000005,0.1,0.527974582,0.0425058675,0.026633660500000003,3.1911311936936935,1.2313296578825708,8.421990460998565
KIC8776961,1.065,0.053141321,0.051264022,1.676,0.034,0.034,5777.0,72.0,72.0,-0.126,0.1,0.1,,,,,4.017,0.008944272,0.009848858,,2.977,0.266738426,0.266738426,,ms,G,,,,,,serenelli17,A,1,72.0,0.009396564999999999,0.1,0.266738426,0.0522026715,0.034,4.901659295774648,2.028639618138425,8.959974000671817
KIC8802782,1.44,0.15559563,0.077233412,2.359,0.116107709,0.10031949,6089.0,68.0,68.0,0.254,0.1,0.1,,,,,3.851,0.023086793,0.024083189,,8.073,0.665018024,0.665018024,,ms,F,,,,,,serenelli17,A,1,68.0,0.023584991,0.1,0.665018024,0.116414521,0.10821359950000001,8.084341736111112,4.587265769393811,8.237557587018456
KIC8915084,1.131,0.10511898,0.074202426,1.501,0.043382024,0.037215588,5817.0,60.0,60.0,0.09,0.1,0.1,,,,,4.141,0.015264338,0.014422205,,2.713,0.229036118,0.229036118,,ms,G,,,,,,serenelli17,A,1,60.0,0.014843271500000001,0.1,0.229036118,0.08966070300000001,0.040298806,7.927559946949602,2.6847972018654236,8.442171691854035
KIC8938364,1.037,0.048795492,0.049497475,1.376,0.023430749,0.023430749,5965.0,62.0,62.0,-0.18,0.1,0.1,,,,,4.176,0.00781025,0.00781025,,1.866,0.164602039,0.164602039,,ms,G,,,,,,serenelli17,A,1,62.0,0.00781025,0.1,0.164602039,0.049146483500000004,0.023430749,4.739294455159113,1.7028160610465117,8.821116773847802
KIC8940939,1.095,0.086313383,0.065802736,1.458,0.056356011,0.048548944,6343.0,58.0,58.0,-0.402,0.1,0.1,,,,,4.149,0.014142136,0.014142136,,5.227,0.440074512,0.440074512,,ms,F,,,,,,serenelli17,A,1,58.0,0.014142136,0.1,0.440074512,0.0760580595,0.0524524775,6.945941506849315,3.5975636145404666,8.41925601683566
KIC8950146,1.237,0.054671748,0.061032778,1.33,0.032202484,0.032202484,6374.0,60.0,60.0,-0.014,0.101,0.101,,,,,4.282,0.014317821,0.014317821,,2.588,0.214813087,0.214813087,,ms,F,,,,,,serenelli17,A,1,60.0,0.014317821,0.101,0.214813087,0.057852263,0.032202484,4.676819967663702,2.421239398496241,8.300351120556414
KIC8952800,1.293,0.066219333,0.063245553,2.014,0.048600412,0.045453273,6122.0,55.0,55.0,0.03,0.1,0.1,,,,,3.941,0.01077033,0.01077033,,5.939,0.507484631,0.507484631,,ms,F,,,,,,serenelli17,A,1,55.0,0.01077033,0.1,0.507484631,0.064732443,0.0470268425,5.006376102088168,2.3349971449851044,8.5449508503115
KIC8956017,1.497,0.074652528,0.074652528,1.881,0.077162167,0.072449983,6605.0,86.0,86.0,0.128,0.1,0.1,,,,,4.063,0.02433105,0.025317978,,5.943,0.482317729,0.482317729,,ms,F,,,,,,serenelli17,A,1,86.0,0.024824514,0.1,0.482317729,0.074652528,0.074806075,4.9868088176352705,3.97693115364168,8.1157282348982
KIC9005973,1.122,0.074303432,0.069115845,1.452,0.038483763,0.037576588,6131.0,57.0,57.0,-0.128,0.1,0.1,,,,,4.164,0.014317821,0.015231546,,2.539,0.214719269,0.214719269,,ms,F,,,,,,serenelli17,A,1,57.0,0.0147746835,0.1,0.214719269,0.0717096385,0.0380301755,6.391233377896613,2.619158092286501,8.456843993698305
KIC9049593,1.157,0.089202018,0.097621719,1.414,0.052801515,0.052009614,5788.0,59.0,59.0,0.202,0.1,0.1,,,,,4.197,0.019313208,0.019313208,,2.614,0.217129481,0.217129481,,ms,G,,,,,,serenelli17,A,1,59.0,0.019313208,0.1,0.217129481,0.0934118685,0.0524055645,8.073627355229041,3.7061926803394627,8.306407077276207
KIC9073645,1.373,0.077794601,0.070292247,2.342,0.087664132,0.079649231,6438.0,64.0,64.0,-0.152,0.1,0.1,,,,,3.836,0.021377558,0.021377558,,8.356,0.740955344,0.740955344,,ms,F,,,,,,serenelli17,A,1,64.0,0.021377558,0.1,0.740955344,0.074043424,0.0836566815,5.392820393299345,3.5720188514090516,8.867344949736715
KIC9093289,1.237,0.055865911,0.068242216,1.448,0.032695565,0.033615473,6285.0,57.0,57.0,-0.011,0.1,0.1,,,,,4.207,0.014317821,0.015231546,,3.143,0.279932795,0.279932795,,ms,F,,,,,,serenelli17,A,1,57.0,0.0147746835,0.1,0.279932795,0.06205406349999999,0.033155519,5.016496645109134,2.289745787292818,8.906547725103405
KIC9116461,1.208,0.051107729,0.053712196,1.251,0.029546573,0.029546573,6470.0,47.0,47.0,-0.116,0.1,0.1,,,,,4.324,0.012041595,0.013038405,,2.402,0.193508831,0.193508831,,ms,F,,,,,,serenelli17,A,1,47.0,0.012539999999999999,0.1,0.193508831,0.0524099625,0.029546573,4.338573054635761,2.3618363709032777,8.056154496253122
KIC9138680,1.416,0.055443665,0.055443665,2.477,0.053712196,0.052801515,5990.0,60.0,60.0,0.129,0.099,0.099,,,,,3.8,0.012649111,0.012649111,,7.756,0.670259577,0.670259577,,ms,G,,,,,,serenelli17,A,1,60.0,0.012649111,0.099,0.670259577,0.055443665,0.0532568555,3.915513064971752,2.1500547234557934,8.641820229499743
KIC9143749,1.151,0.057428216,0.062433965,1.708,0.046518813,0.045617979,6075.0,76.0,76.0,-0.122,0.101,0.101,,,,,4.033,0.014866069,0.014866069,,3.896,0.337951413,0.337951413,,ms,F,,,,,,serenelli17,A,1,76.0,0.014866069,0.101,0.337951413,0.0599310905,0.046068396,5.206871459600348,2.697212880562061,8.674317582135522
KIC9163769,1.315,0.061619802,0.058694122,1.537,0.038013156,0.037121422,6438.0,100.0,100.0,0.049,0.1,0.1,,,,,4.183,0.016763055,0.016763055,,3.949,0.322075477,0.322075477,,ms,F,,,,,,serenelli17,A,1,100.0,0.016763055,0.1,0.322075477,0.060156962,0.037567289000000004,4.57467391634981,2.444195770982434,8.15587432261332
