ID,Teff,logg,FeH,logL,eTeff,elogg,eFeH,elogL,M,R,eM,eR
KIC11081729,0.8343393326461324,0.35199343169231606,-0.27124279366038023,0.35312177858056903,0.018890261975564437,0.03686752089839296,0.02723251395318315,0.018409602042238772,1.006241396948683,-0.12219382355479466,0.09933341492825719,0.03717069335453318
KIC9093289,0.375069838365222,0.00912548733726166,0.3162734795888488,0.26840917136147924,0.0672965582879483,0.05447059527033916,0.5043058139478361,0.05524379640481173,0.3009741509580574,-0.07015485285844816,0.2054680679209973,0.061620681487969925
KIC9542776,0.4435470380266431,-1.524563382035885,-0.42001300877499187,1.07193492871336,0.10271579949213162,0.1345551919382519,0.5093488720873145,0.05516500860280181,0.7910189979374592,1.8385602508968306,0.27403502702137117,0.26975005971045923
KIC4638884,0.820171636164459,-0.5696945907675078,0.41209158423893766,0.6740403669601823,0.0672965582879483,0.02473148511606832,0.4992627558083577,0.05006652342457997,1.2446415927765004,0.821941787650348,0.1616900340273042,0.04880488341133193
ASAS_J060505+2032.1_B,1.7069513717798623,-0.5254535656894346,-0.2334198576142925,1.043361396150621,0.19255080159967525,0.014747008359357182,1.563348023238292,0.12541378397150887,1.8240865131913342,0.9706245610684808,0.03973336597130288,0.009292673338633295
HD24465_B,-3.3687439569169544,3.039635705185163,1.884664560966619,-3.720125232749989,0.03778052395112887,0.02580726462887507,0.756458720921754,0.025453966850989836,-3.0326552540342546,-2.310897175003094,0.003046224724466554,0.0012823889207313945
KIC10935310_B,-2.9602420416953734,2.682020752470753,-1.0453522180703085,-3.014159755946531,0.2479346884292832,0.10322905851550028,0.14624868604487246,0.15335133918927882,-2.5498948574829243,-2.1154722546916362,0.056288935126012414,0.015054130808585935
KIC8321567,-0.26365714468355045,-0.5070198052402385,0.5331249795864184,0.12755768431984718,0.06847719966142107,0.04203544038733355,0.5093488720873145,0.057157536922515656,-0.24204851731641575,0.18632293128783095,0.1921115611940768,0.0632994103607327
TIC369605666_B,-0.568262619039527,1.3105489750505321,0.11959421214919275,-0.856559461984967,0.13695439932284215,0.1843376044919648,0.05043058139478361,0.04210683178627595,-1.0565825197281247,-1.2949291988903162,0.07946673194260576,0.08177552537997299
KIC3438633,0.5486241202657203,-0.9051890309428828,-0.5561755785409076,0.6246097280480931,0.08618682026351274,0.05213854945279153,0.5043058139478361,0.049731406855851035,0.4433520456885591,0.8907075703562346,0.23004988626866646,0.11576982036557788
RS_Cha B,1.4884146535500509,-0.9899843290091871,1.2290670028344322,1.1866879753812425,0.08500617889003996,0.22120512539035772,0.35301406976348526,0.04280216245520484,2.400220319775226,1.6601409227950712,0.033111138309419065,0.11151208006359951
KIC8391021,0.3337473902936748,-0.15309160461566584,-0.7377256715621286,0.22857639577466143,0.06021271004711164,0.038710896943312596,0.8825351744087131,0.05300948035573828,0.37712976906972095,0.10083033657240459,0.3476669522489002,0.09292673338633294
KIC11295426,-0.29081189627342435,0.24139086899713624,0.8931993307451733,-0.20585488798634247,0.09681259262476773,0.03686752089839296,0.024710984883443966,0.036871424942065134,-0.4175375503563366,-0.4753154104228597,0.06622227661883813,0.01858534667726659
KIC8915084,-0.1774703244200377,-0.23420015059213123,0.8256223516761632,0.17739656794160316,0.07083848240836663,0.05472346222267706,0.5043058139478361,0.05234930295166293,-0.05000391512178501,0.028347484531064625,0.2968767937952745,0.07489672801899108
UCAC4_665-061158_B,-2.8190373334280294,1.0045485515938732,-0.6772089738883883,-2.002475564657554,0.14080329020036342,0.7447239221475377,0.2924973720897449,0.4475442673647846,-1.9207832296039624,-1.4250266256311823,0.023177796816593346,0.2155900214562924
KIC8694723,0.22158645981376096,-0.34848946537714826,-1.7059928343419737,0.24511293317172972,0.10507708223907718,0.03686752089839296,0.030258348836870164,0.03668757834799711,-0.15264844388098384,0.08224498989513798,0.06622227661883813,0.01858534667726659
KIC10987439_B,0.6171013199271413,0.10129428958324535,-0.42505606691447023,0.34373805571650456,0.10625772361254995,0.06636153761710731,0.06051669767374033,0.043636802504967064,0.9118746527668388,0.0487913658760581,0.014900012239238578,0.05761457469952642
KIC9390670,0.3290248247997837,-0.3595497216466666,1.3551434563213913,0.5280309990700921,0.05903206867363886,0.09100034147238917,0.5043058139478361,0.051572105926225686,0.741352290473331,0.4186397647536633,0.23348686381410702,0.12484403038815857
EPIC201367904,0.3349280316671476,-1.0637193708059731,0.27088595633354356,0.7333258440452232,0.09209002713087662,0.047927777167910836,0.4034446511582689,0.055644946501483286,0.5095743223073973,1.1044390571448004,0.16555569154709532,0.09292673338633294
KIC9700430,0.1696382393809588,-0.1494048525258286,0.49278051447059146,0.19714372415634027,0.10625772361254995,0.059018629793022304,0.5043058139478361,0.05353974903090069,0.24799632966298685,0.04693283120833123,0.2618853716191215,0.08561791199100177
KIC10186764,0.6147400371801958,-0.4332847634434542,-0.4704435901697755,0.39664923082817255,0.08736746163698551,0.08917181197813531,0.5143919302267927,0.05560812066494726,0.5261298914621065,0.41492269541821,0.219828630183785,0.11856144072664271
TIC189069314_B,-0.26956035155091435,0.7206686406762476,-1.2420314855099646,-0.43386169948049075,0.13813504069631494,0.11060256269517886,0.15129174418435082,0.024512500281180374,-0.6162043802128512,-0.8600320866422781,0.17880014687086296,0.06504871337043307
UCAC4_570-022931_A,0.5539724256875517,-0.5696945907675078,0.6894597819102476,0.8194942779807846,0.029291712475859603,0.15115683568341112,0.1159903372080023,0.1949868001380687,0.41355202121008156,1.373926583965166,0.13244455323767626,0.28063873482672547
KIC11229052,0.6230045267945052,-0.024055281471289984,0.27088595633354356,0.33017251106700496,0.06021271004711164,0.05898803343742873,0.756458720921754,0.05300096856536105,0.41024090737914004,-0.010681743491195035,0.4470003671771574,0.11151208006359953
KIC3633847,0.18262529448915932,-0.7061044180915614,0.9769140958605141,0.58767321036116,0.06021271004711164,0.0629862202233051,0.5043058139478361,0.05605355730901415,0.4599076148432683,0.6918443609094822,0.35402904556376985,0.09914047548961752
47_Tuc-V69 A,-0.026348228615522242,-0.22682664641245345,-3.2088241599065253,-0.029748370673101425,0.17709620602091658,0.011060256269517886,0.5043058139478361,0.0694504782750972,-0.8943379420119711,-0.3154814289983669,0.016555569154709533,0.009292673338633295
EPIC206453540,0.6572431266252158,-0.5918151033065444,0.27088595633354356,0.6738360006222559,0.09209002713087662,0.04055427298823225,0.5547363953426196,0.051518766168194265,0.9069079820204257,0.7141467769222021,0.2648891064753525,0.09292673338633294
