ID,Teff,logg,FeH,L,logL,eTeff,elogg,eFeH,eL,elogL,M,R,logR,eM,eR,elogR
EPIC248833327,-0.5271839039060147,-0.12975342621620747,-0.5772588078845361,-0.3594965251208719,-0.17496910258619192,0.2655318619600814,0.0648050489041196,0.0294759944940802,0.016669204224624312,0.036037306882206334,-1.437109649490785,-0.22228606209216048,-0.0448410530207249,0.20066796423015498,0.02723445816707507,0.03724112237844344
KIC3441184,0.16108563824685573,-0.2310113151288946,-1.3193169692730051,-0.09716253363002726,0.2944851837931391,0.2965224398509395,0.012150946669522425,0.21370096008208145,0.07163433420383943,0.10745962340864618,-1.0200692716559416,-0.1662888811989946,0.030474697773729013,0.16838659607139092,0.030036276525270557,0.03974677491018328
KIC9589420,0.8784945855798189,0.8558233592006108,0.39839660986951836,-0.5712132746848471,-0.7329793081720081,0.26299358470003126,0.011880925632421928,0.21370096008208145,0.016223069804987167,0.05355898264390799,0.27511156703825507,-0.6578218682762698,-0.7342801927516159,0.2360029753228562,0.023178679145071802,0.0428037142131655
KIC7346684,-0.7564072294847791,-0.8142567552659715,0.02036698048293986,0.20705394617761977,0.6877024454470204,0.26063003471574575,0.011340883558220929,0.21370096008208145,0.0669036238419397,0.0747408349541542,-0.37356943907096357,0.4715852339717217,0.7492019720438003,0.19412444365743253,0.04120436368730853,0.03986391715423048
KIC10602372,-0.24114386608818594,0.6611381914511519,1.7285008614148873,-0.5231207216602265,-0.5839498492377313,0.21721045392966343,0.010260799409818937,0.21370096008208145,0.02298071579102818,0.06727096723075332,0.7335942418336743,-0.4967662955184589,-0.45464671794644007,0.23643921002770432,0.02433467413201959,0.039782379039511484
EPIC212643613,0.8560240308226768,0.9611315636698056,-0.860965254890058,-0.6878672596651807,-1.1849510404916501,0.26817506656037915,0.07560589038813953,0.03168669408113621,0.02189745717541336,0.09621705169060257,-0.7914822863155041,-0.8768927148705621,-1.1792744519124594,0.14831979964837544,0.011168087162037977,0.02503535178156041
EPIC211535748,1.4029959898028437,0.7775172584414665,-1.2198354878554845,-0.5737415453038062,-0.7412996902165767,0.26817506656037915,0.07290568001713454,0.02837064470055219,0.014748245277261058,0.04865968180319289,-0.6169884043762388,-0.6443221980049642,-0.7094878548652495,0.20066796423015498,0.016850096419916947,0.03078072818092081
KIC9649717,-1.356282947459,-0.2904159432910037,1.2631485983395963,-0.23853499907348685,0.06232959074008196,0.23743947552413858,0.011070862521120432,0.21370096008208145,0.027916321417672717,0.05022660435596258,-0.748731285240384,-0.06763744460099269,0.15742897764086966,0.18016493310229134,0.031897624385610224,0.0399381951152164
KIC7629559,-0.33275483206787276,0.6568178548575445,1.941464921634617,-0.5691057504347264,-0.7260834494591307,0.2552539314804619,0.011070862521120432,0.21370096008208145,0.021072292852150603,0.06894680639565146,0.17085147257954394,-0.5603264266652154,-0.5609700330311002,0.2146274747852962,0.02323745855118779,0.03979014963646163
KIC11867867,-1.2617514667790999,-1.7574402378580114,-0.7456404264319693,1.428243418855846,1.6248504335962846,0.22028980087180655,0.010260799409818937,0.21370096008208145,0.11191526842814045,0.061769107179008784,-0.286758732806179,1.6309502402034954,1.6623567412751599,0.195433147771977,0.06073871965318899,0.039471787375041575
KIC7938029,-1.8395484512552542,-1.1420622943059764,0.5737787771092956,0.31331442133263093,0.8014296577548063,0.20221868884242336,0.010260799409818937,0.21370096008208145,0.06156549646383506,0.0632657085243866,-0.3744419084806598,0.8171101762568792,1.0612425534801317,0.195433147771977,0.04735660819411542,0.03999114866400193
KIC8415501,0.18720880863391626,-0.5955397152145667,-0.5282549670381278,0.30125077807426787,0.7890007455861449,0.23432068348879972,0.010530820446919435,0.21370096008208145,0.04161112060370085,0.043120999497081786,0.8574848980105524,0.5154346709342499,0.7912333669958656,0.24080155707618597,0.04185093715458442,0.03975458801184599
KIC12257460,-1.7130874824698874,-1.715316956070334,0.41313460711655847,2.743138817552206,2.200979329757176,0.20473686359203588,0.009990778372718438,0.21370096008208145,0.2054219877904219,0.07265346714908212,1.7164310318565847,2.195506842812201,2.002675018790115,0.2765728028737353,0.07161290978464703,0.04012440427934964
EPIC212529674,-0.6323708190945082,-0.3160679418155512,0.2115924947632851,-0.3234998508050061,-0.09978663529251021,0.26817506656037915,0.07560589038813953,0.039424142635832264,0.04772079189902448,0.0939812390430926,-0.883091574333618,-0.15860837213317214,0.04061480436863935,0.2791902111028243,0.035071712315873645,0.04620713230391436
EPIC212442630,-0.4798497920711925,-0.027145432118018627,0.15669345501806076,-0.5082690279768064,-0.5411334969712701,0.2655318619600814,0.05940462816210963,0.027633744838200185,0.04745311124724219,0.1274769720094362,-1.0314113739819935,-0.4454518739792003,-0.3722628373275371,0.2922772522482692,0.031153085241474355,0.049135793081109776
KIC7350897,1.8621736900209334,1.0885814931812412,-0.8090138145942417,-0.5874363444898343,-0.7873035563519193,0.2645356248766945,0.010800841484019934,0.21370096008208145,0.011061183957945794,0.03797822957393082,0.04608834699296952,-0.7982458694873682,-1.0094236116896327,0.2076477195077256,0.019024934446208553,0.03960770288347442
EPIC246038815,0.41949833279042814,-0.5752881374320298,-1.9939487932562656,-0.29611341277122355,-0.04532607516632511,0.27043472023506826,0.09450736298517443,0.04126639229171228,0.032002428116347015,0.061943170006750384,-1.8733443543389479,-0.26852586157007224,-0.10895230411120953,0.21375500537559988,0.03193681065635422,0.04491029945275783
EPIC211006532,0.4510544073469762,0.31848149537061954,-0.3528727997983506,-0.41982274760298055,-0.3114458283819301,0.2663119983839357,0.0648050489041196,0.027633744838200185,0.03524535656359848,0.08192993373368422,-0.5210167693096429,-0.4287977089130033,-0.34614844111581095,0.2791902111028243,0.027038526813355102,0.042161910075189005
KIC7530496,-0.6874466878872022,0.009577428927649897,1.3103101895301246,-0.33671617477639626,-0.12689506488079555,0.21299035489230106,0.011070862521120432,0.21370096008208145,0.014116177622521297,0.029239064018820975,0.6847359548906795,-0.05452963703712698,0.17378087259696187,0.25476106763132716,0.03456229079620174,0.042967978177300595
EPIC211518350,0.5352039394977711,-0.24586247216942217,-0.08353590010869284,-0.2134031463641611,0.10669890310136415,0.2663119983839357,0.06210483853311462,0.02689684497584818,0.03689031263505871,0.06295732631823685,0.3121915169503487,-0.18760621248372683,0.0020936777423673446,0.2661031699573794,0.02566700733731535,0.03438675772287311
KIC9597653,0.9566616119292691,0.9117177138804144,0.1334811093539726,-0.5937570210372318,-0.8090894593121262,0.270564938855299,0.012150946669522425,0.21370096008208145,0.012325319267425312,0.04271974402909491,0.1586369008437948,-0.6996336191601101,-0.8128129313060957,0.23120439356952638,0.022394953730191944,0.04279620530122698
KIC12366840,0.2952252518409828,-0.2293911889062918,-0.042637957748156576,0.05606625688104071,0.5071248120344893,0.26509574520007323,0.011340883558220929,0.21370096008208145,0.055896587013083275,0.07170149719084418,0.6201732185731518,0.13166392840295535,0.39428853699914235,0.23120439356952638,0.035189271128105624,0.03973875023309091
KIC5806522,-0.47159787857465296,0.10138458154181881,0.8615381733577534,-0.4070863736707562,-0.2814332398287063,0.21751391817998222,0.010260799409818937,0.21370096008208145,0.012114630049178727,0.02823482002973404,-0.3264560909473623,-0.2798311006797143,-0.12490327815786412,0.1958693824768252,0.028116149258814904,0.0398122847523512
KIC5196152,0.5096671861628863,0.477793907259914,0.2377524398767813,-0.44058595937196343,-0.3618858568397129,0.23621089235473697,0.010260799409818937,0.21370096008208145,0.014642900668137768,0.036233925985322483,0.3641034468272802,-0.4290916059435831,-0.34660671694481454,0.21855358712892964,0.02517717895301544,0.03926671478782769
KIC12305778,-0.16352907104347295,-0.41975602006214313,-1.1933070928108123,-0.02047165818826989,0.40518977359456715,0.253789729621038,0.011070862521120432,0.21370096008208145,0.0564647104900852,0.07709498145226705,-0.6187333431956312,0.06140294495897591,0.31354784893112925,0.18409104544592478,0.03401368300578584,0.03978669743438236
KIC8074044,-0.8401870296286895,0.19805211282379737,1.4451628643405414,-0.4818810461482944,-0.4683261122743951,0.23080533678320028,0.011610904595321428,0.21370096008208145,0.019172718860439374,0.05160349678625389,-0.7845025310379333,-0.4172573521788973,-0.32822544731234554,0.19325197424773619,0.027783065957490968,0.04298603819013769
EPIC246193091,0.26171796000768766,0.48319432800192336,0.0793189694711002,-0.6251754186405993,-0.9230641149531158,0.26817506656037915,0.06750525927512459,0.032055144012312214,0.013441866779523099,0.05101991582053869,-1.1622817854364424,-0.7154452794053112,-0.8432257632798652,0.2617408229088978,0.023315831092675775,0.045150994497310956
KIC9963690,1.0585351392893247,1.40747633799693,0.27422898306320553,-0.7182743490209645,-1.3335135472821227,0.2882437036910291,0.012420967706622923,0.21370096008208145,0.010218427084959448,0.05293807850994987,-0.332999611520085,-0.9724876223505328,-1.4042345129073885,0.21070136244166274,0.017300738533472866,0.042780550189540405
EPIC248587140,0.9875076748082938,0.10786508643223126,-0.7986972165213138,-0.21573252636109536,0.102648637962331,0.26719339940600595,0.06750525927512459,0.02800219476937619,0.033393292990601856,0.05762252605786434,0.12461059386563796,-0.25010831432039565,-0.08320144021254737,0.2879149051997876,0.027822252228234957,0.03868646376150329
KIC10024460,-0.9534486183616255,-0.49374178422767995,-0.03232135967522852,-0.17935977179065932,0.16451642318139628,0.23611885380394704,0.010800841484019934,0.21370096008208145,0.03906915518555578,0.06517253308286416,-0.8337970526857762,0.07748890909938509,0.3322854316407507,0.176675055463506,0.03436635944248177,0.03987235205199986
KIC10881149,-0.9398831878443398,-0.5493661178703825,-0.24565386982613396,-0.15609546831187127,0.20261869670572227,0.2368835626773674,0.010800841484019934,0.21370096008208145,0.041415284975340645,0.06702970405737994,-0.9232251671796494,0.10395923498695221,0.3627899536412168,0.1731851778247207,0.03483659469140969,0.03988421615095215
EPIC210335817,-0.10117689739261539,0.23207476349846,0.3703944151001422,-0.22829908478341293,0.080581154177288,0.2655318619600814,0.05940462816210963,0.02689684497584818,0.05717578660166743,0.09725876506104834,-0.006259817588810084,-0.11530754296105998,0.09695873136146128,0.2791902111028243,0.029977497119154567,0.038535983543358854
KIC10318393,-1.2233109086234637,-1.0767172033276557,-0.4398269835558872,0.30832719684751597,0.796305615426572,0.21469490885293058,0.011340883558220929,0.21370096008208145,0.05865935473195076,0.06079886193876634,-0.6492697725350032,0.6708670138402975,0.9343107433044748,0.19935926011561048,0.04819911301511127,0.043018089110683624
KIC6768654,0.9261647696086688,-0.039026357750440444,-1.0728239653162595,-0.052862175844627116,0.35956130720095536,0.2511505899189587,0.010800841484019934,0.21370096008208145,0.04543902766541395,0.06533743853781632,0.3244060886860969,-0.07259450785010772,0.15121458606085664,0.21942605653862596,0.031603727355030274,0.03967746394263115
EPIC212426710,-0.25369792441593114,-0.13785405732922273,-0.6925836363426251,-0.2887847990037343,-0.03112577613182904,0.2663119983839357,0.06750525927512459,0.0294759944940802,0.018658321134090338,0.036554474816133345,-1.2975145439393732,-0.1678171457580106,0.028451667725141235,0.2748278640543427,0.03742288856051322,0.04956784924295613
EPIC248470067,0.9612109460111704,0.7343138925053867,-1.4044289033746615,-0.6026059682035885,-0.8402069716324101,0.26817506656037915,0.07290568001713454,0.0294759944940802,0.00705808881126065,0.025110801509522666,-1.3280509732787442,-0.8069452215925347,-1.0276046852609935,0.2530161288119345,0.021552448909196095,0.04522795879588839
KIC8145739,0.4610471642898812,-0.49158161593087496,-0.8329630601206819,0.17374018836690594,0.6499305911160357,0.24022903251493744,0.011340883558220929,0.21370096008208145,0.07236711130490106,0.08250159898820306,-0.15763326017112342,0.21640423888683985,0.48803388275472775,0.21855358712892964,0.03951935404531684,0.04284296200062261
KIC5822936,0.6507964702712874,-0.24343228283551735,-0.3532412497295267,0.16240658324976723,0.6368297855843892,0.23987613041448003,0.010530820446919435,0.21370096008208145,0.026230807671700027,0.03042931389216211,0.9076518890680905,0.1917756677242403,0.4611806281784067,0.24211026119073045,0.036188521032077446,0.03969312801863233
KIC9711269,-0.5543904995195174,0.2131732909014248,1.0962407795168672,-0.4640782285848943,-0.4213818558336474,0.21506569272897003,0.009990778372718438,0.21370096008208145,0.03332977019130051,0.08506387881869758,-0.4119580930976025,-0.3684508519672541,-0.25393627143658637,0.19019833131379907,0.02629398766921924,0.03938549520063438
KIC9004818,0.3832787963489981,0.38274650220053824,0.6769447578385762,-0.2673994219732693,0.009458845407241828,0.23141962836790111,0.010530820446919435,0.21370096008208145,0.013694799186028127,0.025581946497945093,1.5650575892742724,-0.21587910682551795,-0.036097459398751475,0.2674118740719239,0.029174178568902715,0.03974232075983852
KIC8165159,0.8905148203129838,0.4262198891737179,-0.3760851454624388,-0.3824357351359055,-0.22521576683770228,0.2580161398733117,0.010800841484019934,0.21370096008208145,0.022333057134138176,0.050064717369752,-0.048138349254233964,-0.4511926626431951,-0.38133394195556497,0.2050303112786366,0.025059620140783462,0.03967939258848579
EPIC212483392,-0.03280540252009452,-0.18105742326530253,-1.421009150277582,-0.35201937545451883,-0.15899595372736644,0.27043472023506826,0.09180715261416944,0.04200329215406428,0.01405707929680313,0.0299913563768252,-1.410935567199895,-0.2793020860246702,-0.12415439419353272,0.15704449374533866,0.02057279214059627,0.029120076698264444
KIC2716732,-2.5143856243385536,-2.94877305354541,-0.1553836366880134,6.231277700770738,3.0743826838715593,0.19847719026916866,0.010260799409818937,0.21370096008208145,0.31562919872623724,0.05821182811824402,1.7273368994777896,4.928808006611821,3.175779777261294,0.28398879285615414,0.12237872353348983,0.041125869575303425
KIC7905696,-0.3296039580234043,-0.21427001082866315,0.6975779539844323,-0.07777912555134141,0.32335463467219716,0.22176820296478084,0.010260799409818937,0.21370096008208145,0.04456076965915306,0.06550886925525377,1.0193279735092204,0.1847417321256936,0.45345327848595696,0.24734507764890842,0.03616892789670544,0.03980547165518279
KIC7812552,1.7061867541421585,1.6534655027954837,-1.300526022783029,-0.8008645225736265,-1.8495813885416066,0.2662985575752537,0.010800841484019934,0.21370096008208145,0.0024229260098357452,0.01853988805962096,-1.1779862348109762,-1.1378732780255547,-1.8545808695812758,0.15922566726957949,0.013009841887005644,0.039144766206640966
KIC4065939,-2.0398979686147785,-0.8536798266826435,1.6242295308920787,0.06253989380088532,0.5153959577878681,0.22865268656386775,0.011070862521120432,0.21370096008208145,0.05994108259115387,0.07692442629846695,-0.5437009739617478,0.47044883212014577,0.7481023864144807,0.18888962719925456,0.04134151563491251,0.04001580744033151
KIC10000207,0.1687984688030544,0.6800396640481872,-0.3407139520695426,-0.5792194649782174,-0.7595092192558617,0.24428135842257415,0.010800841484019934,0.21370096008208145,0.009375670211973101,0.0312962458589684,-0.7958446333639853,-0.6942651000681831,-0.8025778711961116,0.17711129016835417,0.020886282306548216,0.0397349165161007
KIC8349297,0.6135855471542047,0.5142467472684803,-0.25891806734847006,-0.4104574011627016,-0.28931069335777143,0.2878871200485401,0.012420967706622923,0.21370096008208145,0.027705632199426133,0.06522123408504196,-0.34128807091220015,-0.5434371439745544,-0.5322336168282068,0.21070136244166274,0.02533392403599141,0.04284083860994126
EPIC248459370,1.066397861199664,0.9044271458787011,-1.905520809774025,-0.6621781339735926,-1.0712868356799654,0.27043472023506826,0.08910694224316446,0.036476543186424244,0.010565116193584205,0.04442305136690729,-1.768648025175389,-0.8492663939960471,-1.1181681911875923,0.12650806440596726,0.012343675284357763,0.026943731693999867
KIC7687390,0.048162225446250755,0.5312580726058128,0.8869612186088977,-0.4988604902467868,-0.5147110600056405,0.22573006812535548,0.010260799409818937,0.21370096008208145,0.028593055186680757,0.07877433929602455,0.1202482468171568,-0.49304359979777956,-0.448569510381133,0.21244630126105538,0.02439345353813558,0.03977300210077542
