ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
KIC10518551,366,1.25,0.0523259018078045,0.0574891294072192,2.08,0.0366196668472011,0.0382753184180093,6242,60,60,7.12,0.615406327362857,0.615406327362857,-0.267,0.101,0.101,3.898,0.0089442719099991,0.0098488578017961,0.1388,0.0037746317701201,0.0036756045761207,3.7024852,ms,F,,serenelli17,4.39260124860095,1.8003602227214,0.961230374879846,8.64334729442215,A,3.795323764329314,0.0041546345086671,0.0041947636020278,0.8524799936368563,0.0360031377271319,0.0392598212931527,60.0,0.0093965648558976,0.101,0.0376314795101423,0.05490751560751185,0.0374474926326052
KIC10586004,368,1.178,0.021,0.03,1.653,0.009,0.012,5770,83,83,2.749,0.151,0.155,0.256,0.0721110255092798,0.0721110255092798,4.071,0.005,0.005,0.260634898089624,0.0028407073361267,0.0035508841701583,4.0118812,ms,G,p,silva15,2.16468590831919,0.635208711433757,1.43847487001733,5.5656602400873,A,3.7611758131557314,0.006202710958449,0.0062925849035639,0.4391747398434685,0.0232232580554875,0.0252047680954071,83.0,0.005,0.0721110255092798,0.0242140130754473,0.025500000000000002,0.010499999999999999
KIC10610027,371,1.329,0.0626258732474047,0.0551543289325507,1.48,0.057567351858497,0.0528109837060436,6704,58,58,5.015,0.1028789500582,0.1028789500582,-0.041,0.1,0.1,4.222,0.0253179778023443,0.0263058928759318,0.4115,0.0413831059854139,0.0375354853571923,3.3996442,ms,F,,serenelli17,4.43115884800434,3.72899782312637,0.865155131264916,2.05142472698305,A,3.82633400562222,0.0037411608075301,0.0037736686795279,0.7002709373564369,0.008819072224532,0.0090018767245485,58.0,0.025811935339138052,0.1,0.008910474474540249,0.058890101089977706,0.0551891677822703
KIC10644253,372,1.159,0.0447772263544762,0.0456946386351835,1.118,0.0136014705087354,0.014560219778561,6069,50,50,1.537,0.130345556857047,0.130345556857047,0.096,0.1,0.1,4.405,0.0067082039324993,0.0067082039324993,0.8301,0.0056789388093199,0.0056198424355136,3.8158867,ms,F,,serenelli17,3.90301402026142,1.25946736526371,0.823858955346845,8.48051768751117,A,3.7831171374904673,0.0035633157061814,0.0035927941656774,0.1866738674997451,0.0353517490551876,0.0384864451667125,50.0,0.0067082039324993,0.1,0.03691909711095005,0.04523593249482985,0.014080845143648199
KIC10655953,373,1.262,0.0483321838943783,0.0501597448159378,1.267,0.0269258240356725,0.026,6594,61,61,2.301,0.193171468513318,0.193171468513318,-0.073,0.099,0.099,4.333,0.012369316876853,0.0133416640641263,0.6211,0.030470144469628,0.0204480317879252,3.4717492,ms,F,,serenelli17,3.90221587600301,2.08862762571715,0.925083409159842,8.39510945299078,A,3.8191489428071344,0.0039991170035595,0.0040362846173218,0.3619166186686434,0.0350096882402597,0.0380813398596296,61.0,0.01285549047048965,0.099,0.03654551404994465,0.04924596435515805,0.02646291201783625
KIC10666592,374,1.497,0.042,0.04,1.986,0.018,0.015,6350,80,80,5.754,0.304,0.322,0.203,0.0721110255092798,0.0721110255092798,4.017,0.007,0.009,0.19103756835452,0.0028407073361267,0.0035508841701583,3.6316912,ms,F,p,silva15,2.73881095524382,0.830815709969789,1.25984251968504,5.43969412582551,A,3.802773725291976,0.0054372476322464,0.0055061844612591,0.7599698575543072,0.0223594114425297,0.025010096281862,80.0,0.008,0.0721110255092798,0.023684753862195852,0.041,0.0165
KIC10709834,376,1.39,0.04,0.03,1.76,0.03,0.02,6508,84,84,5.709,0.462955303593953,0.462955303593953,-0.08,0.09,0.09,4.092,0.01,0.01,0.2573,0.0083,0.0081,3.5281222,ms,F,,C14bruntt,2.51798561151079,1.42045454545455,1.29071911493546,8.10921884032147,A,3.813447544264821,0.0055696544242382,0.0056420119941966,0.7565600430066829,0.0338627292981033,0.0367280565388875,84.0,0.01,0.09,0.0352953929184954,0.035,0.025
KIC10717090,378,1.22,0.095,0.120880105890093,1.546,0.0585234995535981,0.0593632883186233,5817,74,74,2.651,0.221827032423064,0.221827032423064,0.238,0.1,0.1,4.141,0.0223606797749979,0.0241660919471891,0.3257,0.0444637450626912,0.013675961574968,3.9810727,ms,G,,serenelli17,8.84754532336445,3.81263867633316,1.2721334020973,8.36767379943659,A,3.764699063798368,0.0054899589376256,0.0055602475172014,0.4234097277330934,0.0348997509822965,0.0379512881894883,74.0,0.0232633858610935,0.1,0.0364255195858924,0.1079400529450465,0.0589433939361107
KIC10727922,379,1.212,0.0658559033041078,0.0700071424927486,1.917,0.0756439025963098,0.0729177618965366,6319,66,66,4.764,0.413800752012321,0.413800752012321,-0.304,0.1,0.1,3.954,0.0233452350598575,0.0243310501211929,0.171,0.0153607220207906,0.0144576927965703,3.6520117,ms,F,,serenelli17,5.60491113023335,3.87484779584889,1.04446906156037,8.68599395491857,A,3.800648355363988,0.0045125462354458,0.0045599266833198,0.67797175281074,0.0361735814367244,0.039462603828546,66.0,0.023838142590525198,0.1,0.037818092632635206,0.0679315228984282,0.0742808322464232
KIC10730618,380,1.368,0.0567274184147313,0.0552268050859363,1.777,0.0240831891575846,0.0240831891575846,6422,54,54,4.894,0.397201754280749,0.397201754280749,-0.006,0.1,0.1,4.074,0.0072111025509279,0.0072111025509279,0.2436,0.0023026022235722,0.0022029900135951,3.5844952,ms,F,,serenelli17,4.09189413379633,1.3552723217549,0.840859545312987,8.11609632776357,A,3.807670301230484,0.0036365388508525,0.0036672465008709,0.6896639650157704,0.0338903565428053,0.0367605621568358,54.0,0.0072111025509279,0.1,0.03532545934982055,0.0559771117503338,0.0240831891575846
KIC10731424,381,1.437,0.0823286098510111,0.0763806258157132,2.55,0.0974935895328508,0.0878179936004006,6432,65,65,10.5,0.942460199831208,0.942460199831208,-0.129,0.101,0.101,3.782,0.0182482875908947,0.0192353840616713,0.08646,0.006158342715374,0.0060087898948124,3.5779402,ms,F,,serenelli17,5.5222420204149,3.63356045359317,1.01057213930348,8.97581142696389,A,3.808346035740395,0.0043668310249738,0.0044111858765529,1.021189299069938,0.0373301114308632,0.040843183855964,65.0,0.018741835826283,0.101,0.0390866476434136,0.07935461783336215,0.0926557915666257
KIC10732098,382,1.121,0.0559464029227975,0.0603738353924943,1.778,0.0518941229813165,0.0509901951359278,5796,67,67,3.341,0.281171050181982,0.281171050181982,-0.01,0.1,0.1,3.987,0.014560219778561,0.01552417469626,0.199,0.0108820487041733,0.0107871675615057,3.9948382,ms,G,,serenelli17,5.18823542887118,2.8932597895738,1.1559696342305,8.41577522244784,A,3.763128376799137,0.0049915173856605,0.0050495545495241,0.5238764756381313,0.0350924795602628,0.0381793263547514,67.0,0.0150421972374105,0.1,0.0366359029575071,0.0581601191576459,0.05144215905862215
KIC10794845,383,1.142,0.054644304369257,0.0554707129934347,1.143,0.0480520551069359,0.0441474801092882,6398,55,55,1.717,0.140750470612926,0.140750470612926,-0.195,0.1,0.1,4.378,0.0294278779391243,0.0323882694814033,0.7723,0.0511312213818524,0.0503896705684806,3.6002272,ms,F,,serenelli17,4.82114787052065,4.03322551252074,0.859643638637074,8.19746479982096,A,3.806044235748088,0.0037174293590367,0.0037495243506242,0.2347702951609165,0.0342170848338839,0.037145325244887,55.0,0.0309080737102638,0.1,0.03568120503938545,0.055057508681345846,0.04609976760811205
KIC10858780,384,0.92,0.14,0.11,1.43,0.1,0.08,5672,60,60,2.386,0.210801878607723,0.210801878607723,-0.16,0.15,0.1,4.086,0.023,0.023,0.3093,0.026,0.0256,4.0761202,ms,G,,C14sdss,13.5869565217391,6.29370629370629,1.05782792665726,8.83494881004706,A,3.75373622217501,0.004569959550297,0.0046185598186876,0.3776704393343231,0.0367683773301628,0.0401716198327204,60.0,0.023,0.125,0.038469998581441595,0.125,0.09
KIC10873176,386,1.109,0.0540832691319598,0.0508035431835221,2.021,0.0393573373083089,0.0384707681233427,6517,89,89,6.273,0.535099039682648,0.535099039682648,-0.837,0.104,0.104,3.871,0.0125299640861417,0.0125299640861417,0.1342,0.0048013357516424,0.0046236480186104,3.5222227,ms,F,,serenelli17,4.72889144794779,1.92548504284145,1.36565904557312,8.53019352275862,A,3.8140477209956,0.0058908483597956,0.0059718529042926,0.7974752875373343,0.0355505774115244,0.0387222397512431,89.0,0.0125299640861417,0.104,0.03713640858138375,0.05244340615774095,0.0389140527158258
KIC10909629,388,1.302,0.116284134773408,0.105342299196477,2.112,0.0651920240520265,0.0581893461039046,6501,61,61,7.422,0.607339207044955,0.607339207044955,-0.297,0.101,0.101,3.903,0.0134536240470737,0.0116619037896906,0.1378,0.0018365600997517,0.001801517415958,3.5327107,ms,F,,serenelli17,8.51099976842873,2.9209604677067,0.938317181972004,8.1829588661406,A,3.81298016603948,0.0040560600105483,0.0040942986796683,0.8705209500127643,0.0341588554723275,0.0370767067773889,61.0,0.012557763918382151,0.101,0.035617781124858194,0.11081321698494251,0.061690685077965546
KIC10923629,389,1.688,0.0787718223732319,0.213459598050779,2.578,0.0431856457633784,0.0992975326984513,6195,87,87,9.692,0.806334524261021,0.806334524261021,0.157,0.1,0.1,3.84,0.0098994949366116,0.0211896201004171,0.09807,0.0016765157321063,0.0016757469976103,3.7332937,ms,F,,serenelli17,8.65614396990553,2.76344411291369,1.4043583535109,8.3195885705842,A,3.792041310712082,0.006056621350404,0.0061422823276986,0.9864134054654686,0.0347070017669893,0.0377234464115452,87.0,0.01554455751851435,0.1,0.03621522408926725,0.14611571021200545,0.07124158923091485
KIC10963065,392,1.131,0.044407206622349,0.044407206622349,1.242,0.0170293863659264,0.0178044938147649,6316,45,45,1.87,0.154763396060113,0.154763396060113,-0.146,0.0721110255092798,0.0721110255092798,4.303,0.0064031242374328,0.0072111025509279,0.5889,0.0047338001647724,0.0043423119418116,3.6539782,ms,F,p,serenelli17,3.92636663327578,1.40233011999562,0.71247625079164,8.27611743636969,A,3.800442121336257,0.0030832742402759,0.0031053205609068,0.2718416065364989,0.0345326744517071,0.0375175703804669,45.0,0.00680711339418035,0.0721110255092798,0.036025122416087005,0.044407206622349,0.01741694009034565
KIC10971974,393,1.057,0.0595399025864168,0.0586685605754905,1.19,0.0338378486313773,0.0328937684067971,6030,58,58,1.647,0.136094550586722,0.136094550586722,-0.077,0.102,0.102,4.311,0.0186815416922694,0.0186815416922694,0.6314,0.0379219561863573,0.0378822961421295,3.8414512,ms,F,,serenelli17,5.59169645988209,2.80384945538548,0.961857379767828,8.26317854199892,A,3.780317312140151,0.0041573316223653,0.0041975130871634,0.2166935991697543,0.0344807735677732,0.0374563115897473,58.0,0.0186815416922694,0.102,0.035968542578760254,0.05910423158095365,0.0333658085190872
KIC10972252,394,1.338,0.0650691939399898,0.0637024332345319,2.285,0.0536003731330296,0.0520096144957834,6237,60,60,8.655,0.740800397459084,0.740800397459084,-0.136,0.101,0.101,3.845,0.0125299640861417,0.0125299640861417,0.1118,0.0042264926357442,0.0042420381893613,3.7057627,ms,F,,serenelli17,4.81209369112562,2.31094064833289,0.962000962000962,8.55921891922686,A,3.794975744051132,0.0041579492509309,0.0041981427134381,0.9372670722114126,0.0356667099253539,0.0388600728837621,60.0,0.0125299640861417,0.101,0.037263391404558005,0.06438581358726085,0.0528049938144065
KIC10972873,395,1.177,0.0487647413609464,0.0550363516232681,1.861,0.0340587727318528,0.0374833296279826,5928,64,64,3.488,0.305307643040754,0.305307643040754,-0.057,0.101,0.101,3.968,0.0078102496759066,0.0086023252670426,0.1827,0.0035540766508335,0.0035898324473434,3.9083122,ms,G,,serenelli17,4.40956214886213,1.92214138527231,1.07962213225371,8.75308609635188,A,3.772908194971272,0.0046636097201382,0.0047142333382002,0.5425764762605296,0.0364415898160958,0.039781815060868,64.0,0.0082062874714746,0.101,0.0381117024384819,0.05190054649210725,0.035771051179917704
KIC11027406,400,1.066,0.064621977685614,0.0609261848469113,1.357,0.0299666481275434,0.0290688837074973,6250,94,94,2.054,0.177470421702783,0.177470421702783,-0.279,0.099,0.099,4.2,0.0120830459735946,0.0111803398874989,0.4262,0.0102866772575016,0.0099440064863213,3.6972412,ms,F,,serenelli17,5.88875058782952,2.17522224889612,1.504,8.64023474697095,A,3.795880017344075,0.0064831569654719,0.0065814061846345,0.3126004392612593,0.0359906953495705,0.0392450250072146,94.0,0.01163169293054675,0.099,0.037617860178392554,0.06277408126626265,0.029517765917520353
KIC11075448,402,1.326,0.0594138031100518,0.0572800139664787,1.564,0.0474341649025257,0.0455411901469428,6470,68,68,4.039,0.310442640064444,0.310442640064444,0.029,0.1,0.1,4.171,0.0196468827043885,0.0206155281280883,0.3469,0.0350600427980343,0.0106493709203877,3.5530312,ms,F,,serenelli17,4.40021934677717,2.97235789800091,1.05100463678516,7.68612627047399,A,3.810904280668701,0.0045406355756494,0.004588610860587,0.6062738531699883,0.0321597546230205,0.0347330245278485,68.0,0.0201312054162384,0.1,0.0334463895754345,0.058346908538265255,0.04648767752473425
KIC11075456,403,1.29,0.11,0.17,1.48,0.05,0.07,6513,58,58,3.247,0.263707259100837,0.263707259100837,-0.2,0.3,0.2,4.207,0.018,0.02,0.3983,0.0179,0.0172,3.5248447,ms,F,,C14sdss,10.8527131782946,4.05405405405405,0.890526639029633,8.12156634126384,A,3.8137810781740815,0.0038503890164327,0.0038848315716433,0.5114822886260014,0.0339123286326836,0.0367864172554845,58.0,0.019,0.25,0.03534937294408405,0.14,0.060000000000000005
KIC11081729,404,1.298,0.0587281874401041,0.0536003731330296,1.411,0.0264007575648882,0.0241867732448957,6605,51,51,2.588,0.13797264550973,0.13797264550973,-0.139,0.099,0.099,4.251,0.0072111025509279,0.0064031242374328,0.4618,0.0071613228526578,0.0071914800284781,3.4645387,ms,F,,serenelli17,4.32698615458912,1.79261271473366,0.772142316426949,5.3312459625089,A,3.819872821950546,0.0033404913321213,0.0033663849041891,0.4129642719966628,0.0225572214815277,0.0237933387187181,51.0,0.00680711339418035,0.099,0.0231752801001229,0.05616428028656685,0.02529376540489195
KIC11083308,406,1.305,0.0824621125123532,0.0765506368360186,2.084,0.0827345151674922,0.0765375724726098,6234,65,65,6.828,0.577672495564469,0.577672495564469,-0.042,0.1,0.1,3.915,0.022561028345357,0.022561028345357,0.1439,0.011615083340209,0.0111598280004667,3.7077292,ms,F,,serenelli17,6.09244250376903,3.82130728503124,1.04266923323709,8.46034703521484,A,3.794766797940821,0.0045048104090517,0.0045520276968415,0.834293512442696,0.0352709896922605,0.0383907383557863,65.0,0.022561028345357,0.1,0.0368308640240234,0.0795063746741859,0.07963604382005099
KIC11098033,407,1.38,0.21,0.14,2.26,0.12,0.09,6358,66,66,6.502,0.578005386824734,0.578005386824734,-0.14,0.2,0.15,3.877,0.024,0.027,0.1212,0.0087,0.0082,3.6264472,ms,F,,C14sdss,12.6811594202899,4.64601769911504,1.03806228373702,8.88965528798423,A,3.803320523578754,0.0044850086918706,0.0045318096275046,0.8130469651601079,0.036986622962905,0.0404323102247319,66.0,0.025500000000000002,0.175,0.03870946659381845,0.175,0.105
KIC11127479,408,1.162,0.0572450871254468,0.0608358446970205,1.372,0.0237065391822594,0.0245967477524977,5998,57,57,2.257,0.193984783998536,0.193984783998536,0.2,0.0721110255092798,0.0721110255092798,4.228,0.01,0.010816653826392,0.449,0.0087588538633773,0.0085472053912375,3.8624272,ms,G,p,serenelli17,5.08093510423698,1.76032386788473,0.950316772257419,8.59480655731216,A,3.778006461423508,0.0041076860555628,0.0041469090468213,0.353531559077762,0.0358090560315232,0.0390291279048515,57.0,0.010408326913196,0.0721110255092798,0.03741909196818735,0.059040465911233644,0.024151643467378553
KIC11133100,409,1.4,0.25,0.17,2.37,0.14,0.13,6222,51,51,15.06,1.3237011601931,1.3237011601931,0.0,0.15,0.15,3.849,0.025,0.027,0.1091,0.0088,0.0083,3.7155952,ms,F,,C14sdss,15.0,5.69620253164557,0.819672131147541,8.78951633594357,A,3.7939300067726847,0.0035452807646496,0.0035744603582981,1.1778249718646818,0.0365870459428505,0.0399552413231105,51.0,0.026000000000000002,0.15,0.038271143632980495,0.21000000000000002,0.135
KIC11133306,410,1.059,0.04,0.03,1.189,0.012,0.012,5982,82,82,1.628,0.092,0.079,-0.025,0.0721110255092798,0.0721110255092798,4.314,0.004,0.007,0.632767559122221,0.0056814146722533,0.006391591506285,3.8729152,ms,G,p,silva15,3.30500472143532,1.00925147182506,1.3707790036777,5.25184275184275,A,3.7768464086952993,0.0059127839286978,0.005994397053155,0.2116544005531824,0.0238740463543664,0.0216029827939764,82.0,0.0055,0.0721110255092798,0.0227385145741714,0.035,0.012
KIC11138101,412,1.305,0.0629364759102383,0.0622253967444162,2.332,0.081344944526381,0.076694197955256,6218,58,58,8.626,0.715976270095397,0.715976270095397,-0.219,0.101,0.101,3.817,0.0203960780543711,0.021377558326432,0.1025,0.0081303587251732,0.0077519265347396,3.7182172,ms,F,,serenelli17,4.79547404807105,3.38848933279668,0.93277581215825,8.30021180263618,A,3.793650717707173,0.004032217207726,0.0040700055427476,0.9358094538099327,0.034629305975516,0.0376316674360026,58.0,0.02088681819040155,0.101,0.0361304867057593,0.06258093632732725,0.0790195712408185
KIC11188219,413,1.153,0.0621288982680363,0.0629682459657247,1.344,0.0354682957019364,0.0345398320783411,6024,62,62,2.057,0.173338140097381,0.173338140097381,0.089,0.1,0.1,4.242,0.017464249196573,0.017464249196573,0.4739,0.0257710331380021,0.0257220070950927,3.8453842,ms,F,,serenelli17,5.42485447674592,2.60446903944485,1.02921646746348,8.42674477867675,A,3.779884963192644,0.0044469848295038,0.0044929914960323,0.313234291694724,0.0351364194456985,0.0382313473559671,62.0,0.017464249196573,0.1,0.0366838834008328,0.0625485721168805,0.03500406389013875
KIC11189107,414,1.52,0.18,0.15,2.26,0.13,0.1,6795,94,94,10.05,0.864098657474267,0.864098657474267,-0.1,0.15,0.1,3.909,0.027,0.026,0.1308,0.0122,0.0106,3.3399937,ms,F,,C14sdss,10.8552631578947,5.08849557522124,1.38337012509198,8.59799659178375,A,3.832189461068513,0.0059667236836347,0.0060498431325983,1.0021660617565078,0.0358218134926184,0.0390442850145508,94.0,0.0265,0.125,0.0374330492535846,0.16499999999999998,0.115
KIC11229052,416,1.27,0.12,0.15,1.48,0.05,0.07,6495,51,51,3.473,0.296828763696417,0.296828763696417,-0.02,0.15,0.15,4.198,0.015,0.017,0.39,0.0122,0.012,3.5366437,ms,F,,C14sdss,10.6299212598425,4.05405405405405,0.785219399538106,8.54675392157839,A,3.812579155409047,0.0033968455629387,0.0034236236618663,0.5407047833107623,0.0356168404571786,0.0388008748903871,51.0,0.016,0.15,0.03720885767378285,0.135,0.060000000000000005
KIC11253226,419,1.4082,0.0209,0.0095,1.6145,0.012,0.015,6642,77,77,4.834,0.124,0.184,-0.08,0.1,0.1,4.1734,0.0044,0.0055,0.337700447411405,0.0058277111000639,0.0058362332220723,3.4402852,ms,F,,silva17,1.07939213179946,0.836172189532363,1.15928937067148,3.18576748034754,A,3.8222988712623662,0.0050057698273686,0.0050641408368679,0.6843066460716315,0.010999876360171,0.0168536931816776,77.0,0.0049499999999999995,0.1,0.0139267847709243,0.015199999999999998,0.0135
KIC11295426,421,1.068,0.011,0.019,1.237,0.006,0.006,5793,74,74,1.581,0.043,0.04,0.136,0.0721110255092798,0.0721110255092798,4.28,0.003,0.003,0.564590583055181,0.0035508841701583,0.0078119451743484,3.9968047,ms,G,p,silva15,1.40449438202247,0.485044462409054,1.27740376316244,2.62492093611638,A,3.762903528499057,0.0055125597172747,0.0055834319523846,0.198931869932209,0.0116541549729474,0.0111292312137897,74.0,0.003,0.0721110255092798,0.01139169309336855,0.015,0.006
KIC11389393,423,1.403,0.0827586853448023,0.142270868416553,1.905,0.0721110255092798,0.0754718490564528,6174,66,66,4.74,0.376421965088296,0.376421965088296,0.14,0.1,0.1,4.019,0.0152970585407784,0.0162788205960997,0.2003,0.0116817260710907,0.0110960364094572,3.7470592,ms,F,,serenelli17,8.01958495229347,3.87356626156778,1.0689990281827,7.94139166852946,A,3.790566625146076,0.0046179645363477,0.0046675967616929,0.6757783416740851,0.0331880130442476,0.0359355947096019,66.0,0.01578793956843905,0.1,0.03456180387692475,0.11251477688067765,0.0737914372828663
KIC11389437,424,1.192,0.101921538449927,0.0488262224629348,1.69,0.0470106370941726,0.0355105618091294,6158,53,53,3.883,0.31150081620951,0.31150081620951,-0.023,0.099,0.099,4.059,0.0117046999107196,0.010770329614269,0.247,0.0070006226151678,0.0072441673089458,3.7575472,ms,F,,serenelli17,6.32331211882811,2.44145558885509,0.860669048392335,8.02216884392247,A,3.789439684567179,0.0037218446783717,0.0037540162862779,0.5891673905460476,0.0335128926960707,0.0363168353365929,53.0,0.011237514762494301,0.099,0.0349148640163318,0.0753738804564309,0.041260599451651
KIC11401755,428,1.059,0.03,0.021,1.632,0.015,0.021,5911,66,66,2.982,0.144,0.148,-0.179,0.0721110255092798,0.0721110255092798,4.039,0.004,0.004,0.245721184574959,0.002130530502095,0.00426106100419,3.9194557,ms,G,p,silva15,2.40793201133144,1.10294117647059,1.11656234139739,4.89604292421194,A,3.7716609593488872,0.0048222964847943,0.0048764438510282,0.4745076391169758,0.0204813345661923,0.0221077932055341,66.0,0.004,0.0721110255092798,0.0212945638858632,0.025500000000000002,0.018000000000000002
KIC11453915,431,1.25,0.06,0.09,1.22,0.03,0.03,6608,58,58,2.146,0.178748413158158,0.178748413158158,-0.12,0.15,0.15,4.359,0.011,0.013,0.6846,0.028,0.0264,3.4625722,ms,F,,C14sdss,6.0,2.45901639344262,0.87772397094431,8.32937619562713,A,3.8200700343123257,0.0037952750121856,0.0038287343205425,0.3316297176299322,0.0347462423103684,0.0377698133332884,58.0,0.012,0.15,0.0362580278218284,0.075,0.03
KIC11454149,432,1.141,0.0558032257132148,0.0566127194188726,1.153,0.0300832179129827,0.0291547594742265,6435,52,52,1.866,0.155988512475549,0.155988512475549,-0.233,0.1,0.1,4.37,0.0167630546142402,0.0177200451466694,0.7441,0.0365794850155111,0.0467107334988437,3.5759737,ms,F,,serenelli17,4.92620267888201,2.56886285287117,0.808080808080808,8.35951299440241,A,3.808548551240405,0.0034953466898213,0.0035237068106002,0.2709116394104812,0.0348670444940303,0.0379126115027002,52.0,0.0172415498804548,0.1,0.03638982799836525,0.0562079725660437,0.0296189886936046
KIC11456910,433,1.3,0.11,0.17,1.71,0.07,0.08,6386,61,61,3.678,0.320896124935965,0.320896124935965,-0.26,0.15,0.15,4.082,0.019,0.02,0.2591,0.0157,0.0152,3.6080932,ms,F,,C14sdss,10.7692307692308,4.3859649122807,0.955214531788287,8.72474510429487,A,3.805228914203426,0.0041287560076797,0.0041683843555704,0.5656117249020587,0.0363283981729406,0.0396469455637333,61.0,0.0195,0.15,0.037987671868336945,0.14,0.07500000000000001
KIC11460626,434,1.286,0.0558659108938537,0.0587962583843564,2.172,0.0696419413859206,0.0668505796534331,6176,62,62,6.979,0.623290104534071,0.623290104534071,-0.144,0.099,0.099,3.872,0.0194164878389476,0.0194164878389476,0.1249,0.0089495835098623,0.0085823704184799,3.7457482,ms,F,,serenelli17,4.45809367333632,3.14209302576781,1.00388601036269,8.93093716197264,A,3.79070728732768,0.0043380830934451,0.0043818529376098,0.8437931983259126,0.0371512400001539,0.0406291325837873,62.0,0.0194164878389476,0.099,0.0388901862919706,0.05733108463910505,0.06824626051967686
KIC11467550,435,1.247,0.0702922470831599,0.0715891053163818,1.968,0.0696419413859206,0.067955868032128,6146,58,58,5.592,0.484249154875977,0.484249154875977,-0.08,0.1,0.1,3.945,0.0182482875908947,0.0182482875908947,0.1635,0.0114645376705736,0.0110265644694982,3.7654132,ms,F,,serenelli17,5.68890747391907,3.49587930432034,0.94370322160755,8.65967730464909,A,3.78859255592036,0.004079233221208,0.0041179121578429,0.7475671627376249,0.036068410940493,0.0393374584114937,58.0,0.0182482875908947,0.1,0.03770293467599335,0.07094067619977085,0.0687989047090243
KIC11502597,437,1.08,0.19,0.11,1.61,0.11,0.07,5798,59,59,2.332,0.208250395098622,0.208250395098622,-0.1,0.15,0.1,4.061,0.012,0.012,0.2599,0.0123,0.0119,3.9935272,ms,G,,C14sdss,13.8888888888889,5.59006211180124,1.01759227319765,8.9301198584315,A,3.763278211018979,0.0043970130089809,0.0044419862720204,0.3677285460869764,0.0371479814974841,0.0406252350052445,59.0,0.012,0.125,0.0388866082513643,0.15,0.09
KIC11506988,438,1.251,0.168077363139716,0.114284732138637,1.872,0.0677421582177598,0.0643506021727847,6438,289,289,6.784,0.616199472594074,0.616199472594074,-0.23,0.1,0.1,3.994,0.0278926513619627,0.0230867927612304,0.1924,0.0101672820537251,0.0095911368127036,3.5740072,ms,F,,serenelli17,11.2854554467767,3.5281186001748,4.48897173035104,9.08312901819094,A,3.808750972349595,0.0190704553332072,0.0199464793049464,0.8314858392486574,0.0377575870606068,0.0413555194793833,289.0,0.02548972206159655,0.1,0.03955655326999505,0.1411810476391765,0.06604638019527224
KIC11507653,439,1.17,0.108503456166152,0.0630079360080935,1.641,0.0493963561409139,0.0493963561409139,5916,74,74,3.45,0.320121101695063,0.320121101695063,0.112,0.1,0.1,4.078,0.0240416305603426,0.0221359436211787,0.2672,0.0189498809758795,0.0190281157501209,3.9161782,ms,G,,serenelli17,7.32954667411304,3.01013748573515,1.25084516565247,9.27887251290036,A,3.772028165324855,0.0053986570644566,0.0054666126873237,0.5378190950732742,0.0385362055179859,0.0422915609822202,74.0,0.02308878709076065,0.1,0.04041388325010305,0.08575569608712275,0.0493963561409139
KIC11611414,443,1.272,0.0785175139698144,0.107377837564369,1.706,0.0594810894318522,0.058591808301161,6279,55,55,4.404,0.399251916089505,0.399251916089505,-0.074,0.1,0.1,4.074,0.0218403296678416,0.0218403296678416,0.2535,0.0208980506507186,0.014956223487231,3.6782317,ms,F,,serenelli17,7.307207214394,3.4605186908855,0.875935658544354,9.06566566960729,A,3.797890483058349,0.0037875759775438,0.0038208990767167,0.6438473102997142,0.0376880543735022,0.0412721080339026,55.0,0.0218403296678416,0.1,0.0394800812037024,0.0929476757670917,0.0590364488665066
KIC11708273,447,1.07,0.18,0.12,1.56,0.09,0.07,5959,96,96,3.277,0.28619581981843,0.28619581981843,0.24,0.15,0.1,4.081,0.023,0.022,0.2814,0.0146,0.0138,3.8879917,ms,G,,C14sdss,14.018691588785,5.12820512820513,1.61100855848297,8.73347024163655,A,3.775173385424787,0.0069407620542842,0.0070534912399895,0.5154764413823758,0.0363632488130727,0.0396884624034138,96.0,0.0225,0.125,0.03802585560824325,0.15,0.08
KIC11713510,449,1.08,0.0447213595499958,0.0420594816896262,1.62,0.0282842712474619,0.0275862284482674,5941,58,58,2.86,0.258193921285705,0.258193921285705,-0.143,0.1,0.1,4.052,0.0067082039324993,0.0067082039324993,0.2541,0.0048237252202006,0.0048568395073339,3.8997907,ms,G,,serenelli17,4.01763153887139,1.72439813875708,0.976266621780845,9.02775948551415,A,3.773859552376687,0.0042193095607681,0.0042607039892406,0.456366033129043,0.0375370874497105,0.0410911091136165,58.0,0.0067082039324993,0.1,0.039314098281663504,0.043390420619811,0.02793524984786465
