ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
V1229_Tau B,197,1.565,0.015,0.015,1.587,0.042,0.042,7262,380,380,6.295,1.74,1.74,0.06,0.05,0.05,4.231,0.024,0.024,,,,3.0338752,ms,F,,eker14,0.958466453674121,2.64650283553875,5.23271825943266,27.6409849086577,EB,3.8610562445768735,0.0221507887755163,0.0233415762919619,0.7989957344438814,0.105990146655482,0.1405073531348644,380.0,0.024,0.05,0.1232487498951732,0.015,0.042
V432_Aur B,224,1.079,0.005,0.005,1.224,0.007,0.007,6685,85,85,2.685,0.146,0.146,-0.6,0.05,0.05,4.296,0.005,0.005,,,,3.4120987,ms,F,,torres10,0.46339202965709,0.571895424836601,1.2715033657442,5.43761638733706,EB,3.8251014115980033,0.0054872570871409,0.0055574760561345,0.4289442900355744,0.0229955793295285,0.0242815891618521,85.0,0.005,0.05,0.0236385842456903,0.005,0.007
V505_Per A,235,1.272,0.001,0.001,1.288,0.014,0.014,6512,21,21,2.679,0.069,0.069,-0.12,0.03,0.03,4.32,0.01,0.01,,,,3.5255002,ms,F,,eker14,0.0786163522012579,1.08695652173913,0.322481572481572,2.57558790593505,EB,3.813714391881145,0.0013982663086675,0.0014027827500209,0.4279727136082088,0.0110440147793039,0.0113322062699278,21.0,0.01,0.03,0.01118811052461585,0.001,0.014
V505_Per B,236,1.254,0.001,0.001,1.267,0.014,0.014,6462,12,12,2.512,0.059,0.059,-0.12,0.03,0.03,4.33,0.01,0.01,,,,3.5582752,ms,F,,eker14,0.0797448165869219,1.10497237569061,0.185701021355617,2.34872611464968,EB,3.810366953681626,0.0008057413849287,0.0008072390463578,0.4000196350651585,0.0100824415777021,0.0103220868587728,12.0,0.01,0.03,0.010202264218237451,0.001,0.014
V565_Lyr A,238,0.995,0.003,0.003,1.101,0.007,0.007,5600,95,95,1.072,0.079,0.079,0.28,0.05,0.05,4.352,0.005,0.005,,,,4.1233162,ms,G,,eker14,0.301507537688442,0.635785649409628,1.69642857142857,7.36940298507463,EB,3.7481880270062,0.007305701408919,0.0074307036984295,0.0301947853567512,0.0308805382730405,0.03324553686137,95.0,0.005,0.05,0.03206303756720525,0.003,0.007
V565_Lyr B,239,0.929,0.003,0.003,0.971,0.009,0.009,5430,125,125,0.736,0.077,0.077,0.28,0.05,0.05,4.432,0.008,0.008,,,,4.2347512,ms,G,,eker14,0.322927879440258,0.926879505664264,2.30202578268877,10.4619565217391,EB,3.734799829588847,0.0098842336880391,0.0101144413514875,-0.1331221856625011,0.0432127312565692,0.0479923997434889,125.0,0.008,0.05,0.04560256550002905,0.003,0.009
V568_Lyr A,240,1.075,0.008,0.008,1.4,0.016,0.016,5665,100,100,1.811,0.143,0.143,0.28,0.05,0.05,4.178,0.01,0.01,,,,4.0807087,ms,G,,eker14,0.744186046511628,1.14285714285714,1.76522506619594,7.8961899503037,EB,3.753199914199416,0.0075993974313015,0.0077347455286891,0.2579184503140584,0.0330061090686958,0.0357224040123385,100.0,0.01,0.05,0.03436425654051715,0.008,0.016
V568_Lyr B,241,0.827,0.004,0.004,0.768,0.006,0.006,4900,100,100,0.305,0.028,0.028,0.28,0.05,0.05,4.586,0.008,0.008,,,,4.5821662,ms,K,,eker14,0.483675937122128,0.78125,2.04081632653061,9.18032786885246,EB,3.690196080028514,0.0087739243075048,0.0089548426529266,-0.5157001606532142,0.0381443941595341,0.0418200702823372,100.0,0.008,0.05,0.03998223222093565,0.004,0.006
V570_Per A,242,1.447,0.009,0.009,1.521,0.034,0.034,6842,50,50,4.55,0.247,0.247,0.02,0.03,0.03,4.234,0.019,0.019,,,,3.3091852,ms,F,,torres10,0.621976503109882,2.2353714661407,0.730780473545747,5.42857142857143,EB,3.835183069849044,0.003162198926947,0.0031853926131475,0.6580113966571124,0.0229583218087847,0.0242400505745569,50.0,0.019,0.03,0.0235991861916708,0.009,0.034
V570_Per B,243,1.347,0.008,0.008,1.386,0.019,0.019,6562,50,50,3.199,0.135,0.135,0.02,0.03,0.03,4.284,0.012,0.012,,,,3.4927252,ms,F,,torres10,0.593912397921307,1.37085137085137,0.761962816214569,4.22006877149109,EB,3.817036226050029,0.0032966188493812,0.0033218341688838,0.505014240084107,0.0179513554078795,0.0187254791235406,50.0,0.012,0.03,0.01833841726571005,0.008,0.019
