ID,Teff,logg,FeH,logL,eTeff,elogg,eFeH,elogL,M,R,eM,eR
KIC12011630,-0.19365515040501297,0.6710233279936325,0.0004893538503120126,-0.41347609595897705,0.10217879232718537,0.062479482266019314,0.7288248834434116,0.05698872443738622,-1.0015411771508866,-0.9373426545223359,0.3365714244248949,0.07589695331853981
KIC6530901,0.475916465197837,-0.15446316497559218,0.47665494436667427,0.35593129620299524,0.06371148227459793,0.03786635288849655,0.4858832556289411,0.05342039394386232,0.5130302327611407,0.1422915064338929,0.1738174318585828,0.04519491473777396
KIC11453915,0.7572086699573826,0.5801440810612407,-0.19386394840126436,0.021446226193371047,0.06972199947031471,0.04543962346619586,0.7288248834434116,0.05323911795147151,0.3447445205486931,-0.500935172940732,0.25242856831867116,0.05692271498890486
KIC9451741,-0.17201728850043252,0.2279869991982229,1.3901154649490832,-0.026681032081754583,0.08174303386174829,0.0742269956940055,0.4858832556289411,0.05357021138092062,-0.07933547422667411,-0.36621808080032386,0.26543048904705996,0.10136591878836643
KIC3344897,0.7836549456185364,-1.195787869409247,0.19484265610188845,0.9135948976602721,0.09977458544889864,0.062479482266019314,0.6073540695361763,0.05626742290400104,1.354458793823378,1.6241795199783826,0.5721714215223213,0.17076814496671458
KIC7870112,-0.3871938041070935,-0.44603408221701546,2.094646185611048,0.20326234565835044,0.09496617169232521,0.11143264131076241,0.48102442307265164,0.055942943550585,0.011538810368047221,0.22957300275021375,0.31587120142849145,0.1418370593307499
EPIC206064678,-0.500191527386569,0.9360877982131094,1.6524924229887117,-0.49432688673819475,0.08534934417917836,0.049226258755045514,0.5344715811918351,0.05951911566287659,-0.4630268980710546,-0.9563168928519709,0.13462856976995796,0.037948476659269904
KIC12258514,-0.016945944850939455,-0.3017632777118435,0.3891959583534649,0.26861507753313607,0.0925619648140385,0.014578545862071171,0.4858832556289411,0.01952523041125056,0.3720068059271096,0.2305217146666954,0.03197428532036502,0.019922950246116698
UCAC4_665-061158_A,-1.4796293464974026,0.7391827631929255,-0.6214412133547326,-1.2123530496332433,0.08852289725851682,0.3597303524407172,0.2818122882647858,0.2210072144448461,-1.4660097428572416,-1.2655969776250207,0.023559999709742645,0.10815315847891924
KIC10273246,0.43744915514524957,-1.222294316431195,-0.8838181713943607,0.7185462687355563,0.07092410290945807,0.02957456826473802,0.4858832556289411,0.0566245959834009,0.46927594758590396,1.2579767202164278,0.17744383581676296,0.057886246734233975
KIC5214711,0.2595378461520327,-0.8057644346577334,0.2677251444462296,0.5969005420351635,0.06491358571374128,0.09000729463779301,0.4858832556289411,0.0529969055246939,0.3615730917699375,0.7285954708196133,0.24773358542794158,0.13584418940983406
KIC10935310_B,-3.0270129564659056,2.7498861015720943,-0.9761359899638595,-3.119015608735835,0.252441722220105,0.10602578808779034,0.1409061441323929,0.15807994587752086,-2.5968897289248885,-2.1564374672013815,0.05721714215223214,0.015369133047004312
KIC8499940,0.05397815805851862,-0.5141935174163085,0.36004296301572836,0.24874639909944526,0.06972199947031471,0.050831385054224215,0.4858832556289411,0.05557322227499326,0.051927381299034646,0.31116222756764395,0.27577625540817235,0.07311303694271319
ASAS_J065134-2211.5_B,-2.4116321638996383,1.4510701974966629,0.8264908884195117,-1.8906937721777617,0.0572922499095724,0.03407971759964689,0.6316482323176233,0.07114843150259202,-1.5939068841387014,-1.5065698044113844,0.006731428488497899,0.005692271498890486
KIC8150065,0.34488719033121107,0.0803082229330875,0.2288544839959143,0.19358139819434825,0.06972199947031471,0.028917323870970027,0.4858832556289411,0.05385289607396852,0.24377309322122453,-0.14421949234359493,0.16889973292488275,0.03740255746374498
RS_Cha B,1.502512802226264,-1.0216026461221634,1.2151974929226645,1.2113657594265337,0.08655144761832172,0.2271981173309793,0.34011827894025876,0.04412197219880996,2.4348530662272907,1.6981790494639593,0.03365714244248949,0.11384542997780972
KIC8391021,0.3268556387440607,-0.16203643555329064,-0.6797472040302055,0.22371069590020748,0.061307275396311214,0.03975967053292137,0.8502956973506468,0.054644033954523566,0.3784016629911826,0.10624045360758667,0.35339999564613966,0.09487119164817477
KIC8868907_B,-1.3296429003954855,1.4363023198701468,0.3891959583534649,-1.3004504186727974,0.18031551587150357,0.002271981173309793,1.2147081390723526,0.0711484315025921,-1.3381126015757814,-1.4287754272598812,0.010097142732746847,0.0018974238329634953
V*_V714_And_B,0.5026632667187767,-0.41574099990621816,1.2054798278100858,0.4865140325387501,0.043720502081643894,0.21583821146443033,0.04858832556289411,0.05577938355443456,0.6611216595080947,0.4420844720421254,0.3466685671576417,0.04933301965705088
KIC11295426,-0.30905708056277525,0.24313354035361986,0.8915992446737899,-0.22411632789693872,0.09857248200975528,0.03786635288849655,0.02380827952581811,0.03800835969273507,-0.4293697556285651,-0.48196093461109696,0.06731428488497898,0.018974238329634952
KIC6593620,-0.22490983982274024,-0.6542990231037454,-0.8741005062817818,0.1401333789202404,0.07212620634860144,0.057676309587336806,0.4858832556289411,0.05504517969521755,-0.5471697541772784,0.18403483075908983,0.18588604844132697,0.08072774221810947
KIC3241581,-0.25015401204475074,0.7088896808821282,1.2880799812670058,-0.38756179337887536,0.09737037857061193,0.06267996567138745,0.4858832556289411,0.05638601132328194,-0.28800975737010914,-0.7589848142237672,0.2427984352658851,0.05580490845527707
KIC10987439_B,0.6153604641384665,0.09924139937733537,-0.37849958554026203,0.3424233792521424,0.10818930952290215,0.06815943519929378,0.05830599067547293,0.04498234847326018,0.9219645134373878,0.05311258628460875,0.01514571409912027,0.05882013882186835
KIC7296438,-0.27539818426676127,0.02729532888919143,1.691363083439027,0.037873424055363744,0.067317792592028,0.025458921702228438,0.35037540079623214,0.054830238827013295,0.03846452432203884,-0.17268084983804718,0.16060103098997927,0.04112214096720172
V818_Tau_B,-2.022823827543111,1.3829107622973666,0.6321375861679354,-1.6068156161222922,0.05163034271120719,0.12117232924318896,0.24294162781447054,0.07242979697374452,-1.361672601285524,-1.4135960365961733,0.0033657142442489493,0.020871662162598448
*_mu._Ara,-0.004924910459505884,0.16740083457662838,1.7982573996773938,-0.06328131373520243,0.0733283097877448,0.2271981173309793,0.04858832556289411,0.006448409495217169,-0.7289183233667215,-0.38708974296292215,0.198577140410688,0.047435595824087386
