ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,eTeff,elogg,eFeH,eL,eM,eR,elogL,percent_eM,percent_eR
EPIC206094605,1.4,0.11,0.11,2.01,0.07,0.07,6537.0,78.0,78.0,0.04,0.08,0.08,,,,,3.979,0.014,0.014,,6.616,0.579248511,0.579248511,,ms,F,,,,,,lund16,A,1,0.8205954965444903,0.03645030174094388,0.03979219863990602,78.0,0.014,0.08,0.579248511,0.11,0.07,0.03812125019042495,7.857142857142858,3.482587064676618
EPIC206107253,1.16,0.03,0.03,1.31,0.02,0.02,6290.0,65.0,65.0,-0.18,0.08,0.08,,,,,4.267,0.01,0.01,,2.481,0.208415083,0.208415083,,ms,F,,,,,,lund16,A,1,0.3946267642722091,0.03503107192076865,0.03810664430537486,65.0,0.01,0.08,0.208415083,0.03,0.02,0.036568858113071756,2.586206896551724,1.5267175572519083
EPIC206108325,1.3,0.05,0.05,2.15,0.05,0.05,6433.0,71.0,71.0,-0.18,0.11,0.11,,,,,3.887,0.014,0.014,,7.835,3.439729669,3.439729669,,ms,F,,,,,,lund16,A,1,0.894039000804609,0.15806713691443142,0.25105340930128683,71.0,0.014,0.11,3.439729669,0.05,0.05,0.20456027310785913,3.846153846153846,2.3255813953488373
EPIC206189649,1.17,0.06,0.06,2.0,0.05,0.05,6082.0,78.0,78.0,-0.18,0.11,0.11,,,,,3.907,0.012,0.012,,8.906,1.59769483,1.59769483,,ms,F,,,,,,lund16,A,1,0.9496826907952042,0.07165940465747622,0.08586601707366315,78.0,0.012,0.11,1.59769483,0.06,0.05,0.07876271086556969,5.128205128205129,2.5
EPIC206201061,1.41,0.1,0.1,1.97,0.06,0.06,6589.0,71.0,71.0,-0.02,0.11,0.11,,,,,3.997,0.013,0.013,,5.989,0.544008622,0.544008622,,ms,F,,,,,,lund16,A,1,0.7773543130842088,0.037758918270237474,0.041357116685709294,71.0,0.013,0.11,0.544008622,0.1,0.06,0.039558017477973384,7.092198581560284,3.0456852791878175
EPIC206245055,0.88,0.04,0.04,0.93,0.02,0.02,5835.0,71.0,71.0,-0.35,0.08,0.08,,,,,4.444,0.012,0.012,,1.027,0.088155323,0.088155323,,ms,G,,,,,,lund16,A,1,0.01157044359727816,0.035764918158056574,0.03897669531570197,71.0,0.012,0.08,0.088155323,0.04,0.02,0.03737080673687927,4.545454545454546,2.150537634408602
EPIC206289767,1.36,0.08,0.08,2.06,0.06,0.06,6368.0,78.0,78.0,0.04,0.11,0.11,,,,,3.94,0.013,0.013,,6.726,0.567887631,0.567887631,,ms,F,,,,,,lund16,A,1,0.8277568629786168,0.03520220534757601,0.038309253632062945,78.0,0.013,0.11,0.567887631,0.08,0.06,0.03675572948981948,5.88235294117647,2.912621359223301
EPIC206368174,1.32,0.08,0.08,1.78,0.05,0.05,6212.0,65.0,65.0,0.1,0.06,0.06,,,,,4.05,0.013,0.013,,4.479,0.385317387,0.385317387,,ms,F,,,,,,lund16,A,1,0.6511810624446879,0.03584084159255574,0.039066894065929,65.0,0.013,0.06,0.385317387,0.08,0.05,0.03745386782924237,6.0606060606060606,2.8089887640449436
EPIC206371648,0.83,0.03,0.03,0.93,0.02,0.02,5549.0,65.0,65.0,-0.24,0.08,0.08,,,,,4.421,0.016,0.016,,1.218,0.192773285,0.192773285,,ms,G,,,,,,lund16,A,1,0.08564728829685654,0.06380993879234707,0.07482737394313627,65.0,0.016,0.08,0.192773285,0.03,0.02,0.06931865636774168,3.6144578313253013,2.150537634408602
EPIC206453540,1.42,0.08,0.08,1.87,0.05,0.05,6524.0,78.0,78.0,-0.02,0.11,0.11,,,,,4.044,0.011,0.011,,6.053,0.502935082,0.502935082,,ms,F,,,,,,lund16,A,1,0.781970673912552,0.034663970548330925,0.037672610904418424,78.0,0.011,0.11,0.502935082,0.08,0.05,0.036168290726374674,5.633802816901409,2.6737967914438503
HIP_41378,1.22,0.03,0.02,1.3,0.009,0.009,6290.0,77.0,77.0,-0.05,0.1,0.1,,,,,4.298,0.004,0.004,0.0,2.38333,0.12682,0.1192,1.0,ms,F,,,,,,Lund19,A,3,0.3771841796761236,0.02251549488293203,0.022282820471825282,77.0,0.004,0.1,0.12301,0.025,0.009,0.022399157677378656,2.0491803278688523,0.6923076923076922
HD24465_A,1.337,0.008,0.008,1.444,0.004,0.004,6250.0,100.0,100.0,0.3,0.15,0.15,,,,,4.245,0.0036,0.0036,0.0,2.86648,0.18792,0.1798,1.0,ms,F8,18.3,0.04,0.078907104,True,True,MartinDec24,EB,3,0.45734891596245075,0.027576995087140843,0.028132973574768183,100.0,0.0036,0.15,0.18386,0.008,0.004,0.027854984330954513,0.5983545250560958,0.2770083102493075
HD24465_B,0.2302,0.00092,0.00092,0.24235,0.00069,0.00069,3114.0,32.0,32.0,0.3,0.15,0.15,,,,,5.029,0.007,0.007,0.0,0.00498,0.00021,0.0002,1.0,ms,M,18.3,0.04,0.013243169,True,True,MartinDec24,EB,3,-2.3027706572402824,0.01793801508874049,0.01780144614759882,32.0,0.007,0.15,0.000205,0.00092,0.00069,0.017869730618169655,0.3996524761077324,0.28471219310913964
CM_Dra_A,0.22507,0.00024,0.00024,0.25113,0.00016,0.00016,3130.0,70.0,70.0,-0.3,0.12,0.12,,,,,4.994,0.007,0.007,0.0,0.00552,0.0005,0.00046,0.0,ms,M4.5,3.7404,0.0014,0.067139338,True,True,MartinFeb24,EB,3,-2.258060922270801,0.037657413528625394,0.03778856088939975,70.0,0.007,0.12,0.00048,0.00024,0.00016,0.03772298720901257,0.10663349180255033,0.06371202166208736
CM_Dra_B,0.21017,0.00028,0.00028,0.23732,0.00014,0.00014,3120.0,70.0,70.0,-0.3,0.12,0.12,,,,,5.009,0.006,0.006,0.0,0.00486,0.00067,0.00059,0.0,ms,M4.5,3.7404,0.0014,0.06344725,True,True,MartinFeb24,EB,3,-2.3133637307377066,0.05608886204240493,0.056208394237269754,70.0,0.006,0.12,0.00063,0.00028,0.00014,0.05614862813983734,0.13322548413189322,0.05899207820664082
HD22064_A,1.345,0.031,0.031,1.554,0.014,0.014,6763.0,40.0,40.0,-0.1812,0.0058,0.0058,APOGEE2_DR17,-0.05,0.15,0.15,4.184,0.006,0.006,0.0,4.55,0.06,0.06,0.0,ms,F2,22.9,0.7,0.067973941,True,True,Maxted23,EB,3,0.6580113966571124,0.005689528732535698,0.005765055653789153,40.0,0.006,0.0058,0.06,0.031,0.014,0.0057272921931624254,2.304832713754647,0.9009009009009009
HD22064_B,0.576,0.01,0.01,0.595,0.008,0.008,3700.0,315.0,315.0,-0.1812,0.0058,0.0058,APOGEE2_DR17,-0.05,0.15,0.15,4.65,0.01,0.01,0.0,0.0667,0.0019,0.0018,0.0,ms,M,22.9,0.7,0.026026059,True,True,Maxted23,EB,3,-1.175874166083451,0.012198281790202659,0.011881137116179774,315.0,0.01,0.0058,0.00185,0.01,0.008,0.012039709453191216,1.7361111111111112,1.3445378151260505
BEPOP-3_A,1.084,0.026,0.026,1.386,0.01,0.01,6065.0,36.0,36.0,-0.02,0.1,0.1,,,,,4.1895,0.0041,0.0041,0.0,2.345,0.033,0.033,0.0,ms,F9,26.0,0.16,0.053369272,True,True,Maxted25,EB,3,0.3701428470511021,0.006069003231570669,0.006155017302610644,36.0,0.0041,0.1,0.033,0.026,0.01,0.006112010267090656,2.3985239852398523,0.7215007215007215
BEPOP-3_B,0.262,0.004,0.004,0.274,0.002,0.002,3191.0,32.0,32.0,-0.02,0.1,0.1,,,,,4.979,0.0016,0.0016,0.0,0.00705,0.00035,0.00033,0.0,ms,M,26.0,0.16,0.010550635,True,True,Maxted25,EB,3,-2.151810883008601,0.021042602739577365,0.020819843937573523,32.0,0.0016,0.1,0.00034,0.004,0.002,0.020931223338575444,1.5267175572519085,0.7299270072992701
ASAS_J051753-5406.0_A,1.3094,0.0051,0.0051,1.9288,0.003,0.003,6462.0,43.0,43.0,0.0,0.2,0.2,,,,,3.9836,0.0012,0.0012,0.0,5.83,0.15,0.15,0.0,ms,F,49.718,0.09,0.038794803,True,True,Miller22,EB,3,0.7656685547590141,0.01103262922939685,0.011320219047995184,43.0,0.0012,0.2,0.15,0.0051,0.003,0.011176424138696017,0.3894913700931725,0.1555371215263376
ASAS_J051753-5406.0_B,1.0896,0.0034,0.0034,1.1815,0.0037,0.0037,6331.0,43.0,43.0,0.0,0.2,0.2,,,,,4.3297,0.0026,0.0026,0.0,2.02,0.06,0.06,0.0,ms,F,49.718,0.09,0.023764029,True,True,Miller22,EB,3,0.3053513694466238,0.012711965516137791,0.013095298090147756,43.0,0.0026,0.2,0.06,0.0034,0.0037,0.012903631803142773,0.3120411160058737,0.31316123571730853
LL_Aqr_A,1.1947,0.0009,0.0009,1.318,0.0013,0.0013,6242.0,51.0,51.0,0.04,0.05,0.05,,,,,4.2755,0.0009,0.0009,0.0,2.38,0.08,0.08,0.0,ms,F9,40.744,0.007,0.032348321,True,True,Miller26,EB,2,0.37657695705651195,0.01435815004686719,0.01484912103891911,51.0,0.0009,0.05,0.08,0.0009,0.0013,0.01460363554289315,0.07533271951117435,0.09863429438543247
LL_Aqr_B,1.0334,0.0006,0.0006,0.9927,0.0008,0.0008,5839.0,45.0,45.0,0.05,0.08,0.08,,,,,4.4587,0.0008,0.0008,0.0,1.03,0.03,0.03,0.0,ms,G3,40.744,0.007,0.024364324,True,True,Miller26,EB,2,0.012837224705172217,0.012468640559598045,0.012837224705172217,45.0,0.0008,0.08,0.03,0.0006,0.0008,0.01265293263238513,0.058060770272885615,0.08058829455021659
TIC100520485_A,1.218,0.015,0.015,1.639,0.041,0.041,6090.0,127.0,127.0,-0.42,0.05,0.05,,,,,4.08,0.02,0.02,0.0,3.31,0.1,0.1,0.0,ms,,16.45,0.01,0.099635258,True,True,MWang25,EB,3,0.5198279937757188,0.012926385216779024,0.013322961370846653,127.0,0.02,0.05,0.1,0.015,0.041,0.013124673293812839,1.2315270935960592,2.501525320317267
TIC100520485_B,1.015,0.015,0.015,1.14,0.044,0.044,6209.0,144.0,144.0,-0.42,0.05,0.05,,,,,4.33,0.03,0.03,0.0,1.73,0.09,0.08,0.0,ms,,16.45,0.01,0.069300912,True,True,MWang25,EB,3,0.2380461031287954,0.022025284856279387,0.020562158914889134,144.0,0.03,0.05,0.08499999999999999,0.015,0.044,0.02129372188558426,1.4778325123152711,3.8596491228070176
TIC126323537_A,1.145,0.047,0.047,1.666,0.027,0.027,6787.0,133.0,133.0,-0.53,0.05,0.05,,,,,4.05,0.01,0.01,0.0,5.28,0.14,0.13,0.0,ms,,8.34,0.01,0.199760192,True,True,MWang25,EB,3,0.7226339225338123,0.011365364004574552,0.01082669349262122,133.0,0.01,0.05,0.135,0.047,0.027,0.011096028748597886,4.104803493449782,1.6206482593037217
TIC126323537_B,1.141,0.016,0.016,1.481,0.049,0.049,6605.0,189.0,189.0,-0.53,0.05,0.05,,,,,4.15,0.02,0.02,0.0,3.74,0.14,0.14,0.0,ms,,8.34,0.01,0.177577938,True,True,MWang25,EB,3,0.5728716022004802,0.0159601233937271,0.0165691014331929,189.0,0.02,0.05,0.14,0.016,0.049,0.01626461241346,1.4022787028922,3.3085752869682645
TIC189069314_A,1.126,0.069,0.069,1.439,0.047,0.047,6286.0,108.0,108.0,-0.32,0.03,0.03,,,,,4.17,0.01,0.01,0.0,2.9,0.09,0.09,0.0,ms,,14.49,0.01,0.099309869,True,True,MWang25,EB,3,0.4623979978989561,0.013273190425473536,0.013691677993876161,108.0,0.01,0.03,0.09,0.069,0.047,0.013482434209674848,6.127886323268207,3.2661570535093816
TIC189069314_B,0.96,0.054,0.054,1.023,0.035,0.035,5739.0,117.0,117.0,-0.32,0.03,0.03,,,,,4.4,0.03,0.03,0.0,1.01,0.04,0.04,0.0,ms,,14.49,0.01,0.070600414,True,True,MWang25,EB,3,0.004321373782642578,0.016867925287295513,0.01754963951639774,117.0,0.03,0.03,0.04,0.054,0.035,0.017208782401846624,5.625000000000001,3.421309872922777
TIC327361036_A,1.443,0.022,0.022,2.146,0.094,0.094,7553.0,126.0,126.0,0.08,0.04,0.04,,,,,3.93,0.04,0.04,0.0,12.45,0.59,0.56,0.0,ms,,19.1,0.27,0.112356021,True,True,MWang25,EB,3,1.095169351431755,0.020108239964146346,0.019987496813063554,126.0,0.04,0.04,0.575,0.022,0.094,0.02004786838860495,1.5246015246015243,4.3802423112767945
TIC327361036_B,1.272,0.021,0.021,1.19,0.063,0.063,7585.0,191.0,191.0,0.08,0.04,0.04,,,,,4.39,0.05,0.05,0.0,4.23,0.25,0.24,0.0,ms,,19.1,0.27,0.062303665,True,True,MWang25,EB,3,0.6263403673750424,0.024937646623101606,0.02536747168829412,191.0,0.05,0.04,0.245,0.021,0.063,0.025152559155697862,1.650943396226415,5.294117647058823
TIC369605666_A,0.995,0.014,0.014,1.041,0.036,0.036,6116.0,108.0,108.0,-0.05,0.01,0.01,,,,,4.4,0.03,0.03,0.0,1.36,0.05,0.05,0.0,ms,,10.17,0.01,0.102359882,True,True,MWang25,EB,3,0.13353890837021754,0.015680204285162397,0.01626761271445326,108.0,0.03,0.01,0.05,0.014,0.036,0.01597390849980783,1.407035175879397,3.4582132564841497
TIC369605666_B,0.827,0.024,0.024,0.789,0.044,0.044,5486.0,116.0,116.0,-0.05,0.01,0.01,,,,,4.56,0.05,0.05,0.0,0.51,0.04,0.03,0.0,ms,,10.17,0.01,0.077581121,True,True,MWang25,EB,3,-0.2924298239020636,0.03279251339630751,0.02632893872234915,116.0,0.05,0.01,0.035,0.024,0.044,0.02956072605932833,2.902055622732769,5.576679340937895
TIC39022841_A,0.856,0.048,0.048,0.929,0.059,0.059,5914.0,101.0,101.0,-0.19,0.03,0.03,,,,,4.44,0.02,0.02,0.0,0.95,0.06,0.06,0.0,ms,,21.59,0.19,0.04302918,True,True,MWang25,EB,3,-0.022276394711152253,0.026597768493794832,0.02833359864393501,101.0,0.02,0.03,0.06,0.048,0.059,0.02746568356886492,5.607476635514018,6.35091496232508
TIC39022841_B,0.892,0.037,0.037,1.074,0.087,0.087,6071.0,102.0,102.0,-0.19,0.03,0.03,,,,,4.33,0.03,0.03,0.0,1.41,0.12,0.11,0.0,ms,,21.59,0.19,0.049745252,True,True,MWang25,EB,3,0.14921911265537988,0.03547231816221888,0.03527576034854317,102.0,0.03,0.03,0.11499999999999999,0.037,0.087,0.035374039255381025,4.147982062780269,8.100558659217876
TIC431925451_A,1.426,0.079,0.079,1.488,0.09,0.09,6989.0,131.0,131.0,-0.2,0.02,0.02,,,,,4.25,0.05,0.05,0.0,4.74,0.3,0.29,0.0,ms,,14.19,0.01,0.104862579,True,True,MWang25,EB,3,0.6757783416740851,0.026652194771440207,0.02741833069315347,131.0,0.05,0.02,0.295,0.079,0.09,0.02703526273229684,5.539971949509117,6.048387096774194
TIC431925451_B,1.404,0.061,0.061,1.481,0.087,0.087,6614.0,145.0,145.0,-0.2,0.02,0.02,,,,,4.24,0.07,0.07,0.0,3.82,0.24,0.23,0.0,ms,,14.19,0.01,0.104369274,True,True,MWang25,EB,3,0.5820633629117087,0.026462670665485355,0.02696891433338955,145.0,0.07,0.02,0.235,0.061,0.087,0.026715792499437452,4.344729344729345,5.874409182984469
TIC446092483_A,1.342,0.019,0.019,2.194,0.069,0.069,6336.0,120.0,120.0,-0.25,0.01,0.01,,,,,3.88,0.03,0.03,0.0,6.07,0.21,0.21,0.0,ms,,26.92,0.05,0.081500743,True,True,MWang25,EB,3,0.7831886910752576,0.014770952661938619,0.01529107505716687,120.0,0.03,0.01,0.21,0.019,0.069,0.015031013859552744,1.4157973174366616,3.1449407474931634
TIC446092483_B,1.486,0.028,0.028,1.459,0.077,0.077,6096.0,111.0,111.0,-0.25,0.01,0.01,,,,,4.28,0.04,0.04,0.0,2.41,0.14,0.13,0.0,ms,,26.92,0.05,0.054197623,True,True,MWang25,EB,3,0.3820170425748684,0.02452313785908683,0.024082195574414544,111.0,0.04,0.01,0.135,0.028,0.077,0.024302666716750687,1.8842530282637957,5.277587388622344
TIC46299496_A,1.123,0.028,0.028,1.13,0.018,0.018,6056.0,113.0,113.0,-0.56,0.03,0.03,,,,,4.38,0.01,0.01,0.0,1.54,0.04,0.04,0.0,ms,,11.99,0.01,0.094245204,True,True,MWang25,EB,3,0.18752072083646307,0.011136366117959567,0.01142946178078183,113.0,0.01,0.03,0.04,0.028,0.018,0.011282913949370699,2.4933214603739984,1.592920353982301
TIC46299496_B,1.053,0.026,0.026,1.02,0.04,0.04,5926.0,120.0,120.0,-0.56,0.03,0.03,,,,,4.44,0.02,0.02,0.0,1.15,0.05,0.05,0.0,ms,,11.99,0.01,0.085070892,True,True,MWang25,EB,3,0.06069784035361165,0.018483405694013168,0.019305155195386663,120.0,0.02,0.03,0.05,0.026,0.04,0.018894280444699915,2.469135802469136,3.9215686274509802
TIC54759992_A,1.236,0.042,0.042,1.255,0.028,0.028,6733.0,126.0,126.0,-0.53,0.03,0.03,,,,,4.33,0.01,0.01,0.0,2.9,0.09,0.09,0.0,ms,,9.62,0.05,0.13045738,True,True,MWang25,EB,3,0.4623979978989561,0.013273190425473536,0.013691677993876161,126.0,0.01,0.03,0.09,0.042,0.028,0.013482434209674848,3.3980582524271847,2.2310756972111556
TIC54759992_B,1.03,0.011,0.011,0.98,0.035,0.035,5619.0,139.0,139.0,-0.53,0.03,0.03,,,,,4.48,0.03,0.03,0.0,0.86,0.04,0.04,0.0,ms,,9.62,0.05,0.101871102,True,True,MWang25,EB,3,-0.06550154875643228,0.01974405819575717,0.02068459885985105,139.0,0.03,0.03,0.04,0.011,0.035,0.02021432852780411,1.0679611650485434,3.571428571428572
NGTS-EB-8_A,0.25,0.005,0.004,0.255,0.004,0.005,3500.0,100.0,200.0,0.0,0.5,0.5,,,,,5.023,0.02,0.016,0.0,0.00879,0.00108,0.00187,1.0,ms,M,8.43,0.02,0.03024911,True,True,OBrien25,EB,3,-2.0560111249262283,0.05032827759586489,0.10388278061701417,150.0,0.018000000000000002,0.5,0.001475,0.0045000000000000005,0.0045000000000000005,0.07710552910643953,1.8000000000000003,1.7647058823529413
NGTS-EB-8_B,0.208,0.005,0.004,0.233,0.006,0.005,3300.0,100.0,100.0,0.0,0.5,0.5,,,,,5.021,0.02,0.022,0.0,0.0058,0.0008,0.00072,1.0,ms,M,8.43,0.02,0.027639383,True,True,OBrien25,EB,3,-2.2365720064370627,0.05611594197893144,0.057564281279018026,100.0,0.020999999999999998,0.5,0.00076,0.0045000000000000005,0.0055,0.05684011162897473,2.1634615384615388,2.360515021459227
KIC6147573_A,0.98,0.01,0.01,1.007,0.005,0.005,5699.0,100.0,100.0,-0.003,0.031,0.031,LAMOST_DR11,,,,4.422,0.003,0.003,0.0,0.95,0.12,0.1,0.0,ms,G3,46.0,0.2,0.021891304,True,True,Ozdarcan24,EB,3,-0.022276394711152253,0.05166017239636183,0.04830467957455503,100.0,0.003,0.031,0.11,0.01,0.005,0.049982425985458434,1.0204081632653061,0.496524329692155
KIC8543278_A,0.827,0.007,0.007,0.746,0.004,0.004,5270.0,90.0,90.0,-0.166,0.028,0.028,LAMOST_DR11,,,,4.611,0.004,0.004,0.0,0.39,0.05,0.04,0.0,ms,K0,18.64,0.05,0.040021459,True,True,Ozdarcan24,EB,3,-0.4089353929735008,0.052388069459688213,0.04699656267622354,90.0,0.004,0.028,0.045,0.007,0.004,0.04969231606795588,0.8464328899637245,0.5361930294906166
KIC9762519_A,0.92,0.02,0.02,0.916,0.008,0.008,5750.0,90.0,90.0,-0.447,0.028,0.028,LAMOST_DR11,,,,4.48,0.005,0.005,0.0,0.83,0.1,0.09,0.0,ms,G7,18.9,0.1,0.048465608,True,True,Ozdarcan24,EB,3,-0.08092190762392612,0.04940485617786121,0.0498463726450977,90.0,0.005,0.028,0.095,0.02,0.008,0.04962561441147945,2.1739130434782608,0.8733624454148472
KIC11769146_A,1.001,0.007,0.007,0.968,0.002,0.002,5800.0,150.0,150.0,0.0,0.25,0.25,,,,,4.467,0.001,0.001,0.0,0.95,0.09,0.08,0.0,ms,,222.4,0.5,0.004352518,True,True,OzdarcanFeb25,EB,3,-0.022276394711152253,0.03930973400993262,0.03820435267022922,150.0,0.001,0.25,0.08499999999999999,0.007,0.002,0.03875704334008093,0.6993006993006995,0.2066115702479339
KIC11769146_B,0.846,0.006,0.006,0.785,0.002,0.002,5180.0,150.0,150.0,0.0,0.25,0.25,,,,,4.575,0.001,0.001,0.0,0.4,0.05,0.04,0.0,ms,,222.4,0.5,0.003529676,True,True,OzdarcanFeb25,EB,3,-0.3979400086720376,0.05115252244738128,0.045757490560675074,150.0,0.001,0.25,0.045,0.006,0.002,0.048455006504028175,0.7092198581560284,0.25477707006369427
KIC8610483_A,0.92,0.02,0.02,1.461,0.01,0.01,5700.0,150.0,150.0,-0.25,0.25,0.25,,,,,4.07,0.004,0.004,0.0,2.0,0.2,0.2,0.0,ms,,68.7,0.4,0.021266376,True,True,OzdarcanFeb25,EB,3,0.3010299956639812,0.041392685158225084,0.04575749056067513,150.0,0.004,0.25,0.2,0.02,0.01,0.04357508785945011,2.1739130434782608,0.6844626967830253
KIC8610483_B,0.92,0.02,0.02,1.329,0.009,0.009,5751.0,150.0,150.0,-0.25,0.25,0.25,,,,,4.153,0.004,0.004,0.0,1.7,0.2,0.2,0.0,ms,,68.7,0.4,0.019344978,True,True,OzdarcanFeb25,EB,3,0.2304489213782739,0.048304679574555004,0.054357662322592676,150.0,0.004,0.25,0.2,0.02,0.009,0.05133117094857384,2.1739130434782608,0.6772009029345372
KIC8868907_A,1.032,0.005,0.005,1.318,0.002,0.002,5800.0,150.0,150.0,0.0,0.25,0.25,,,,,4.2115,0.0009,0.0009,0.0,1.8,0.2,0.2,0.0,ms,,148.6,0.2,0.008869448,True,True,OzdarcanFeb25,EB,3,0.25527250510330607,0.04575749056067513,0.05115252244738128,150.0,0.0009,0.25,0.2,0.005,0.002,0.0484550065040282,0.4844961240310077,0.15174506828528073
KIC8868907_B,0.75,0.003,0.003,0.731,0.001,0.001,4872.0,150.0,150.0,0.0,0.25,0.25,,,,,4.5851,0.0006,0.0006,0.0,0.27,0.03,0.03,0.0,ms,,148.6,0.2,0.004919246,True,True,OzdarcanFeb25,EB,3,-0.5686362358410126,0.04575749056067513,0.05115252244738133,150.0,0.0006,0.25,0.03,0.003,0.001,0.04845500650402823,0.39999999999999997,0.13679890560875513
KIC9948002_A,1.25,0.03,0.03,1.82,0.01,0.01,6100.0,150.0,150.0,0.0,0.25,0.25,,,,,4.015,0.004,0.004,0.0,4.2,0.4,0.4,0.0,ms,,115.1,0.8,0.015812337,True,True,OzdarcanFeb25,EB,3,0.6232492903979004,0.03950854128367365,0.04346569378109022,150.0,0.004,0.25,0.4,0.03,0.01,0.041487117532381934,2.4,0.5494505494505494
KIC9948002_B,0.75,0.01,0.01,0.707,0.005,0.005,4734.0,150.0,150.0,0.0,0.25,0.25,,,,,4.613,0.004,0.004,0.0,0.22,0.03,0.03,0.0,ms,,115.1,0.8,0.006142485,True,True,OzdarcanFeb25,EB,3,-0.6575773191777937,0.05551732784983132,0.06366907986937731,150.0,0.004,0.25,0.03,0.01,0.005,0.059593203859604316,1.3333333333333333,0.7072135785007072
TIC17303250_A,0.714,0.004,0.004,0.768,0.004,0.004,5135.0,80.0,80.0,-0.04,0.15,0.15,,,,,4.38,0.28,0.28,0.0,0.36947,0.02388,0.02282,1.0,ms,K1,17.46,0.03,0.043986254,True,True,Pan25,EB,3,-0.43242081941637184,0.027199973921521625,0.027687976048837604,80.0,0.28,0.15,0.02335,0.004,0.004,0.027443974985179614,0.5602240896358543,0.5208333333333334
TIC17303250_B,0.696,0.004,0.004,0.752,0.004,0.004,5070.0,135.0,135.0,-0.06,0.15,0.15,,,,,4.46,0.28,0.28,0.0,0.33664,0.03748,0.03463,1.0,ms,K2,17.46,0.03,0.043069874,True,True,Pan25,EB,3,-0.47283428186237375,0.04584520753576027,0.047144394806576395,135.0,0.28,0.15,0.036055000000000004,0.004,0.004,0.04649480117116833,0.574712643678161,0.5319148936170213
TIC196817076_A,0.989,0.001,0.001,0.788,0.005,0.005,5285.0,150.0,150.0,-0.05,0.15,0.15,,,,,4.28,0.27,0.27,0.0,0.43644,0.052,0.0478,1.0,ms,K0,30.15,0.15,0.026135987,True,True,Pan25,EB,3,-0.36007545289766324,0.04888667546768233,0.050377049641281424,150.0,0.27,0.15,0.0499,0.001,0.005,0.049631862554481876,0.10111223458038424,0.6345177664974619
TIC196817076_B,0.818,0.011,0.011,0.762,0.005,0.005,5200.0,155.0,155.0,0.02,0.13,0.13,,,,,4.14,0.39,0.39,0.0,0.38249,0.04795,0.04389,1.0,ms,K1,30.15,0.15,0.025273632,True,True,Pan25,EB,3,-0.4173799147628879,0.05129253748647927,0.05293313146419565,155.0,0.39,0.13,0.04592,0.011,0.005,0.05211283447533746,1.3447432762836184,0.6561679790026247
TIC219488423_A,0.565,0.016,0.016,0.564,0.007,0.007,4870.0,90.0,90.0,-0.55,0.12,0.12,,,,,4.55,0.15,0.15,0.0,0.1612,0.0129,0.01225,1.0,ms,K3,25.95,0.13,0.021734104,True,True,Pan25,EB,3,-0.7926349625309281,0.0334337336482593,0.034324529918009494,90.0,0.15,0.12,0.012575,0.016,0.007,0.0338791317831344,2.8318584070796464,1.24113475177305
TIC219488423_B,0.555,0.016,0.016,0.564,0.006,0.006,4680.0,120.0,120.0,-0.54,0.13,0.13,,,,,4.6,0.18,0.18,0.0,0.13748,0.01494,0.01388,1.0,ms,K4,25.95,0.13,0.021734104,True,True,Pan25,EB,3,-0.8617604765348124,0.044802433825452126,0.04622105271239063,120.0,0.18,0.13,0.01441,0.016,0.006,0.04551174326892138,2.8828828828828827,1.0638297872340425
TIC252991035_A,0.736,0.009,0.009,0.741,0.005,0.005,5540.0,140.0,140.0,-0.21,0.15,0.15,,,,,4.3,0.13,0.13,0.0,0.46598,0.04932,0.04578,1.0,ms,G8,17.54,0.06,0.042246294,True,True,Pan25,EB,3,-0.3316327229581455,0.04369286541922024,0.044911228971920736,140.0,0.13,0.15,0.04755,0.009,0.005,0.04430204719557049,1.2228260869565217,0.6747638326585695
TIC252991035_B,0.724,0.009,0.009,0.688,0.005,0.005,5370.0,130.0,130.0,-0.2,0.14,0.14,,,,,4.44,0.12,0.12,0.0,0.35462,0.03598,0.03351,1.0,ms,G9,17.54,0.06,0.039224629,True,True,Pan25,EB,3,-0.450236774531214,0.0419690134830496,0.04310939490323523,130.0,0.12,0.14,0.034745,0.009,0.005,0.042539204193142416,1.2430939226519335,0.7267441860465117
TIC344753509_A,0.743,0.005,0.005,0.729,0.006,0.006,5520.0,120.0,120.0,-0.11,0.12,0.12,,,,,4.39,0.09,0.09,0.0,0.44454,0.0406,0.03812,1.0,ms,G8,18.49,0.04,0.039426717,True,True,Pan25,EB,3,-0.35208915483394604,0.03795623870161163,0.0389357736561422,120.0,0.09,0.12,0.03936,0.005,0.006,0.03844600617887692,0.6729475100942126,0.823045267489712
TIC344753509_B,0.743,0.005,0.005,0.756,0.005,0.005,5175.0,155.0,155.0,-0.1,0.1,0.1,,,,,4.49,0.12,0.12,0.0,0.3693,0.04653,0.04258,1.0,ms,K2,18.49,0.04,0.040886966,True,True,Pan25,EB,3,-0.43262069234902123,0.05153651059234088,0.05320358724416252,155.0,0.12,0.1,0.044555,0.005,0.005,0.0523700489182517,0.6729475100942126,0.6613756613756614
