ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,logR,elogR1,elogR2,eTeff,elogg,eFeH,eL,eM,eR,elogL,elogR,percent_eM,percent_eR
KIC11045572,1.4947,0.0576,0.0576,8.9753,0.1556,0.1556,4671.069,42.5962,42.5962,0.1149,0.058,0.058,,,,,2.7083,0.0038,0.0038,0.0,34.55077,1.54354,1.71925,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5384577305242473,0.018981013476427666,0.022166740809488328,0.953048973814936,0.007464612675551208,0.007595160855498273,42.5962,0.0038,0.058,1.631395,0.0576,0.1556,0.020573877142957997,0.00752988676552474,3.853616110256239,1.7336467861798488
KIC11045769,1.0404,0.04,0.04,6.4582,0.1118,0.1118,4736.0586,46.7331,46.7331,-0.2963,0.058,0.058,,,,,2.8368,0.004,0.004,0.0,22.07,0.59,0.39,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.343802333161655,0.011457572365723312,0.007743055295305723,0.8101114902865048,0.0074538792732760095,0.007584049008383609,46.7331,0.004,0.058,0.49,0.04,0.1118,0.009600313830514517,0.007518964140829809,3.8446751249519417,1.7311325137035087
KIC11046830,0.9959,0.0383,0.0383,7.7053,0.1334,0.1334,4770.9746,56.5447,56.5447,-0.77,0.058,0.058,,,,,2.6644,0.0045,0.0045,0.0,27.71419,1.59624,1.60339,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4427021900303747,0.02431999979179933,0.025882011801341198,0.8867895523092336,0.007454491288447884,0.007584682587333025,56.5447,0.0045,0.058,1.599815,0.0383,0.1334,0.025101005796570264,0.0075195869378904545,3.845767647354152,1.7312758750470454
KIC11068380,1.1175,0.043,0.043,6.941,0.1202,0.1202,4710.478,57.0757,57.0757,-0.0905,0.058,0.058,,,,,2.8052,0.0045,0.0045,0.0,20.16,0.45,0.52,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3044905277734877,0.009587464005725188,0.01134904432255679,0.8414220444023593,0.007456468135654926,0.007586729099302358,57.0757,0.0045,0.058,0.485,0.043,0.1202,0.010468254164140989,0.007521598617478642,3.8478747203579418,1.7317389425154877
KIC11072852,1.3027,0.0516,0.0516,21.9082,0.3911,0.3911,4415.2236,39.8245,39.8245,-0.0717,0.058,0.058,,,,,1.8537,0.0038,0.0038,0.0,183.0,6.6,6.7,0.0,rgb,,,,,,,Pinsonneault25,A,3,2.2624510897304293,0.015387243271618,0.016198777431107203,1.3406066969500063,0.007684533321973719,0.00782295871337424,39.8245,0.0038,0.058,6.65,0.0516,0.3911,0.015793010351362602,0.007753746017673979,3.961004068473171,1.785176326672205
KIC11073297,1.0973,0.0461,0.0461,8.2651,0.1548,0.1548,4521.7744,39.9797,39.9797,0.2585,0.058,0.058,,,,,2.6456,0.0041,0.0041,0.0,24.03,0.45,0.43,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.3807537708039002,0.0080576426696235,0.007841767833793645,0.9172481124973588,0.008058821079952594,0.008211193436035269,39.9797,0.0041,0.058,0.44,0.0461,0.1548,0.007949705251708572,0.008135007257993931,4.201221179258179,1.8729355966654968
KIC11073377,1.2225,0.0476,0.0476,13.6785,0.2385,0.2385,4301.005,37.4121,37.4121,0.2428,0.058,0.058,,,,,2.2488,0.0037,0.0037,0.0,57.68348,2.33908,2.81077,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.7610514531539345,0.01726306126318966,0.021695043914976564,1.1360384747641799,0.0075071524742422735,0.00763920604637347,37.4121,0.0037,0.058,2.5749250000000004,0.0476,0.2385,0.019479052589083112,0.007573179260307872,3.8936605316973423,1.7436122381840113
KIC11074543,1.0321,0.0398,0.0398,7.8668,0.1364,0.1364,4656.28,43.5638,43.5638,-0.2147,0.058,0.058,,,,,2.6619,0.0039,0.0039,0.0,26.20881,1.62638,1.32179,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4184473024358768,0.026146887664416196,0.022474405627899152,0.8957981091114862,0.0074655609389223665,0.007596142580188814,43.5638,0.0039,0.058,1.474085,0.0398,0.1364,0.024310646646157674,0.00753085175955559,3.856215482995834,1.733868917475975
KIC11075808,1.352,0.0523,0.0523,10.9843,0.1908,0.1908,4512.4,41.8084,41.8084,0.29,0.058,0.058,,,,,2.4882,0.0039,0.0039,0.0,42.96,1.49,1.13,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6330642726914992,0.014807492614733242,0.011576408110868908,1.0407723857149838,0.007479032375690586,0.007610089854091395,41.8084,0.0039,0.058,1.31,0.0523,0.1908,0.013191950362801075,0.007544561114890991,3.8683431952662715,1.737024662472802
KIC11076453,1.5357,0.0642,0.0642,10.1153,0.189,0.189,4692.552,51.1104,51.1104,-0.0124,0.058,0.058,,,,,2.6161,0.0045,0.0045,0.0,44.69805,2.40959,2.53147,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.6502885769862465,0.022802770498633773,0.02532019881605896,1.0049787676221476,0.008039726652900425,0.008191370992586378,51.1104,0.0045,0.058,2.47053,0.0642,0.189,0.024061484657346366,0.008115548822743401,4.180504004688415,1.868456694314553
KIC11083613,1.0007,0.038,0.038,6.1814,0.1058,0.1058,4776.8496,46.1778,46.1778,-0.4569,0.058,0.058,,,,,2.8579,0.0039,0.0039,0.0,18.67,0.33,0.36,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2711443179490785,0.007609283003750411,0.008455973647381931,0.7910868478099096,0.007370427955395886,0.007497674375443797,46.1778,0.0039,0.058,0.345,0.038,0.1058,0.008032628325566171,0.007434051165419842,3.797341860697512,1.7115863720192837
KIC11084022,1.3444,0.0518,0.0518,10.1848,0.1766,0.1766,4656.817,42.8452,42.8452,-0.0448,0.058,0.058,,,,,2.5521,0.0038,0.0038,0.0,43.94975,1.96996,2.19721,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.6429564090132203,0.019042727654627,0.022273508249173624,1.007952505133021,0.007465934754615544,0.007596529587895473,42.8452,0.0038,0.058,2.0835850000000002,0.0518,0.1766,0.020658117951900312,0.007531232171255509,3.8530199345432905,1.7339564841724926
KIC11085766,1.3084,0.0503,0.0503,7.2605,0.1257,0.1257,4736.3247,44.131,44.131,0.0137,0.058,0.058,,,,,2.8346,0.0039,0.0039,0.0,23.89977,1.20876,1.20191,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.3783937215250635,0.021427565796531045,0.02240880856111649,0.8609665297584647,0.0074545333345088505,0.00758472611491412,44.131,0.0039,0.058,1.205335,0.0503,0.1257,0.021918187178823767,0.007519629724711485,3.8443900947722405,1.731285724123683
KIC11086949,1.0234,0.0394,0.0394,5.0799,0.088,0.088,4685.9937,43.1052,43.1052,-0.0277,0.058,0.058,,,,,3.0381,0.0038,0.0038,0.0,11.21016,0.79559,0.56013,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.0496118112230923,0.029777484422541356,0.02226098008532107,0.705855163095799,0.007458938278927629,0.007589286317903121,43.1052,0.0038,0.058,0.67786,0.0394,0.088,0.026019232253931213,0.007524112298415375,3.849912057846394,1.7323175653064034
KIC11087371,1.3088,0.0497,0.0497,5.5793,0.0955,0.0955,4723.628,42.7305,42.7305,0.2727,0.058,0.058,,,,,3.0635,0.0038,0.0038,0.0,13.9623,0.9905,0.68773,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.1449569652091822,0.029765559269884223,0.021936503226056336,0.746579714133383,0.0073708459296681905,0.007498106907279145,42.7305,0.0038,0.058,0.839115,0.0497,0.0955,0.02585103124797028,0.007434476418473668,3.7973716381418092,1.7116842614664924
KIC11090926,1.06,0.0443,0.0443,8.9331,0.1669,0.1669,4694.3843,44.5979,44.5979,-0.349,0.058,0.058,,,,,2.5628,0.0042,0.0042,0.0,38.31,2.73,2.69,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.5833121519830777,0.02989520012068203,0.031618236855852855,0.9510021956483938,0.0080391966726997,0.008190820831076917,44.5979,0.0042,0.058,2.71,0.0443,0.1669,0.030756718488267443,0.008115008751888309,4.179245283018868,1.8683323818159427
KIC11091260,1.0953,0.0422,0.0422,8.9875,0.1557,0.1557,4679.4697,48.7664,48.7664,-0.2824,0.058,0.058,,,,,2.5719,0.0041,0.0041,0.0,34.89467,1.59574,1.86741,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5427590955446737,0.019419647505840354,0.02388655019839825,0.953638903390939,0.007459316316407061,0.00758967768424057,48.7664,0.0041,0.058,1.7315749999999999,0.0422,0.1557,0.0216530988521193,0.007524497000323815,3.8528257098511824,1.7324061196105702
KIC11091445,1.1626,0.0445,0.0445,4.4784,0.0773,0.0773,4963.155,57.1342,57.1342,-0.2871,0.058,0.058,,,,,3.203,0.0044,0.0044,0.0,10.38,0.15,0.18,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.0161973535124391,0.0062310176730473454,0.007597181750521598,0.6511228811220872,0.007432236252859048,0.007561644584864968,57.1342,0.0044,0.058,0.16499999999999998,0.0445,0.0773,0.006914099711784472,0.007496940418862008,3.8276277309478752,1.7260628795998572
KIC11091456,1.4736,0.0619,0.0619,15.0002,0.2811,0.2811,4483.874,40.4763,40.4763,-0.0322,0.058,0.058,,,,,2.2496,0.0041,0.0041,0.0,74.48,2.12,2.1,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.8720396679732862,0.012189101659317636,0.012421089201105628,1.1760970496101697,0.00806325219565962,0.00821579375157011,40.4763,0.0041,0.058,2.1100000000000003,0.0619,0.2811,0.012305095430211632,0.008139522973614866,4.200597176981542,1.8739750136664848
KIC11092247,1.1755,0.0496,0.0496,12.1743,0.2286,0.2286,4339.074,42.8507,42.8507,0.1934,0.058,0.058,,,,,2.3353,0.0043,0.0043,0.0,47.88,4.09,2.67,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.680154141734373,0.035598575088486406,0.024919634700078852,1.085443999465558,0.0080792426922911,0.008232395632486122,42.8507,0.0043,0.058,3.38,0.0496,0.2286,0.03025910489428263,0.008155819162388611,4.219481071884305,1.8777260294226361
KIC11097749,1.3454,0.056,0.056,7.6767,0.1432,0.1432,4860.2393,53.9858,53.9858,-0.124,0.058,0.058,,,,,2.7983,0.0046,0.0046,0.0,29.6261,1.55028,1.69552,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4716744844210692,0.02215120188734443,0.025594530167105445,0.885174569017643,0.008026630368819565,0.00817777641119144,53.9858,0.0046,0.058,1.6229,0.056,0.1432,0.023872866027224937,0.008102203390005502,4.162330905306972,1.8653848658928966
KIC11097752,1.2414,0.0509,0.0509,5.4782,0.1007,0.1007,4704.035,42.6091,42.6091,0.2267,0.058,0.058,,,,,3.0564,0.004,0.004,0.0,13.23892,0.96101,0.67562,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.121852557824871,0.03043364566461748,0.022748827376854797,0.7386378835789181,0.007910693311390604,0.008057464519417912,42.6091,0.004,0.058,0.818315,0.0509,0.1007,0.02659123652073614,0.007984078915404258,4.100209440953762,1.8381950275637984
KIC11097853,1.2452,0.0481,0.0481,9.7309,0.1689,0.1689,4580.801,48.3838,48.3838,0.1608,0.058,0.058,,,,,2.5585,0.0042,0.0042,0.0,37.56353,2.12109,2.02757,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5747663979573558,0.023855828118259703,0.024098345603391857,0.9881530095343151,0.007473411348714154,0.0076042701745444585,48.3838,0.0042,0.058,2.07433,0.0481,0.1689,0.02397708686082578,0.007538840761629306,3.86283327979441,1.7357078995776343
KIC11098753,1.2834,0.0493,0.0493,10.225,0.1769,0.1769,4816.938,57.3154,57.3154,-0.3581,0.058,0.058,,,,,2.5282,0.0045,0.0045,0.0,44.75,1.74,2.0,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6507930396519308,0.01656650653115621,0.01985692058773947,1.0096633166793794,0.007449357633790177,0.007579368109498663,57.3154,0.0045,0.058,1.87,0.0493,0.1769,0.01821171355944784,0.00751436287164442,3.841358890447249,1.730073349633252
KIC11099144,1.3681,0.0528,0.0528,9.584,0.1662,0.1662,4640.419,42.4374,42.4374,0.1074,0.058,0.058,,,,,2.6128,0.0038,0.0038,0.0,42.02,1.53,1.42,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6234560480699338,0.015532111273748317,0.014930014492739785,0.9815468050452362,0.007466719166688507,0.007597341684196013,42.4374,0.0038,0.058,1.475,0.0528,0.1662,0.015231062883244051,0.00753203042544226,3.859367005335867,1.7341402337228713
KIC11099193,1.1528,0.0445,0.0445,8.5791,0.1488,0.1488,4627.0005,49.4803,49.4803,0.0302,0.058,0.058,,,,,2.6347,0.0042,0.0042,0.0,30.39319,1.86283,1.65202,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4827762850319186,0.025834494677223097,0.024271841546819717,0.9334417300940363,0.007468031581461587,0.007598700424652383,49.4803,0.0042,0.058,1.757425,0.0445,0.1488,0.025053168112021407,0.007533366003056985,3.8601665510062455,1.734447669335944
KIC11100441,1.2762,0.0536,0.0536,9.7911,0.1834,0.1834,4515.7305,44.9099,44.9099,0.2176,0.058,0.058,,,,,2.5639,0.0043,0.0043,0.0,42.2,2.46,2.77,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6253124509616739,0.024606267773745305,0.029485673888450803,0.9908314861947293,0.008059648471483105,0.008212052413813176,44.9099,0.0043,0.058,2.615,0.0536,0.1834,0.027045970831098054,0.00813585044264814,4.199968656950322,1.8731296789941885
KIC11121489,1.1964,0.0463,0.0463,12.5753,0.2185,0.2185,4493.713,57.1625,57.1625,-0.2806,0.058,0.058,,,,,2.3141,0.0047,0.0047,0.0,58.69,3.79,4.15,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.7685641095135733,0.027176911355670574,0.03184897590796232,1.0995183545065303,0.007481202788309549,0.007612337012234072,57.1625,0.0047,0.058,3.97,0.0463,0.2185,0.029512943631816446,0.00754676990027181,3.869943162821799,1.7375331006019739
KIC11121968,0.9799,0.0377,0.0377,8.3655,0.1449,0.1449,4709.881,55.6739,55.6739,-0.2969,0.058,0.058,,,,,2.5859,0.0045,0.0045,0.0,31.55,1.79,1.83,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.498999363580153,0.023966231911833447,0.025950558491615316,0.9224919035472423,0.007458069429262748,0.007588386836935634,55.6739,0.0045,0.058,1.81,0.0377,0.1449,0.02495839520172438,0.007523228133099191,3.8473313603428916,1.7321140398063473
KIC11122147,1.3351,0.0554,0.0554,5.1173,0.0953,0.0953,5037.3564,62.8886,62.8886,-0.242,0.058,0.058,,,,,3.1472,0.0049,0.0049,0.0,16.16,0.56,0.54,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2084413564385674,0.014794916664430113,0.014760326897285792,0.7090408780871146,0.008013521603400742,0.008164169710210945,62.8886,0.0049,0.058,0.55,0.0554,0.0953,0.014777621780857952,0.008088845656805843,4.149501909969291,1.8623102026459264
KIC11122261,1.1131,0.0454,0.0454,4.2438,0.0778,0.0778,5021.388,56.2621,56.2621,-0.2863,0.058,0.058,,,,,3.2308,0.0045,0.0045,0.0,10.31572,0.94459,0.58917,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.0134995455534097,0.038050801394968525,0.025540721899336205,0.6277549084660907,0.007889658377284947,0.008035642854363645,56.2621,0.0045,0.058,0.76688,0.0454,0.0778,0.031795761647152365,0.007962650615824296,4.078699128559878,1.8332626419718174
KIC11124920,1.1367,0.0438,0.0438,9.5345,0.1653,0.1653,4662.7983,53.2171,53.2171,-0.2458,0.058,0.058,,,,,2.5364,0.0044,0.0044,0.0,45.96,2.51,1.86,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.6623800200162475,0.023092999706511685,0.01794143054840891,0.9792979230836945,0.00746485656483431,0.007595413350472868,53.2171,0.0044,0.058,2.185,0.0438,0.1653,0.020517215127460298,0.007530134957653589,3.8532594352071783,1.7337039173527717
KIC11125699,1.0852,0.0419,0.0419,8.017,0.1392,0.1392,4565.299,47.6616,47.6616,0.0602,0.058,0.058,,,,,2.6673,0.0041,0.0041,0.0,28.32,1.18,1.07,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4520932490177314,0.017728766960431575,0.016726742405070105,0.9040118835973882,0.007475983071174808,0.007606932765157448,47.6616,0.0041,0.058,1.125,0.0419,0.1392,0.01722775468275084,0.007541457918166128,3.8610394397346117,1.7363103405263813
KIC11126517,1.1459,0.0444,0.0444,8.4003,0.146,0.146,4469.161,44.3239,44.3239,0.3237,0.058,0.058,,,,,2.6504,0.004,0.004,0.0,26.23,1.15,0.75,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4187982905903536,0.01863515320761766,0.012598866927040708,0.9242947963021255,0.007483337446755778,0.007614547174237374,44.3239,0.004,0.058,0.95,0.0444,0.146,0.015617010067329185,0.007548942310496576,3.8746836547691776,1.7380331654821852
KIC11126673,1.2093,0.0466,0.0466,8.6414,0.1498,0.1498,4672.1777,43.113,43.113,-0.0994,0.058,0.058,,,,,2.6491,0.0038,0.0038,0.0,31.57,0.52,0.51,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4992745818922173,0.007095135203286862,0.007073130499677616,0.93658410856914,0.007464051807011041,0.0075945801976726734,43.113,0.0038,0.058,0.515,0.0466,0.1498,0.007084132851482239,0.007529316002341857,3.853468948978748,1.7335154025968011
KIC11127105,1.0758,0.042,0.042,4.3635,0.077,0.077,4750.249,46.0342,46.0342,0.1213,0.058,0.058,,,,,3.1919,0.004,0.004,0.0,8.73434,0.64746,0.45244,1.0,rgb,,,,,,,Pinsonneault25,A,3,0.9412300936134689,0.03105607686271039,0.02310011131457934,0.6398349803027404,0.007596894094561879,0.0077321522399873555,46.0342,0.004,0.058,0.54995,0.042,0.077,0.027078094088644866,0.007664523167274617,3.904071388733965,1.7646384782857798
KIC11127586,1.2351,0.0514,0.0514,7.2411,0.135,0.135,4881.5884,48.5289,48.5289,-0.4365,0.058,0.058,,,,,2.8119,0.0043,0.0043,0.0,26.82554,1.47627,1.44442,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.428548473104336,0.023265737963263255,0.024037690684988178,0.8598045451533053,0.008022250792728003,0.008173230384092678,48.5289,0.0043,0.058,1.460345,0.0514,0.135,0.023651714324125717,0.00809774058841034,4.161606347664157,1.864357625222687
KIC11127981,1.1433,0.0441,0.0441,7.7384,0.1342,0.1342,4635.396,49.2864,49.2864,0.0479,0.058,0.058,,,,,2.7207,0.0042,0.0042,0.0,27.07,0.74,1.1,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.4324882557705063,0.011712733093653283,0.01801630614120353,0.8886511747652887,0.007467011110122046,0.007597643931940734,49.2864,0.0042,0.058,0.92,0.0441,0.1342,0.014864519617428407,0.00753232752103139,3.8572553135659935,1.7342086219373516
KIC11129191,1.1829,0.0494,0.0494,7.0345,0.1313,0.1313,4782.805,50.2047,50.2047,-0.2028,0.058,0.058,,,,,2.8183,0.0044,0.0044,0.0,20.83,0.6,0.38,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.318689269947746,0.012332901094082693,0.007995957604385318,0.8472332339728978,0.008031448714506229,0.008182777991787793,50.2047,0.0044,0.058,0.49,0.0494,0.1313,0.010164429349234005,0.00810711335314701,4.176177191647645,1.8665150330513895
KIC11129442,0.995,0.0418,0.0418,9.6825,0.1814,0.1814,4484.9463,40.853,40.853,-0.072,0.058,0.058,,,,,2.4643,0.0041,0.0041,0.0,34.17423,1.51751,1.7657,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5336987380015747,0.01886898266292314,0.02303940543795102,0.9859875056581203,0.008061155084022387,0.00821361655090136,40.853,0.0041,0.058,1.641605,0.0418,0.1814,0.02095419405043708,0.008137385817461873,4.201005025125628,1.873483088045443
KIC11129934,1.2036,0.0504,0.0504,6.3372,0.1186,0.1186,4603.972,52.3432,52.3432,0.2815,0.058,0.058,,,,,2.9165,0.0046,0.0046,0.0,16.14,0.43,0.38,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2079035303860517,0.011418978033284954,0.010347317232515252,0.8018974135361197,0.008052653989262581,0.008204791017447643,52.3432,0.0046,0.058,0.405,0.0504,0.1186,0.010883147632900103,0.008128722503355112,4.187437686939182,1.8714889856719055
KIC11134608,1.2935,0.0507,0.0507,23.3665,0.4103,0.4103,4259.4976,38.2774,38.2774,-0.1212,0.058,0.058,,,,,1.7928,0.0038,0.0038,0.0,176.1,7.5,7.4,0.0,rgb,,,,,,,Pinsonneault25,A,3,2.245759355967277,0.018113320897946483,0.018644273378151777,1.368593665557761,0.007559739146395517,0.00769366578716113,38.2774,0.0038,0.058,7.45,0.0507,0.4103,0.01837879713804913,0.007626702466778323,3.919597989949749,1.7559326386065524
KIC11134982,1.5667,0.0654,0.0654,7.1874,0.1342,0.1342,4782.979,44.2502,44.2502,0.0674,0.058,0.058,,,,,2.9216,0.0042,0.0042,0.0,24.35747,1.9506,1.26578,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.3866321763212086,0.033456812429841776,0.023176457747217105,0.8565718152976436,0.008034183143248996,0.008185616457311307,44.2502,0.0042,0.058,1.60819,0.0654,0.1342,0.02831663508852944,0.008109899800280151,4.174379268526201,1.8671564126109583
KIC11135683,1.7559,0.0732,0.0732,13.3874,0.2499,0.2499,4796.432,48.4475,48.4475,-0.2672,0.058,0.058,,,,,2.4287,0.0043,0.0043,0.0,120.1,11.7,9.6,0.0,rgb,,,,,,,Pinsonneault25,A,3,2.079543007402906,0.04037240285508492,0.03618072938177663,1.1266962397980527,0.008032154630001065,0.008183510761754054,48.4475,0.0043,0.058,10.649999999999999,0.0732,0.2499,0.03827656611843078,0.00810783269587756,4.168802323594738,1.8666806101259394
KIC11135910,1.0709,0.0407,0.0407,11.0707,0.1896,0.1896,4709.7417,45.3993,45.3993,-0.511,0.058,0.058,,,,,2.3779,0.0039,0.0039,0.0,54.32919,2.42716,2.76894,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.7350332301367453,0.018981228075239054,0.022718215688171783,1.0441750821728493,0.00737487908927803,0.0075022805807181125,45.3993,0.0039,0.058,2.59805,0.0407,0.1896,0.02084972188170542,0.007438579834998071,3.800541600522925,1.71262883105856
KIC11136049,1.1239,0.0434,0.0434,6.8415,0.1188,0.1188,4568.6714,40.762,40.762,0.1713,0.058,0.058,,,,,2.8202,0.0038,0.0038,0.0,19.72,0.44,0.42,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.2949069106051925,0.009583617168295255,0.009349601597418822,0.8351513312966196,0.007476627500251909,0.007607599969247092,40.762,0.0038,0.058,0.43,0.0434,0.1188,0.009466609382857039,0.0075421137347495,3.8615535189963524,1.736461302345977
KIC11136139,1.0595,0.0409,0.0409,9.948,0.1725,0.1725,4631.842,43.2147,43.2147,-0.2515,0.058,0.058,,,,,2.468,0.0039,0.0039,0.0,47.04,1.39,1.34,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.672467313068082,0.012647155978457336,0.012551112998231861,0.9977357765978984,0.007466192613077571,0.007596796546617601,43.2147,0.0039,0.058,1.365,0.0409,0.1725,0.012599134488344599,0.007531494579847586,3.8603114676734305,1.7340168878166464
KIC11136578,1.2264,0.0472,0.0472,6.8142,0.1181,0.1181,4698.325,43.0381,43.0381,0.0886,0.058,0.058,,,,,2.8616,0.0038,0.0038,0.0,16.63,1.47,1.32,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.220892249219519,0.03678632564966544,0.03591705852125804,0.8334148761678276,0.00746247266997957,0.007592945351695191,43.0381,0.0038,0.058,1.395,0.0472,0.1181,0.03635169208546174,0.00752770901083738,3.848662752772342,1.7331454902996686
KIC11137409,1.0589,0.0433,0.0433,5.3294,0.0978,0.0978,4874.379,62.7049,62.7049,-0.3029,0.058,0.058,,,,,3.0113,0.0049,0.0049,0.0,15.46,1.26,1.24,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.1892094895823062,0.03402678352069133,0.036309893188558595,0.7266783175900153,0.007897508650585694,0.008043786485136373,62.7049,0.0049,0.058,1.25,0.0433,0.0978,0.03516833835462496,0.007970647567861033,4.089149117008216,1.8351033887492025
KIC11137502,1.4957,0.0622,0.0622,5.2332,0.0975,0.0975,4929.4053,50.3837,50.3837,0.0692,0.058,0.058,,,,,3.1771,0.0044,0.0044,0.0,13.97,0.35,0.35,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.145196406114182,0.010746611857654909,0.011019298537415567,0.7187673327210513,0.008016909359217061,0.008167686069496916,50.3837,0.0044,0.058,0.35,0.0622,0.0975,0.010882955197535238,0.008092297714356989,4.158587952129437,1.8631047924787894
KIC11138542,1.6805,0.0647,0.0647,19.547,0.3399,0.3399,4705.7383,42.1012,42.1012,-0.4169,0.058,0.058,,,,,2.0705,0.0037,0.0037,0.0,177.8,11.7,10.9,0.0,rgb,,,,,,,Pinsonneault25,A,3,2.249931756634195,0.027677457669896377,0.027475419954948066,1.2910801129635265,0.007486976957234326,0.0076183154663611585,42.1012,0.0037,0.058,11.3,0.0647,0.3399,0.02757643881242222,0.007552646211797742,3.850044629574531,1.7388857625211027
KIC11139003,1.3914,0.0587,0.0587,13.8,0.2592,0.2592,4327.4717,42.9823,42.9823,0.2281,0.058,0.058,,,,,2.2987,0.0043,0.0043,0.0,62.65,3.25,3.86,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.7969210753301688,0.021964339263841115,0.02761761514108696,1.1398790864012365,0.008081522655949414,0.008234762870283019,42.9823,0.0043,0.058,3.5549999999999997,0.0587,0.2592,0.024790977202464037,0.008158142763116216,4.218772459393417,1.8782608695652172
KIC11139884,1.1991,0.0464,0.0464,8.3481,0.1451,0.1451,4489.831,39.3863,39.3863,0.3712,0.058,0.058,,,,,2.6755,0.0037,0.0037,0.0,25.51467,1.32306,1.24651,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.4067899556545,0.02195582372004501,0.021753106069153372,0.9215876427398555,0.007483708340516371,0.007614931188884344,39.3863,0.0037,0.058,1.2847849999999998,0.0464,0.1451,0.02185446489459919,0.007549319764700357,3.8695688432991404,1.738120051269151
KIC11145974,1.4554,0.0608,0.0608,11.8594,0.2214,0.2214,4756.3057,47.8447,47.8447,-0.3112,0.058,0.058,,,,,2.4529,0.0043,0.0043,0.0,62.21,2.35,2.93,0.0,rgb,,,,,,,Pinsonneault25,A,3,1.7938602013426697,0.01610332037134432,0.020952006371397935,1.0740627174194175,0.008032977137346187,0.008184364562025426,47.8447,0.0043,0.058,2.64,0.0608,0.2214,0.018527663371371128,0.008108670849685806,4.177545691906005,1.8668735349174495
KIC11146260,1.4177,0.0546,0.0546,10.4868,0.1817,0.1817,4674.227,47.5479,47.5479,0.0157,0.058,0.058,,,,,2.5497,0.0041,0.0041,0.0,47.29551,5.13612,2.49635,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.67481991294116,0.044773446374732906,0.023550042040893615,1.0206429853949546,0.00746037615535089,0.007590774894718377,47.5479,0.0041,0.058,3.816235,0.0546,0.1817,0.03416174420781326,0.0075255755250346335,3.8513084573605134,1.732654384559637
KIC11147333,1.204,0.0464,0.0464,8.9251,0.1547,0.1547,4661.3286,48.1194,48.1194,-0.1205,0.058,0.058,,,,,2.6192,0.0041,0.0041,0.0,33.88128,2.46388,1.80369,1.0,rgb,,,,,,,Pinsonneault25,A,3,1.5299598091685895,0.030486775895946172,0.02375807701961752,0.9506130908015854,0.007463191656395085,0.00759368970108143,48.1194,0.0041,0.058,2.133785,0.0464,0.1547,0.027122426457781845,0.007528440678738257,3.8538205980066444,1.73331391244916
