ID,BART_weight,HBNN_weight,GP_weight
KIC9778067,0.0003076937572618667,0.25597980070504545,0.7437125055376936
V*_V714_And_B,0.0052429462078819634,0.11107400434780372,0.8836830494443133
KIC3534307,0.032168125095266606,0.29507379450159493,0.6727580804031404
KIC3241581,0.0008837011487090169,0.017589595998676398,0.9815267028526174
KIC10215584,0.031027671958390488,0.11075852859106836,0.8582137994505407
KIC3761840,0.007474845174943302,0.15051302979909834,0.84201212502596
KIC9143749,0.06599546813197063,0.36755660710675464,0.5664479247612778
KIC3230227_A,0.0026903015999076114,0.0729729987395404,0.9243366996605532
KIC8349582,0.005994236798743896,0.06626701273083521,0.9277387504704216
EPIC206009487,0.029681222258592398,0.30754833129080633,0.6627704464506023
KIC10147635,0.022063340356328204,0.22522218535427008,0.7527144742894016
KIC9787965,0.023962212349597153,0.21817066069692398,0.7578671269534797
EPIC206201061,0.01944976252682462,0.17950301167874258,0.8010472257944345
KIC8760414,0.00021305733719029736,0.18182742615325773,0.8179595165095521
KIC9641031_B,0.00019034604079816675,0.020772349878666996,0.9790373040805355
ASAS_J231922-0852.2_A,0.004614222508297672,0.370864972771915,0.6245208047197885
EPIC201820830,0.07349275659982217,0.2893974474382372,0.6371097959619413
KIC11467550,0.0613080400021836,0.3266461555891801,0.6120458044086357
KIC7700968,0.0028600498352600776,0.2465695710472485,0.7505703791174914
KIC3854781,0.0026137751158753376,0.07859522510960748,0.9187909997745183
TIC17303250_A,0.020789079891643508,0.0212199450545397,0.9579909750538197
KIC8360349,0.0013804431369419732,0.08085303136009027,0.9177665255029683
V818_Tau_B,0.0008308291529888481,0.0020824876745072505,0.9970866831725017
KIC5359678_A,0.07196211899343802,0.28475458235026024,0.6432832986563004
EF_Aqr A,0.05785333487688693,0.19191674294097885,0.7502299221821325
KIC10610027,0.044868172047674834,0.18704456473438716,0.7680872632179379
KIC7133688,0.01573178349177246,0.17308168192324896,0.8111865345849782
BN_Scl_A,0.013362522794514668,0.331406354889266,0.6552311223162174
KIC5214711,0.05527615427828988,0.2820398962099902,0.6626839495117197
KIC7622208,0.014110151020288985,0.1581018560873504,0.8277879928923609
KIC5683538,0.00017301261209409977,0.24490565184535676,0.7549213355425498
KIC8802782,0.0006804076202189522,0.06261868008585357,0.9367009122939268
