ID,BART_weight,HBNN_weight,GP_weight
KIC10213610,0.10591665277354392,0.3249553867763089,0.5691279604501454
EPIC248548424,0.0004703850234735598,0.37532337425120993,0.6242062407253166
KIC4585010,0.028316362802546985,0.1700457330796914,0.8016379041177633
KIC2299465,0.042890362390727424,0.13087203107303094,0.8262376065362419
KIC7732255,0.07526089788359232,0.40514986969044864,0.5195892324259603
KIC8491197,7.28405851037572e-05,0.3520972222553714,0.6478299371595253
KIC9340623,0.0026166995146965173,0.33179786771417635,0.6655854327711249
KIC6837573,0.0013069058296704718,0.05005248069073748,0.9486406134795913
KIC4377436,6.6044722481373195e-06,0.3383763837817723,0.6616170117459789
EPIC206265026,0.0001579563388852821,0.7551434031376034,0.24469864052351092
EPIC211329249,0.00036226635495060003,0.24805593836082312,0.7515817952842256
KIC9534964,0.009306971734718974,0.050254850943309254,0.9404381773219712
EPIC247374311,0.004757867568748602,0.42300246012575154,0.5722396723054999
EPIC220576563,0.03582935907519101,0.3316504653313396,0.632520175593469
KIC2716732,7.779472465216372e-08,0.18611223872385335,0.8138876834814236
EPIC212479153,0.006643459933177553,0.18699066482601615,0.8063658752408053
KIC2696115,6.625081152521303e-06,0.19655714609280617,0.8034362288260395
KIC6500038,0.028714462238808393,0.5500793048178286,0.4212062329433637
KIC10407047,0.005598162316547948,0.06960689778283972,0.9247949399006119
KIC7430415,5.7482155702901245e-05,0.40025469977535555,0.599687818068941
EPIC235132940,0.007401457679749595,0.37379247083090444,0.6188060714893449
KIC4373583,0.01874723008710811,0.12979992459767895,0.8514528453152139
KIC4261579,1.749417721710433e-05,0.7122549528072435,0.28772755301553865
KIC5022741,0.017784688761343145,0.4156190200272321,0.5665962912114229
KIC11910249,0.0009600235486109847,0.6016350223768127,0.3974049540745777
KIC9029603,0.002791846649248109,0.04686320108737086,0.9503449522633817
KIC7185633,1.2458476164811807e-07,0.5070728409627907,0.49292703445244845
KIC10858675,0.06433100378622197,0.16421288213700794,0.7714561140767685
KIC8098590,0.011471177968411989,0.10965662961560456,0.8788721924159845
KIC3219744,0.001835645140138308,0.5622071739582438,0.43595718090161784
