ID,BART_weight,HBNN_weight,GP_weight
KIC9778067,0.08750216450800789,0.04882697401059971,0.8636708614813929
V*_V714_And_B,0.13966368881575572,0.29586835984171234,0.5644679513425331
KIC3534307,0.12376329996138406,0.12532473300632724,0.7509119670322866
KIC3241581,0.040318187702444275,0.13028448263850786,0.8293973296590453
KIC10215584,0.1692684172921577,0.20519938904629054,0.62553219366155
KIC3761840,0.12138901643280069,0.10343812504105436,0.7751728585261443
KIC9143749,0.23254849364565136,0.19076223946242155,0.5766892668919262
KIC3230227_A,0.36652846860442595,0.12996670914734987,0.5035048222482238
KIC8349582,0.04819674275879345,0.23797890820812928,0.7138243490330799
EPIC206009487,0.14520634062299573,0.13090685913422073,0.7238868002427823
KIC10147635,0.1493106654142079,0.11671048685700412,0.7339788477287873
KIC9787965,0.18922156193749845,0.17485083443227506,0.6359276036302259
EPIC206201061,0.23923044137102192,0.18707050695533467,0.5736990516736431
KIC8760414,0.04579107678887807,0.03599210935092626,0.9182168138601955
KIC9641031_B,0.022086544420793757,0.02117977926480453,0.9567336763144021
ASAS_J231922-0852.2_A,0.17363195266524165,0.10664497340315368,0.7197230739316038
EPIC201820830,0.29967245753064986,0.2225736403296462,0.47775390213970226
KIC11467550,0.23399224540779828,0.17687238119390827,0.589135373398293
KIC7700968,0.1050986013914617,0.0746268612695262,0.8202745373390116
KIC3854781,0.04290795370947106,0.1870523295123203,0.7700397167782057
TIC17303250_A,0.030681081858744286,0.06272277091025504,0.9065961472310031
KIC8360349,0.0844808652180512,0.1355256916118726,0.7799934431700741
V818_Tau_B,0.004239878592975655,0.01985589436382727,0.9759042270431966
KIC5359678_A,0.3356503166727962,0.24815671262051905,0.4161929707066843
EF_Aqr A,0.22794792916557927,0.28049003377486026,0.49156203705955903
KIC10610027,0.33893510712483294,0.2571249185334816,0.4039399743416829
KIC7133688,0.20538980242369506,0.21138097155120378,0.5832292260250994
BN_Scl_A,0.22907919270396288,0.1411564762761111,0.6297643310199282
KIC5214711,0.23112283579475995,0.21169939180785963,0.5571777723973828
KIC7622208,0.22939865734828685,0.19226764670373767,0.578333695947977
KIC5683538,0.06071285013076714,0.03516741257839766,0.9041197372908364
KIC8802782,0.05721389818133153,0.15278886986925333,0.7899972319494158
HW_CMa B,0.1316791726981528,0.28163957718059535,0.5866812501212515
KIC9468847,0.21897569137237144,0.1799947258453561,0.6010295827822714
BN_Scl_B,0.24851854359829134,0.1732723916962979,0.5782090647054116
EPIC204356572,0.3358365690438812,0.2915168182715486,0.37264661268456933
KIC6363365,0.18249276845383205,0.10701159971258999,0.7104956318335776
