ID,BART_weight,HBNN_weight,GP_weight
KIC3432992,0.006820575034352027,0.41185322945007474,0.5813261955155739
KIC1864183,0.004102194454277953,0.3804832382506739,0.6154145672950485
EPIC210683150,0.00010899682248486992,0.013526369751865167,0.9863646334256483
KIC9589060,9.577776073480883e-06,0.226008631550584,0.7739817906733409
KIC7616655,0.008537515451189765,0.5682640930660218,0.42319839148278743
EPIC247047052,0.0013486324231430514,0.2328929600587418,0.7657584075181155
KIC9968249,0.00330828956753616,0.315774965180517,0.6809167452519447
KIC6612480,0.0026294796513326316,0.5639630967230693,0.43340742362559986
EPIC248568868,5.726446184726981e-05,0.37610211098485175,0.6238406245533012
EPIC246377577,0.00027264763911557025,0.17397327608561342,0.8257540762752695
EPIC210984048,0.00017622680780914014,0.17142658804760244,0.828397185144586
KIC8558329,0.00044490167729088076,0.327486676742423,0.6720684215802839
KIC6803104,4.984391727437363e-09,0.1536317654359172,0.8463682295796897
KIC9026209,1.809849681597788e-08,0.1433965882109688,0.8566033936905345
EPIC210435152,8.060966934442463e-06,0.09824225253538196,0.9017496864976838
KIC5856737,0.0002733639850592199,0.03585823700469951,0.9638683990102415
EPIC212134953,0.0262438467074707,0.39983383340575757,0.5739223198867724
KIC9116434,3.0140231562276725e-05,0.053375427891381874,0.9465944318770559
KIC9880457,0.013338960366978878,0.3925286985697189,0.5941323410633036
KIC8328668,0.004137477076831353,0.26237956978375676,0.7334829531394114
EPIC210474556,0.0003524390587367099,0.4511931089226801,0.548454452018585
EPIC211888522,0.003175524934394195,0.2496988790297122,0.7471255960358946
KIC11407805,2.1193371517910764e-05,0.02493852262101715,0.975040284007463
EPIC204198376,5.854148885546358e-05,0.2974338354652669,0.7025076230458757
EPIC211439170,0.004861027661949645,0.15258548096955904,0.8425534913684902
EPIC212593364,0.0006125702217746671,0.027823648482959328,0.971563781295266
EPIC212028009,0.00309165044223491,0.06737998685378048,0.9295283627039849
KIC7667757,0.00306447138263002,0.45985101463583017,0.5370845139815406
KIC9692954,0.0003098912561712901,0.26451160038249094,0.7351785083613368
KIC4671204,2.667768148803746e-05,0.3329374480947931,0.6670358742237187
KIC7587773,0.0039006324938934437,0.22625178242958421,0.7698475850765223
EPIC213460379,0.001328885932952253,0.09291814660665854,0.9057529674603879
KIC8738333,0.010649934306931749,0.3991695655108271,0.5901805001822388
EPIC211974234,0.013030756148379332,0.34141629787112643,0.6455529459804937
EPIC210446038,1.701984981489014e-05,0.02646662172584811,0.9735163584243386
EPIC210746719,0.0003050798748227295,0.039077927118551146,0.9606169930066265
KIC7429237,3.46343395564048e-11,0.4512146672468911,0.548785332718474
EPIC206156731,0.02371082969361573,0.5254363603027654,0.4508528100036197
KIC7430868,0.01724758340254368,0.4839857605621896,0.49876665603526654
EPIC212461950,0.008485724923355215,0.45720117862329396,0.534313096453351
KIC6212708,0.0006290927160968037,0.4830504687834552,0.5163204385004471
KIC11554144,0.0028133207402618932,0.5300163487833724,0.46717033047636375
KIC7732255,0.043483365416209695,0.4308552015974292,0.5256614329863617
EPIC210410854,1.2553016165495554e-05,0.27843827805323,0.7215491689306048
KIC9995162,0.008120036433454868,0.3835369288888343,0.6083430346777099
KIC11667420,0.00021599595961281856,0.3355740446230666,0.6642099594173194
KIC8683589,8.068122054797114e-08,0.6504756992861785,0.34952422003260064
KIC5176709,0.009621322004405821,0.29213143012900067,0.6982472478665931
KIC11759700,0.0020130252248317044,0.27649314989742707,0.7214938248777409
EPIC246405331,0.00137850592282798,0.15809783198912572,0.8405236620880455
EPIC220631425,0.00010591358673083247,0.20686640423883887,0.7930276821744305
EPIC212627232,0.00021450060587928916,0.04316550804423278,0.9566199913498883
KIC8524315,0.007423980178277868,0.17270067949039183,0.8198753403313307
EPIC211413430,0.001100877069429468,0.4155994719209023,0.5832996510096684
EPIC210658376,0.0010345392914974628,0.11659421401414836,0.8823712466943543
EPIC246234071,0.002482443506941089,0.29137195554447726,0.7061456009485807
KIC12251438,1.7491509366481604e-07,0.7616371286008085,0.23836269648409936
KIC8350645,0.011579731172434618,0.36528529552225736,0.6231349733053088
EPIC210749402,0.000408121685233233,0.028823472548097515,0.9707684057666673
EPIC220447896,0.027354674340383228,0.12622981496828298,0.8464155106913357
KIC3861797,0.00014289857211797417,0.11196938363539928,0.8878877177924829
EPIC210700361,0.001973532142398064,0.11431025373710957,0.8837162141204915
EPIC211658621,0.009062224129155494,0.31883345194323714,0.6721043239276062
KIC9899421,0.00017740495769430194,0.3924875361968501,0.6073350588454571
KIC5525400,0.005613366851077111,0.4032398636789558,0.591146769469968
KIC5610212,0.005998553719281662,0.1838733155904158,0.8101281306903048
KIC6425089,0.000183540229864847,0.22519270207034822,0.7746237576997888
KIC9887609,0.000631971405796353,0.15348335691255624,0.8458846716816489
KIC6879252,0.0028527940009928777,0.45880845415816013,0.5383387518408467
KIC11033569,4.520757796562416e-05,0.07488205736616048,0.9250727350558736
KIC7040879,0.005347676867903102,0.5332793277931054,0.461372995338992
KIC8082339,0.0001387088775929901,0.5882708243777764,0.4115904667446299
KIC9692529,0.0031637231955148103,0.27215353721826147,0.7246827395862222
KIC11810190,7.627097385749807e-05,0.42495440284429914,0.574969326181843
EPIC212166707,0.12812853574619645,0.37586980678601334,0.49600165746778996
KIC7543672,9.456089695417741e-05,0.2549322487273843,0.7449731903756629
KIC3103827,0.0043088606896018716,0.6993137295897888,0.2963774097206124
KIC5350351,0.00022441218475108773,0.16916480492230726,0.8306107828929421
KIC9350031,0.005424931997789582,0.6257516062382984,0.3688234617639141
EPIC210837904,0.002229942737211332,0.4533857451519036,0.5443843121108869
KIC6939158,0.00011758679674800504,0.30802342056796017,0.6918589926352893
KIC11415061,4.299871405616766e-07,0.20981362894368352,0.7901859410691794
EPIC212469827,7.566100997146863e-05,0.16291974945962448,0.8370045895304035
KIC7871690,0.006407894141747168,0.37398541755355946,0.6196066883046928
KIC2972876,0.0004538933920454397,0.3030024214425747,0.6965436851653797
KIC8690175,7.429346203103383e-08,0.22080232712392656,0.7791975985826115
KIC2018392,0.0038056776652819597,0.37520776744397993,0.6209865548907374
KIC6304664,1.36177472468056e-05,0.455429494027167,0.5445568882255865
KIC4066278,0.00048706657161690016,0.13421009990231156,0.8653028335260725
KIC6698720,0.0007788688070554235,0.36925734209471683,0.6299637890982294
EPIC206194285,0.0004179567428998128,0.3631103382891081,0.6364717049679914
EPIC205958354,0.00046170657229136056,0.1325426901542199,0.8669956032734893
EPIC220176759,0.00046086780847210134,0.472640169665438,0.5268989625260899
KIC7270385,0.00010995078601968203,0.2629202396025305,0.7369698096114481
EPIC246218278,0.0015036574233838747,0.5704188461116291,0.4280774964649861
KIC4738308,0.020467882891927882,0.3822787604400411,0.5972533566680307
KIC5514024,2.5140226427071384e-05,0.06284000382156893,0.9371348559520022
KIC10937071,3.69190630142329e-05,0.02321535676930111,0.9767477241676862
KIC5623794,1.8813077720888522e-07,0.30447160259398215,0.6955282092752421
KIC8557457,1.6001642044808688e-05,0.6378792436352341,0.36210475472272013
KIC6590195,0.0003665776868808065,0.0840934698390495,0.9155399524740686
KIC5284948,0.00020695299609082844,0.06824258616273537,0.9315504608411744
KIC10407047,0.0004054777683007246,0.09434898009099967,0.9052455421406985
KIC7810708,1.4987616764762683e-05,0.19245063530458786,0.8075343770786481
EPIC248554817,4.0554717034333725e-06,0.044794059161653764,0.9552018853666429
EPIC210850780,0.00016326822731395373,0.0947492961906128,0.905087435582071
KIC4348513,9.300656646424882e-05,0.39578280446117525,0.6041241889723602
