ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logTeff	elogTeff1	elogTeff2
KIC10202294	1.18	0.21	0.11	1.88	0.08	0.07	5803.0	66.0	66.0	0.36	0.1	0.1	NA	NA	NA	NA	3.961	0.026	0.015	NA	4.243	0.366465826	0.366465826	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.6276730317666159	0.03597756775270222	0.039229414874940916	3.7636525705645303	0.004911538949043059	0.004967720682089283
KIC10290021	1.37	0.13	0.11	2.05	0.06	0.07	6215.0	56.0	56.0	0.06	0.15	0.1	NA	NA	NA	NA	3.955	0.014	0.015	NA	6.234	0.534000492	0.534000492	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7947667979408211	0.03569358366119768	0.0388919797548023	3.7934411329776636	0.00389566779768602	0.003930928887409202
KIC10858780	0.92	0.14	0.11	1.43	0.1	0.08	5672.0	60.0	60.0	-0.16	0.15	0.1	NA	NA	NA	NA	4.086	0.023	0.023	NA	2.386	0.210801879	0.210801879	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.3776704393343231	0.03676837739576805	0.04017161991104151	3.75373622217501	0.0045699595502970425	0.00461855981868764
KIC11075456	1.29	0.11	0.17	1.48	0.05	0.07	6513.0	58.0	58.0	-0.2	0.3	0.2	NA	NA	NA	NA	4.207	0.018	0.02	NA	3.247	0.263707259	0.263707259	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5114822886260014	0.03391232862020965	0.03678641724080517	3.8137810781740824	0.0038503890164327537	0.0038848315716433213
KIC11098033	1.38	0.21	0.14	2.26	0.12	0.09	6358.0	66.0	66.0	-0.14	0.2	0.15	NA	NA	NA	NA	3.877	0.024	0.027	NA	6.502	0.578005387	0.578005387	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8130469651601079	0.03698662297365607	0.04043231023758087	3.803320523578754	0.004485008691870629	0.004531809627504657
KIC11133100	1.4	0.25	0.17	2.37	0.14	0.13	6222.0	51.0	51.0	0.0	0.15	0.15	NA	NA	NA	NA	3.849	0.025	0.027	NA	15.06	1.32370116	1.32370116	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	1.1778249718646818	0.036587045937731766	0.03995524131700545	3.7939300067726847	0.003545280764649661	0.003574460358298115
KIC11189107	1.52	0.18	0.15	2.26	0.13	0.1	6795.0	94.0	94.0	-0.1	0.15	0.1	NA	NA	NA	NA	3.909	0.027	0.026	NA	10.05	0.864098657	0.864098657	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	1.0021660617565078	0.03582181347374647	0.0390442849921282	3.832189461068513	0.0059667236836347115	0.006049843132598376
KIC11229052	1.27	0.12	0.15	1.48	0.05	0.07	6495.0	51.0	51.0	-0.02	0.15	0.15	NA	NA	NA	NA	4.198	0.015	0.017	NA	3.473	0.296828764	0.296828764	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5407047833107623	0.03561684049215219	0.038800874931897655	3.812579155409047	0.003396845562938733	0.0034236236618663263
KIC11453915	1.25	0.06	0.09	1.22	0.03	0.03	6608.0	58.0	58.0	-0.12	0.15	0.15	NA	NA	NA	NA	4.359	0.011	0.013	NA	2.146	0.178748413	0.178748413	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.33162971762993226	0.034746242280822404	0.037769813298373145	3.8200700343123257	0.0037952750121856837	0.0038287343205425373
KIC11456910	1.3	0.11	0.17	1.71	0.07	0.08	6386.0	61.0	61.0	-0.26	0.15	0.15	NA	NA	NA	NA	4.082	0.019	0.02	NA	3.678	0.320896125	0.320896125	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5656117249020587	0.03632839817989508	0.03964694557201731	3.805228914203426	0.004128756007679701	0.004168384355570431
KIC11502597	1.08	0.19	0.11	1.61	0.11	0.07	5798.0	59.0	59.0	-0.1	0.15	0.1	NA	NA	NA	NA	4.061	0.012	0.012	NA	2.332	0.208250395	0.208250395	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.36772854608697647	0.037147981480623204	0.040625234985076975	3.763278211018979	0.004397013008980988	0.004441986272020415
