ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2
KIC9778067	1.189	0.065946948	0.067475922	1.998	0.065368188	0.064498062	6433.0	90.0	90.0	-0.529	0.102	0.102	NA	NA	NA	NA	3.911	0.018248288	0.019235384	NA	5.769	0.486377409	0.486377409	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1	0.7611005389581423	0.035152978380886823	0.03825095467684614
KIC9787965	1.31	0.084599054	0.083528438	2.062	0.0846286	0.078243211	6200.0	65.0	65.0	0.001	0.1	0.1	NA	NA	NA	NA	3.926	0.019104973	0.020099751	NA	7.654	0.783754292	0.783754292	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1	0.8838884578884805	0.04233841665557547	0.04691618840966494
KIC9791157	1.186	0.049244289	0.05758472	1.952	0.037696154	0.039560081	5852.0	63.0	63.0	-0.047	0.1	0.1	NA	NA	NA	NA	3.929	0.011661904	0.011661904	NA	4.555	0.407819357	0.407819357	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1	0.658488381309017	0.03724008617404495	0.04073542852289713
KIC9821513	1.291	0.068622154	0.096041658	1.775	0.056035703	0.059363288	6550.0	65.0	65.0	-0.307	0.101	0.101	NA	NA	NA	NA	4.048	0.014142136	0.013152946	NA	5.837	0.488221059	0.488221059	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1	0.76618969331016	0.03488601488176357	0.03793504394528513
KIC9880787	1.168	0.053712196	0.055470713	2.014	0.038910153	0.039812058	6074.0	56.0	56.0	-0.314	0.102	0.102	NA	NA	NA	NA	3.896	0.01029563	0.01029563	NA	5.216	0.446910122	0.446910122	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1	0.7173375827238638	0.03570208611982939	0.03890207552345648
KIC9962623	0.987	0.08475848	0.076321688	1.395	0.042154478	0.040311289	5913.0	166.0	166.0	-0.207	0.101	0.101	NA	NA	NA	NA	4.143	0.016155494	0.015231546	NA	2.079	0.180289342	0.180289342	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1	0.3178544893314692	0.03611736424810985	0.0393957011126449
KIC10514430	1.059	0.04	0.021	1.59	0.015	0.018	5784.0	98.0	98.0	-0.114	0.072111026	0.072111026	NA	NA	NA	NA	4.061	0.004	0.004	NA	2.634	0.151	0.124	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.420615770625765	0.024209428883982642	0.020942049144726915
KIC10586004	1.178	0.021	0.03	1.653	0.009	0.012	5770.0	83.0	83.0	0.256	0.072111026	0.072111026	NA	NA	NA	NA	4.071	0.005	0.005	NA	2.749	0.151	0.155	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.4391747398434685	0.023223258055487583	0.02520476809540717
KIC10666592	1.497	0.042	0.04	1.986	0.018	0.015	6350.0	80.0	80.0	0.203	0.072111026	0.072111026	NA	NA	NA	NA	4.017	0.007	0.009	NA	5.754	0.304	0.322	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.7599698575543072	0.02235941144252973	0.025010096281862015
KIC11133306	1.059	0.04	0.03	1.189	0.012	0.012	5982.0	82.0	82.0	-0.025	0.072111026	0.072111026	NA	NA	NA	NA	4.314	0.004	0.007	NA	1.628	0.092	0.079	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.2116544005531824	0.02387404635436649	0.021602982793976433
