Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
60	EF_Aqr A	1.244	0.008	0.008	1.338	0.012	0.012	6150	65	65	2.301	0.108	0.108	0.0	0.1	0.1	4.28	0.007	0.007	NA	NA	NA	3.7627912	MS	F	NA	eker14	0.643086816720257	0.896860986547085	1.05691056910569	4.69361147327249	EB	3.788875115775417	0.004566017202246808	0.004614533209332805	0.36191661866864344	0.01992018132969997	0.020877986991120534
61	EF_Aqr B	0.946	0.006	0.006	0.956	0.012	0.012	5185	110	110	0.593	0.057	0.057	0.0	0.1	0.1	4.453	0.011	0.011	NA	NA	NA	4.3953487	MS	K	NA	eker14	0.634249471458774	1.25523012552301	2.12150433944069	9.61214165261383	EB	3.7147487607250596	0.009117203718444156	0.009312714139809053	-0.22694530663573742	0.039858663278593	0.04388990367149265
66	EK_Cep A	2.024	0.02	0.02	1.579	0.015	0.015	9000	200	200	14.689	1.454	1.454	0.07	0.05	0.05	4.35	0.015	0.015	NA	NA	NA	1.8946162	MS	A	NA	eker14	0.988142292490119	0.949968334388854	2.22222222222222	9.8985635509565	EB	3.9542425094393248	0.009545317906230366	0.009759837289156081	1.1669922308301102	0.04099201593604618	0.04526828519274306
67	EK_Cep B	1.122	0.01	0.01	1.315	0.015	0.015	5700	190	190	1.641	0.256	0.256	0.07	0.05	0.05	4.251	0.015	0.015	NA	NA	NA	4.0577662	MS	G	NA	eker14	0.89126559714795	1.14068441064639	3.33333333333333	15.6002437538087	EB	3.7558748556724915	0.014240439114610037	0.01472325682070652	0.21510858105309322	0.06295874983556937	0.07365880765262586
70	EW_Ori A	1.173	0.011	0.011	1.169	0.005	0.005	6070	95	95	1.667	0.111	0.111	0.05	0.09	0.09	4.372	0.005	0.005	NA	NA	NA	3.8152312	MS	F	NA	eker14	0.937766410912191	0.427715996578272	1.56507413509061	6.65866826634673	EB	3.7831886910752575	0.0067443898564931715	0.006850781455082	0.22193559982800534	0.027996156806189554	0.02992600717433519
71	EW_Ori B	1.123	0.009	0.009	1.098	0.005	0.005	5900	95	95	1.312	0.091	0.091	0.05	0.09	0.09	4.408	0.005	0.005	NA	NA	NA	3.9266662	MS	G	NA	eker14	0.801424755120214	0.455373406193078	1.61016949152542	6.9359756097561	EB	3.7708520116421442	0.006937175792723238	0.00704978756755148	0.11793383503964149	0.02912383598871844	0.03121817109475898
85	GX_Gem A	1.488	0.011	0.011	2.334	0.012	0.012	6194	100	100	7.194	0.497	0.497	-0.12	0.1	0.1	3.887	0.004	0.004	NA	NA	NA	3.7339492	MS	F	NA	eker14	0.739247311827957	0.51413881748072	1.61446561188247	6.90853489018627	EB	3.791971201020768	0.006955537556433633	0.007068751134112983	0.8569704334824924	0.029012377872480677	0.03109013454631282
86	GX_Gem B	1.467	0.01	0.01	2.244	0.012	0.012	6166	100	100	6.531	0.467	0.467	-0.12	0.1	0.1	3.904	0.005	0.005	NA	NA	NA	3.7523032	MS	F	NA	eker14	0.681663258350375	0.53475935828877	1.62179695102173	7.15051293829429	EB	3.7900035203904894	0.006986870155197167	0.0071011144158448225	0.8149796837607568	0.029994254386130792	0.03222049113675962
93	HS_Aur A	0.898	0.019	0.019	1.005	0.023	0.023	5350	70	70	0.743	0.055	0.055	-0.01	0.01	0.01	4.39	0.02	0.02	NA	NA	NA	4.2871912	MS	G	NA	eker14	2.11581291759465	2.28855721393035	1.30841121495327	7.40242261103634	EB	3.7283537820212285	0.005645504517158617	0.005719859487416379	-0.1290111862394247	0.03101407759015415	0.03340037552506403
94	HS_Aur B	0.877	0.017	0.017	0.874	0.03	0.03	5200	72	72	0.501	0.048	0.048	-0.01	0.01	0.01	4.5	0.03	0.03	NA	NA	NA	4.3855162	MS	G	NA	eker14	1.93842645381984	3.4324942791762	1.38461538461538	9.58083832335329	EB	3.716003343634799	0.005972057951154408	0.006055327124038001	-0.30016227413275426	0.039734618582846215	0.043739523854413875
