Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
381	KIC10731424	1.437	0.0823286098510111	0.0763806258157132	2.55	0.0974935895328508	0.0878179936004006	6432	65	65	10.5	0.942460199831208	0.942460199831208	-0.129	0.101	0.101	3.782	0.0182482875908947	0.0192353840616713	0.08646	0.006158342715374	0.0060087898948124	3.5779402	MS	F	NA	serenelli17	5.5222420204149	3.63356045359317	1.01057213930348	8.97581142696389	A	3.808346035740395	0.004366831024973816	0.004411185876552981	1.021189299069938	0.03733011143086329	0.04084318385596408
382	KIC10732098	1.121	0.0559464029227975	0.0603738353924943	1.778	0.0518941229813165	0.0509901951359278	5796	67	67	3.341	0.281171050181982	0.281171050181982	-0.01	0.1	0.1	3.987	0.014560219778561	0.01552417469626	0.199	0.0108820487041733	0.0107871675615057	3.9948382	MS	G	NA	serenelli17	5.18823542887118	2.8932597895738	1.1559696342305	8.41577522244784	A	3.763128376799137	0.004991517385660504	0.00504955454952416	0.5238764756381313	0.035092479560262846	0.03817932635475141
383	KIC10794845	1.142	0.054644304369257	0.0554707129934347	1.143	0.0480520551069359	0.0441474801092882	6398	55	55	1.717	0.140750470612926	0.140750470612926	-0.195	0.1	0.1	4.378	0.0294278779391243	0.0323882694814033	0.7723	0.0511312213818524	0.0503896705684806	3.6002272	MS	F	NA	serenelli17	4.82114787052065	4.03322551252074	0.859643638637074	8.19746479982096	A	3.806044235748088	0.003717429359036739	0.003749524350624256	0.23477029516091652	0.034217084833883915	0.03714532524488706
384	KIC10858780	0.92	0.14	0.11	1.43	0.1	0.08	5672	60	60	2.386	0.210801878607723	0.210801878607723	-0.16	0.15	0.1	4.086	0.023	0.023	0.3093	0.026	0.0256	4.0761202	MS	G	NA	C14sdss	13.5869565217391	6.29370629370629	1.05782792665726	8.83494881004706	A	3.75373622217501	0.0045699595502970425	0.00461855981868764	0.3776704393343231	0.03676837733016286	0.040171619832720495
386	KIC10873176	1.109	0.0540832691319598	0.0508035431835221	2.021	0.0393573373083089	0.0384707681233427	6517	89	89	6.273	0.535099039682648	0.535099039682648	-0.837	0.104	0.104	3.871	0.0125299640861417	0.0125299640861417	0.1342	0.0048013357516424	0.0046236480186104	3.5222227	MS	F	NA	serenelli17	4.72889144794779	1.92548504284145	1.36565904557312	8.53019352275862	A	3.8140477209955996	0.005890848359795697	0.005971852904292696	0.7974752875373343	0.03555057741152445	0.038722239751243115
388	KIC10909629	1.302	0.116284134773408	0.105342299196477	2.112	0.0651920240520265	0.0581893461039046	6501	61	61	7.422	0.607339207044955	0.607339207044955	-0.297	0.101	0.101	3.903	0.0134536240470737	0.0116619037896906	0.1378	0.0018365600997517	0.001801517415958	3.5327107	MS	F	NA	serenelli17	8.51099976842873	2.9209604677067	0.938317181972004	8.1829588661406	A	3.8129801660394804	0.004056060010548368	0.004094298679668373	0.8705209500127643	0.034158855472327554	0.037076706777388946
389	KIC10923629	1.688	0.0787718223732319	0.213459598050779	2.578	0.0431856457633784	0.0992975326984513	6195	87	87	9.692	0.806334524261021	0.806334524261021	0.157	0.1	0.1	3.84	0.0098994949366116	0.0211896201004171	0.09807	0.0016765157321063	0.0016757469976103	3.7332937	MS	F	NA	serenelli17	8.65614396990553	2.76344411291369	1.4043583535109	8.3195885705842	A	3.792041310712082	0.006056621350404079	0.006142282327698645	0.9864134054654686	0.034707001766989376	0.037723446411545236
390	KIC10937782	1.36	0.33	0.15	4.07	0.45	0.21	5199	68	68	9.793	0.933244397420951	0.933244397420951	-0.3	0.15	0.1	3.355	0.009	0.009	0.0202	0.0011	0.0017	4.3861717	PMS	K	NA	C14sdss	17.6470588235294	8.10810810810811	1.30794383535295	9.52970894946341	A	3.7159198174335795	0.005643500923901534	0.0057178027781947804	0.9909157545060844	0.03953193363113605	0.043494012519174285
391	KIC10959362	1.406	0.0908019823572151	0.09037698822156	2.307	0.0782368199762746	0.0734098086089318	5806	94	94	6.758	0.610995345083011	0.610995345083011	0.419	0.102	0.102	3.859	0.0183847763108502	0.0183847763108502	0.1142	0.0071122947070548	0.0069591827824824	3.9882832	PMS	G	NA	serenelli17	6.44306438758091	3.28666295156494	1.61901481226318	9.04106755079922	A	3.763877031495655	0.00697498014648934	0.007088832727537131	0.8298181874388775	0.03759009474473607	0.041154645441495497
392	KIC10963065	1.131	0.044407206622349	0.044407206622349	1.242	0.0170293863659264	0.0178044938147649	6316	45	45	1.87	0.154763396060113	0.154763396060113	-0.146	0.0721110255092798	0.0721110255092798	4.303	0.0064031242374328	0.0072111025509279	0.5889	0.0047338001647724	0.0043423119418116	3.6539782	MS	F	p	serenelli17	3.92636663327578	1.40233011999562	0.71247625079164	8.27611743636969	A	3.8004421213362565	0.0030832742402759905	0.0031053205609068435	0.27184160653649897	0.0345326744517071	0.037517570380466964
393	KIC10971974	1.057	0.0595399025864168	0.0586685605754905	1.19	0.0338378486313773	0.0328937684067971	6030	58	58	1.647	0.136094550586722	0.136094550586722	-0.077	0.102	0.102	4.311	0.0186815416922694	0.0186815416922694	0.6314	0.0379219561863573	0.0378822961421295	3.8414512	MS	F	NA	serenelli17	5.59169645988209	2.80384945538548	0.961857379767828	8.26317854199892	A	3.780317312140151	0.004157331622365312	0.004197513087163429	0.21669359916975436	0.03448077356777321	0.037456311589747326
394	KIC10972252	1.338	0.0650691939399898	0.0637024332345319	2.285	0.0536003731330296	0.0520096144957834	6237	60	60	8.655	0.740800397459084	0.740800397459084	-0.136	0.101	0.101	3.845	0.0125299640861417	0.0125299640861417	0.1118	0.0042264926357442	0.0042420381893613	3.7057627	MS	F	NA	serenelli17	4.81209369112562	2.31094064833289	0.962000962000962	8.55921891922686	A	3.794975744051132	0.004157949250930937	0.004198142713438102	0.9372670722114126	0.03566670992535392	0.03886007288376214
395	KIC10972873	1.177	0.0487647413609464	0.0550363516232681	1.861	0.0340587727318528	0.0374833296279826	5928	64	64	3.488	0.305307643040754	0.305307643040754	-0.057	0.101	0.101	3.968	0.0078102496759066	0.0086023252670426	0.1827	0.0035540766508335	0.0035898324473434	3.9083122	MS	G	NA	serenelli17	4.40956214886213	1.92214138527231	1.07962213225371	8.75308609635188	A	3.7729081949712717	0.00466360972013824	0.004714233338200202	0.5425764762605296	0.0364415898160958	0.039781815060868086
397	KIC10990438	1.63	0.22	0.28	4.13	0.23	0.31	5226	75	75	11.46	1.11774022590193	1.11774022590193	0.0	0.1	0.2	3.415	0.014	0.015	0.0231	0.0012	0.0011	4.3684732	PMS	G	NA	C14sdss	15.3374233128834	6.53753026634383	1.43513203214696	9.7534051125823	A	3.718169405391307	0.0061883988351199015	0.006277855510727903	1.0591846176313713	0.04041800316166877	0.044569175566384844
398	KIC11021413	1.116	0.0657875368135941	0.0610982814815605	2.085	0.0597745765355138	0.0569209978830308	5452	72	72	3.452	0.319786061614578	0.319786061614578	-0.078	0.1	0.1	3.846	0.0101980390271856	0.0101980390271856	0.1229	0.0049495626069381	0.0049140428366061	4.2203302	PMS	G	NA	serenelli17	5.68484848992628	2.79845502202745	1.32061628760088	9.2637908926587	A	3.736555847162636	0.00569782274395747	0.005773571496246799	0.538070787043172	0.038476264229109436	0.04221936919778063
399	KIC11026764	1.196	0.0432666153055679	0.054561891462815	2.058	0.0333016516106934	0.0388329756778952	5722	57	57	3.431	0.329481915294296	0.329481915294296	-0.108	0.101	0.101	3.888	0.0067082039324993	0.0067082039324993	0.1373	0.0027787804879119	0.0027547693188359	4.0433452	PMS	G	NA	serenelli17	4.08982051707286	1.75254196522324	0.996155190492835	9.60308700945193	A	3.757547853469244	0.0043048409971393475	0.004347939269827794	0.5354207180561734	0.03982278637727499	0.04384640021116243
400	KIC11027406	1.066	0.064621977685614	0.0609261848469113	1.357	0.0299666481275434	0.0290688837074973	6250	94	94	2.054	0.177470421702783	0.177470421702783	-0.279	0.099	0.099	4.2	0.0120830459735946	0.0111803398874989	0.4262	0.0102866772575016	0.0099440064863213	3.6972412	MS	F	NA	serenelli17	5.88875058782952	2.17522224889612	1.504	8.64023474697095	A	3.7958800173440754	0.00648315696547197	0.006581406184634542	0.31260043926125936	0.035990695349570556	0.03924502500721466
401	KIC11074380	1.381	0.136191042289866	0.152052622469986	2.778	0.12747548783982	0.141852035586381	5154	87	87	5.285	0.458168209862901	0.458168209862901	0.082	0.1	0.1	3.689	0.0133416640641263	0.0143178210632764	0.06425	0.0037255195610813	0.0035248019802536	4.4156692	PMS	K	NA	serenelli17	10.4360486879019	4.84750762106193	1.68800931315483	8.66921872966699	A	3.712144414214886	0.007269745487707535	0.007393509924214836	0.723044991643445	0.03610654473966146	0.0393828272536213
402	KIC11075448	1.326	0.0594138031100518	0.0572800139664787	1.564	0.0474341649025257	0.0455411901469428	6470	68	68	4.039	0.310442640064444	0.310442640064444	0.029	0.1	0.1	4.171	0.0196468827043885	0.0206155281280883	0.3469	0.0350600427980343	0.0106493709203877	3.5530312	MS	F	NA	serenelli17	4.40021934677717	2.97235789800091	1.05100463678516	7.68612627047399	A	3.8109042806687006	0.004540635575649432	0.004588610860587039	0.6062738531699883	0.032159754623020564	0.034733024527848544
403	KIC11075456	1.29	0.11	0.17	1.48	0.05	0.07	6513	58	58	3.247	0.263707259100837	0.263707259100837	-0.2	0.3	0.2	4.207	0.018	0.02	0.3983	0.0179	0.0172	3.5248447	MS	F	NA	C14sdss	10.8527131782946	4.05405405405405	0.890526639029633	8.12156634126384	A	3.8137810781740824	0.0038503890164327537	0.0038848315716433213	0.5114822886260014	0.033912328632683675	0.03678641725548454
404	KIC11081729	1.298	0.0587281874401041	0.0536003731330296	1.411	0.0264007575648882	0.0241867732448957	6605	51	51	2.588	0.13797264550973	0.13797264550973	-0.139	0.099	0.099	4.251	0.0072111025509279	0.0064031242374328	0.4618	0.0071613228526578	0.0071914800284781	3.4645387	MS	F	NA	serenelli17	4.32698615458912	1.79261271473366	0.772142316426949	5.3312459625089	A	3.819872821950546	0.0033404913321213314	0.003366384904189168	0.4129642719966628	0.02255722148152778	0.023793338718718138
405	KIC11082784	1.151	0.0577754273026172	0.0577754273026172	2.042	0.0569209978830308	0.0559732078766261	5923	62	62	4.841	0.419267125038331	0.419267125038331	-0.259	0.101	0.101	3.877	0.0133416640641263	0.0143178210632764	0.1347	0.0068980961141462	0.0068101580745236	3.9115897	PMS	G	NA	serenelli17	5.01958534340722	2.76430474435987	1.04676684112781	8.66075449366517	A	3.7725417326409434	0.004522422101485901	0.004570011259324325	0.6849350826408896	0.03607271626274722	0.03934258013638359
406	KIC11083308	1.305	0.0824621125123532	0.0765506368360186	2.084	0.0827345151674922	0.0765375724726098	6234	65	65	6.828	0.577672495564469	0.577672495564469	-0.042	0.1	0.1	3.915	0.022561028345357	0.022561028345357	0.1439	0.011615083340209	0.0111598280004667	3.7077292	MS	F	NA	serenelli17	6.09244250376903	3.82130728503124	1.04266923323709	8.46034703521484	A	3.794766797940821	0.004504810409051707	0.0045520276968415985	0.834293512442696	0.0352709896922605	0.038390738355786325
407	KIC11098033	1.38	0.21	0.14	2.26	0.12	0.09	6358	66	66	6.502	0.578005386824734	0.578005386824734	-0.14	0.2	0.15	3.877	0.024	0.027	0.1212	0.0087	0.0082	3.6264472	MS	F	NA	C14sdss	12.6811594202899	4.64601769911504	1.03806228373702	8.88965528798423	A	3.803320523578754	0.004485008691870629	0.004531809627504657	0.8130469651601079	0.036986622962905	0.04043231022473193
408	KIC11127479	1.162	0.0572450871254468	0.0608358446970205	1.372	0.0237065391822594	0.0245967477524977	5998	57	57	2.257	0.193984783998536	0.193984783998536	0.2	0.0721110255092798	0.0721110255092798	4.228	0.01	0.010816653826392	0.449	0.0087588538633773	0.0085472053912375	3.8624272	MS	G	p	serenelli17	5.08093510423698	1.76032386788473	0.950316772257419	8.59480655731216	A	3.7780064614235083	0.004107686055562887	0.0041469090468213565	0.35353155907776207	0.035809056031523234	0.03902912790485158
409	KIC11133100	1.4	0.25	0.17	2.37	0.14	0.13	6222	51	51	15.06	1.3237011601931	1.3237011601931	0.0	0.15	0.15	3.849	0.025	0.027	0.1091	0.0088	0.0083	3.7155952	MS	F	NA	C14sdss	15.0	5.69620253164557	0.819672131147541	8.78951633594357	A	3.7939300067726847	0.003545280764649661	0.003574460358298115	1.1778249718646818	0.03658704594285056	0.03995524132311057
410	KIC11133306	1.059	0.04	0.03	1.189	0.012	0.012	5982	82	82	1.628	0.092	0.079	-0.025	0.0721110255092798	0.0721110255092798	4.314	0.004	0.007	0.632767559122221	0.0056814146722533	0.006391591506285	3.8729152	MS	G	p	silva15	3.30500472143532	1.00925147182506	1.3707790036777	5.25184275184275	A	3.7768464086952993	0.005912783928697873	0.005994397053155076	0.2116544005531824	0.02387404635436649	0.021602982793976433
411	KIC11137075	0.989	0.0520096144957834	0.0512249938994628	1.633	0.0367695526217005	0.0367695526217005	5604	73	73	2.577	0.227394417033251	0.227394417033251	-0.18	0.1	0.1	4.007	0.0067082039324993	0.0067082039324993	0.2275	0.0051550216294405	0.0051949055814326	4.1206942	PMS	G	NA	serenelli17	5.21914097043712	2.25165662104718	1.30264097073519	8.82399755658716	A	3.748498126613737	0.005620767611675959	0.005694468144571196	0.41111441855090475	0.036724675299706744	0.04011945309507686
412	KIC11138101	1.305	0.0629364759102383	0.0622253967444162	2.332	0.081344944526381	0.076694197955256	6218	58	58	8.626	0.715976270095397	0.715976270095397	-0.219	0.101	0.101	3.817	0.0203960780543711	0.021377558326432	0.1025	0.0081303587251732	0.0077519265347396	3.7182172	MS	F	NA	serenelli17	4.79547404807105	3.38848933279668	0.93277581215825	8.30021180263618	A	3.793650717707173	0.004032217207726063	0.004070005542747612	0.9358094538099329	0.034629305975516056	0.03763166743600266
413	KIC11188219	1.153	0.0621288982680363	0.0629682459657247	1.344	0.0354682957019364	0.0345398320783411	6024	62	62	2.057	0.173338140097381	0.173338140097381	0.089	0.1	0.1	4.242	0.017464249196573	0.017464249196573	0.4739	0.0257710331380021	0.0257220070950927	3.8453842	MS	F	NA	serenelli17	5.42485447674592	2.60446903944485	1.02921646746348	8.42674477867675	A	3.7798849631926443	0.004446984829503897	0.004492991496032328	0.313234291694724	0.03513641944569851	0.03823134735596717
414	KIC11189107	1.52	0.18	0.15	2.26	0.13	0.1	6795	94	94	10.05	0.864098657474267	0.864098657474267	-0.1	0.15	0.1	3.909	0.027	0.026	0.1308	0.0122	0.0106	3.3399937	MS	F	NA	C14sdss	10.8552631578947	5.08849557522124	1.38337012509198	8.59799659178375	A	3.832189461068513	0.0059667236836347115	0.006049843132598376	1.0021660617565078	0.03582181349261848	0.03904428501455082
415	KIC11193681	1.364	0.0480208288141719	0.05060632371552	2.4	0.0403608721412211	0.0418688428309166	5697	77	77	5.823	0.507869161998842	0.507869161998842	0.137	0.102	0.102	3.812	0.0067082039324993	0.0067082039324993	0.09862	0.0022803385713529	0.0022822631311923	4.0597327	PMS	G	NA	serenelli17	3.61536482880102	1.71311906191954	1.35158855538002	8.72177849903558	A	3.75564621945668	0.005830560088021741	0.005909903887618917	0.7651467901080253	0.03631654808425844	0.039632830463658286
416	KIC11229052	1.27	0.12	0.15	1.48	0.05	0.07	6495	51	51	3.473	0.296828763696417	0.296828763696417	-0.02	0.15	0.15	4.198	0.015	0.017	0.39	0.0122	0.012	3.5366437	MS	F	NA	C14sdss	10.6299212598425	4.05405405405405	0.785219399538106	8.54675392157839	A	3.812579155409047	0.003396845562938733	0.0034236236618663263	0.5407047833107623	0.03561684045717861	0.038800874890387194
417	KIC11244118	1.127	0.043139309220246	0.0445982062419555	1.605	0.0226715680975093	0.0233452350598575	5618	64	64	2.497	0.216228303190798	0.216228303190798	0.224	0.1	0.1	4.079	0.0078102496759066	0.0078102496759066	0.2727	0.0048379198381122	0.0048822684082299	4.1115172	PMS	G	NA	serenelli17	3.89252508705419	1.4335452696999	1.13919544321823	8.659523555899	A	3.749581734865559	0.004919494521357759	0.004975859451320286	0.3974185423513477	0.036067796432124655	0.039336727385200054
419	KIC11253226	1.4082	0.0209	0.0095	1.6145	0.012	0.015	6642	77	77	4.834	0.124	0.184	-0.08	0.1	0.1	4.1734	0.0044	0.0055	0.337700447411405	0.0058277111000639	0.0058362332220723	3.4402852	MS	F	NA	silva17	1.07939213179946	0.836172189532363	1.15928937067148	3.18576748034754	A	3.8222988712623662	0.005005769827368667	0.005064140836867903	0.6843066460716315	0.01099987636017108	0.01685369318167762
420	KIC11294717	1.139	0.058309518948453	0.0564623768539724	1.897	0.085146931829632	0.0793095202355934	5640	56	56	4.259	0.376155693776775	0.376155693776775	0.061	0.1	0.1	3.938	0.0241867732448957	0.0251793566240283	0.1663	0.016768316433083	0.0159184935216873	4.0970962	PMS	G	NA	serenelli17	5.03827461819251	4.33464554731749	0.99290780141844	8.83201910722645	A	3.751279103983342	0.004290876645457686	0.004333694368237495	0.6293076400737488	0.03675668650007646	0.040157663461193205
421	KIC11295426	1.068	0.011	0.019	1.237	0.006	0.006	5793	74	74	1.581	0.043	0.04	0.136	0.0721110255092798	0.0721110255092798	4.28	0.003	0.003	0.564590583055181	0.0035508841701583	0.0078119451743484	3.9968047	MS	G	p	silva15	1.40449438202247	0.485044462409054	1.27740376316244	2.62492093611638	A	3.762903528499057	0.005512559717274712	0.005583431952384643	0.19893186993220904	0.011654154972947417	0.011129231213789753
422	KIC11307875	1.583	0.188806779539295	0.19366982212002	4.144	0.186102122502673	0.191971352029411	5136	87	87	10.77	1.06910966994933	1.06910966994933	0.038	0.102	0.102	3.401	0.0161245154965971	0.017	0.02218	0.0006105307710508	0.000615409028533	4.4274682	PMS	K	NA	serenelli17	12.0807517896183	4.56169732784851	1.69392523364486	9.92673788253785	A	3.710625015060797	0.007295010776196875	0.007419644365310507	1.0322157032979815	0.04110334030793905	0.0454041084457768
423	KIC11389393	1.403	0.0827586853448023	0.142270868416553	1.905	0.0721110255092798	0.0754718490564528	6174	66	66	4.74	0.376421965088296	0.376421965088296	0.14	0.1	0.1	4.019	0.0152970585407784	0.0162788205960997	0.2003	0.0116817260710907	0.0110960364094572	3.7470592	MS	F	NA	serenelli17	8.01958495229347	3.87356626156778	1.0689990281827	7.94139166852946	A	3.7905666251460763	0.004617964536347774	0.004667596761692927	0.6757783416740851	0.03318801304424768	0.03593559470960195
424	KIC11389437	1.192	0.101921538449927	0.0488262224629348	1.69	0.0470106370941726	0.0355105618091294	6158	53	53	3.883	0.31150081620951	0.31150081620951	-0.023	0.099	0.099	4.059	0.0117046999107196	0.010770329614269	0.247	0.0070006226151678	0.0072441673089458	3.7575472	MS	F	NA	serenelli17	6.32331211882811	2.44145558885509	0.860669048392335	8.02216884392247	A	3.789439684567179	0.0037218446783717773	0.003754016286277917	0.5891673905460476	0.03351289269607072	0.03631683533659291
425	KIC11395018	1.276	0.0425440947723653	0.0469574275274956	2.18	0.0353411940941446	0.0371618083521241	5650	59	59	5.253	0.468868246552419	0.468868246552419	0.151	0.099	0.099	3.866	0.0080622577482985	0.0080622577482985	0.1231	0.0033113151465845	0.0032667740968729	4.0905412	PMS	G	NA	serenelli17	3.50711294278452	1.66291290014378	1.04424778761062	8.92572333052387	A	3.7520484478194387	0.0045115951872443105	0.004558955560765909	0.7204074008031086	0.03713045258678693	0.040604269327908504
426	KIC11401156	1.176	0.12149485585818	0.112614386292338	2.564	0.106920531236989	0.103947101931704	5115	86	86	4.412	0.432405384972522	0.432405384972522	0.016	0.1	0.1	3.69	0.0121655250605964	0.0121655250605964	0.06967	0.0025718049478916	0.0025201681868478	4.4412337	PMS	K	NA	serenelli17	9.95362424109348	4.11208333012272	1.68132942326491	9.80066602385589	A	3.708845638048179	0.007241215726653039	0.007364002427251659	0.6446355037681529	0.04060497444565936	0.04479666923802861
427	KIC11401708	1.447	0.0427200187265877	0.0496487663492256	2.563	0.0353836120259083	0.0384187454245971	5859	63	63	8.962	0.793015564335124	0.793015564335124	0.206	0.1	0.1	3.78	0.0072111025509279	0.0072111025509279	0.08596	0.0018162224533354	0.0017887492837175	3.9535417	PMS	G	NA	serenelli17	3.19173410766459	1.43976506926464	1.0752688172043	8.84864499369699	A	3.767823498007517	0.004644905045763537	0.004695121208380115	0.9524049395770244	0.03682302708016205	0.040236870976241734
428	KIC11401755	1.059	0.03	0.021	1.632	0.015	0.021	5911	66	66	2.982	0.144	0.148	-0.179	0.0721110255092798	0.0721110255092798	4.039	0.004	0.004	0.245721184574959	0.002130530502095	0.00426106100419	3.9194557	MS	G	p	silva15	2.40793201133144	1.10294117647059	1.11656234139739	4.89604292421194	A	3.7716609593488872	0.004822296484794375	0.004876443851028256	0.4745076391169758	0.020481334566192333	0.022107793205534187
429	KIC11414712	1.228	0.046690470119715	0.0585234995535981	2.288	0.0376430604494374	0.0431856457633784	5673	61	61	5.326	0.450866118759589	0.450866118759589	-0.174	0.1	0.1	3.807	0.0078102496759066	0.0078102496759066	0.1025	0.002124631320959	0.0021266058967284	4.0754647	PMS	G	NA	serenelli17	4.28395641992317	1.76636158681853	1.0752688172043	8.46537962372492	A	3.753812783564702	0.004644905045763537	0.004695121208379671	0.7264011621029224	0.03529114060246985	0.03841461528158574
431	KIC11453915	1.25	0.06	0.09	1.22	0.03	0.03	6608	58	58	2.146	0.178748413158158	0.178748413158158	-0.12	0.15	0.15	4.359	0.011	0.013	0.6846	0.028	0.0264	3.4625722	MS	F	NA	C14sdss	6.0	2.45901639344262	0.87772397094431	8.32937619562713	A	3.8200700343123257	0.0037952750121856837	0.0038287343205425373	0.33162971762993226	0.034746242310368436	0.03776981333328844
432	KIC11454149	1.141	0.0558032257132148	0.0566127194188726	1.153	0.0300832179129827	0.0291547594742265	6435	52	52	1.866	0.155988512475549	0.155988512475549	-0.233	0.1	0.1	4.37	0.0167630546142402	0.0177200451466694	0.7441	0.0365794850155111	0.0467107334988437	3.5759737	MS	F	NA	serenelli17	4.92620267888201	2.56886285287117	0.808080808080808	8.35951299440241	A	3.8085485512404054	0.0034953466898213215	0.0035237068106002134	0.2709116394104812	0.034867044494030386	0.03791261150270023
433	KIC11456910	1.3	0.11	0.17	1.71	0.07	0.08	6386	61	61	3.678	0.320896124935965	0.320896124935965	-0.26	0.15	0.15	4.082	0.019	0.02	0.2591	0.0157	0.0152	3.6080932	MS	F	NA	C14sdss	10.7692307692308	4.3859649122807	0.955214531788287	8.72474510429487	A	3.805228914203426	0.004128756007679701	0.004168384355570431	0.5656117249020587	0.036328398172940646	0.03964694556373338
434	KIC11460626	1.286	0.0558659108938537	0.0587962583843564	2.172	0.0696419413859206	0.0668505796534331	6176	62	62	6.979	0.623290104534071	0.623290104534071	-0.144	0.099	0.099	3.872	0.0194164878389476	0.0194164878389476	0.1249	0.0089495835098623	0.0085823704184799	3.7457482	MS	F	NA	serenelli17	4.45809367333632	3.14209302576781	1.00388601036269	8.93093716197264	A	3.7907072873276797	0.004338083093445189	0.0043818529376098425	0.8437931983259126	0.03715124000015391	0.04062913258378731
435	KIC11467550	1.247	0.0702922470831599	0.0715891053163818	1.968	0.0696419413859206	0.067955868032128	6146	58	58	5.592	0.484249154875977	0.484249154875977	-0.08	0.1	0.1	3.945	0.0182482875908947	0.0182482875908947	0.1635	0.0114645376705736	0.0110265644694982	3.7654132	MS	F	NA	serenelli17	5.68890747391907	3.49587930432034	0.94370322160755	8.65967730464909	A	3.7885925559203595	0.004079233221208067	0.004117912157842962	0.7475671627376249	0.03606841094049307	0.03933745841149372
436	KIC11496573	1.47	0.16502424064361	0.159665274872152	3.682	0.177792013318934	0.177792013318934	5218	90	90	8.595	0.858727808715999	0.858727808715999	-0.046	0.1	0.1	3.472	0.0104403065089106	0.0104403065089106	0.02939	0.001335806052539	0.0012856258437041	4.3737172	PMS	G	NA	serenelli17	11.0438610719647	4.82868042691293	1.72479877347643	9.99101580821407	A	3.717504074764202	0.007426839428195997	0.007556058253440856	0.9342458810230713	0.04135721293764527	0.04571413955863768
437	KIC11502597	1.08	0.19	0.11	1.61	0.11	0.07	5798	59	59	2.332	0.208250395098622	0.208250395098622	-0.1	0.15	0.1	4.061	0.012	0.012	0.2599	0.0123	0.0119	3.9935272	MS	G	NA	C14sdss	13.8888888888889	5.59006211180124	1.01759227319765	8.9301198584315	A	3.763278211018979	0.004397013008980988	0.004441986272020415	0.36772854608697647	0.037147981497484106	0.040625235005244564
438	KIC11506988	1.251	0.168077363139716	0.114284732138637	1.872	0.0677421582177598	0.0643506021727847	6438	289	289	6.784	0.616199472594074	0.616199472594074	-0.23	0.1	0.1	3.994	0.0278926513619627	0.0230867927612304	0.1924	0.0101672820537251	0.0095911368127036	3.5740072	MS	F	NA	serenelli17	11.2854554467767	3.5281186001748	4.48897173035104	9.08312901819094	A	3.808750972349595	0.01907045533320728	0.01994647930494642	0.8314858392486574	0.037757587060606834	0.04135551947938332
439	KIC11507653	1.17	0.108503456166152	0.0630079360080935	1.641	0.0493963561409139	0.0493963561409139	5916	74	74	3.45	0.320121101695063	0.320121101695063	0.112	0.1	0.1	4.078	0.0240416305603426	0.0221359436211787	0.2672	0.0189498809758795	0.0190281157501209	3.9161782	MS	G	NA	serenelli17	7.32954667411304	3.01013748573515	1.25084516565247	9.27887251290036	A	3.772028165324855	0.005398657064456636	0.005466612687323735	0.5378190950732742	0.03853620551798598	0.042291560982220255
441	KIC11554100	1.21	0.14	0.16	3.65	0.18	0.21	4913	78	78	7.554	0.784743118434125	0.784743118434125	0.1	0.15	0.1	3.395	0.01	0.011	0.0249	0.0012	0.0011	4.5736447	PMS	K	NA	C14sdss	12.396694214876	5.34246575342466	1.58762466924486	10.3884447767292	A	3.691346764134822	0.0068408057313003034	0.006950285715801474	0.8781769804915063	0.04292361476681661	0.047635985358682964
443	KIC11611414	1.272	0.0785175139698144	0.107377837564369	1.706	0.0594810894318522	0.058591808301161	6279	55	55	4.404	0.399251916089505	0.399251916089505	-0.074	0.1	0.1	4.074	0.0218403296678416	0.0218403296678416	0.2535	0.0208980506507186	0.014956223487231	3.6782317	MS	F	NA	serenelli17	7.307207214394	3.4605186908855	0.875935658544354	9.06566566960729	A	3.797890483058349	0.0037875759775438667	0.0038208990767167883	0.6438473102997142	0.0376880543735022	0.04127210803390269
444	KIC11620833	1.609	0.188042548376691	0.18883061192508	3.865	0.158644256120416	0.161987653850533	5026	75	75	5.256	0.544857762247526	0.544857762247526	0.269	0.099	0.099	3.469	0.0158113883008419	0.0166433169770932	0.0278	0.0006687000672947	0.0006788735522908	4.4995732	PMS	K	NA	serenelli17	11.7114095805398	4.14789016780011	1.49224035017907	10.3663957809651	A	3.701222484256557	0.006432839274630009	0.006529557925072815	0.7206553565517244	0.042836860091815865	0.04752913999370956
446	KIC11674236	1.159	0.0550726792520575	0.0550726792520575	2.028	0.0466154480832267	0.0466154480832267	5413	65	65	3.955	0.368525104892824	0.368525104892824	0.121	0.1	0.1	3.887	0.0125299640861417	0.0125299640861417	0.1387	0.0056653411194737	0.005609001426279	4.2458947	PMS	G	NA	serenelli17	4.75174109163567	2.29859211455753	1.2008128579346	9.31795461170226	A	3.7334380270910614	0.0051840008268810855	0.005246628501114792	0.5971464878336954	0.038691497250761486	0.04247869266072868
447	KIC11708273	1.07	0.18	0.12	1.56	0.09	0.07	5959	96	96	3.277	0.28619581981843	0.28619581981843	0.24	0.15	0.1	4.081	0.023	0.022	0.2814	0.0146	0.0138	3.8879917	MS	G	NA	C14sdss	14.018691588785	5.12820512820513	1.61100855848297	8.73347024163655	A	3.775173385424787	0.0069407620542842885	0.007053491239989551	0.5154764413823758	0.036363248813072735	0.03968846240341384
