ID	component	M	eM	R	eR	Teff	eTeff	L	eL	logg	elogg	FeH	eFeH	logL	elogL1	elogL2	elogL	logTeff	elogTeff1	elogTeff2	elogTeff
2MASS J19095615+4647030	NA	0.87	0.03	0.78	0.03	5056.0	108.0	0.361	0.005	4.593	0.037	0.11	0.12	-0.4424927980943421	0.005973883488752774	0.006057203932782751	0.006015543710767762	3.7038070652743285	0.009179168320054387	0.00937737431724539	0.009278271318649889
2MASS J19161817+5145267	A	0.6897	0.0035	0.6489	0.0013	4450.0	150.0	0.149	0.02	4.6527	0.0017	-0.04	0.08	-0.826813731587726	0.054700436201399416	0.062596558113025	0.05864849715721221	3.6483600109809315	0.014397820700642328	0.014891555401344903	0.014644688050993615
2MASS J19183945+4842223	NA	1.059	0.04	1.189	0.012	5982.0	82.0	1.628	0.092	4.314	0.007	-0.02	0.1	0.2116544005531824	0.02387404635436649	0.025263184857689275	0.024568615606027883	3.7768464086952993	0.005912783928697873	0.005994397053155076	0.005953590490926475
2MASS J19200086+4158430	NA	0.74	0.03	0.69	0.02	4439.0	91.0	0.264	0.012	4.63	0.031	0.26	0.12	-0.5783960731301689	0.01930515519538667	0.02020338608828698	0.019754270641836824	3.6472851450253665	0.008813056987465373	0.008995609611109678	0.008904333299287526
2MASS J19200086+4158430	NA	0.74	0.03	0.69	0.02	4439.0	91.0	0.264	0.012	4.63	0.031	0.26	0.12	-0.5783960731301689	0.01930515519538667	0.02020338608828698	0.019754270641836824	3.6472851450253665	0.008813056987465373	0.008995609611109678	0.008904333299287526
2MASS J19211530+3840187	NA	0.86	0.04	0.77	0.03	5083.0	100.0	0.706	0.049	4.6	0.039	0.06	0.1	-0.15119529894819625	0.029142250577384496	0.031239331492023042	0.03019079103470377	3.7061201097027037	0.008461099136827688	0.008629222531646885	0.008545160834237286
2MASS J19211530+3840187	NA	0.86	0.04	0.77	0.03	5083.0	100.0	0.706	0.049	4.6	0.039	0.06	0.1	-0.15119529894819625	0.029142250577384496	0.031239331492023042	0.03019079103470377	3.7061201097027037	0.008461099136827688	0.008629222531646885	0.008545160834237286
2MASS J19232649+3811211	NA	0.83	0.04	0.75	0.03	5072.0	112.0	0.335	0.04	4.607	0.041	-0.03	0.12	-0.47495519296315475	0.04898646069087359	0.055222791058682164	0.05210462587477788	3.7051792448736762	0.009485747988860815	0.009697568383478572	0.009591658186169694
2MASS J19232649+3811211	NA	0.83	0.04	0.75	0.03	5072.0	112.0	0.335	0.04	4.607	0.041	-0.03	0.12	-0.47495519296315475	0.04898646069087359	0.055222791058682164	0.05210462587477788	3.7051792448736762	0.009485747988860815	0.009697568383478572	0.009591658186169694
2MASS J19271460+3900413	NA	0.85	0.03	0.76	0.03	5113.0	100.0	0.406	0.012	4.606	0.038	-0.01	0.1	-0.39147396642280585	0.012650248197841107	0.01302981175161999	0.012840029974730549	3.708675792726537	0.008411932200482308	0.008578088113483151	0.00849501015698273
